EDR151868,<:columna I> Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  <:columna II> Marmor(em) cum basim aenea Fuminaria dua
EDR140037,XI k(alendas) Febarias (:Februarias)
EDR159772,<:columna I> CΤΡΑΤΟΝΙΚΟC (:Στρατόνικος)  <:columna II> Stratonicos (:Stratonicus) scrips(it)
EDR153110,Quintus  M[---] Antu[s ---]
EDR154372,Caetronius
EDR140052,Soli
EDR140230,Anicete vale
EDR153854,[---]ASV M umor[---]
EDR152999,Quartu
EDR154594,ΑΒΓΔ
EDR142439,<:textus non legitur>
EDR142441,Ad Ner[---]
EDR153000,Moderatus
EDR140179,P S edituis (:aedituus)
EDR140199,Eueno
EDR140208,Mercurius
EDR154370,VIII kalendas Iulias
EDR153151,Albinus
EDR153356,Vidimus
EDR151829,Myrine mari
EDR151894,Artorius  [- - -]IIIII II III
EDR156779,Ave Fausta salutem
EDR159773,Debere
EDR073355,Apollinaris medicus Titi Impe(ratoris) <:servus> hic cacavit bene
EDR102191,Hermeros Primigeniae dominae: veni Puteolos in vico Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoebi
EDR140239,C(aius) Iunius ((:nomen C(AIUS) IUNIUS in forma navis scriptum))
EDR081345,C(aius) Messenius Eunomus im(:in) curia
EDR154045,Tiberius Claudius
EDR154092,Qunei (:cunei) XXIII Asseres XV
EDR154542,[---]inibu[s ---] feliciter
EDR151910,Quintus M[---]ANTV[---]
EDR154566,Exemta (:exempta) stecora (:stercora) a(ssibus) XI
EDR140140,Q(uintus) Vetius (:Vettius)
EDR145942,Proculus ((:herma viri))
EDR153852,((mille)) ((mille))
EDR154430,omnibus Salinensi v[---]
EDR140204,IIII Publius Quintilius
EDR140234,Publius Septumius
EDR140175,[---] DIII VII
EDR154445,IIIIIIIIIIIIIIIII <:vacat> III
EDR154447,CELES  COSSSIIIIII
EDR157024,Mortus (:Mortuus) Deii (:Deius)
