EDR151869,&#60;:textus in tabula ansata&#62;
EDR161824,&#60;:col I&#62;
EDR161824,&#60;:textus non legitur&#62;
EDR167897,&#60;:textus non legitur&#62;
EDR175883,&#60;:vacat&#62;
EDR167589,&#60;:ad perpendiculum&#62;
EDR128616,&#60;:vacat&#62;
EDR168286,&#60;:stria 15&#62;
EDR128760,&#60;:stria 11&#62;
EDR128760,&#60;:stria 13&#62;
EDR167335,&#60;:ad perpendiculum&#62;
EDR174688,&#60;:stria 11&#62;
EDR167694,&#60;:stria 14&#62;
EDR167372,&#60;:columna I=stria 4&#62;
EDR167540,&#60;:vacat&#62;
EDR167540,&#60;:vacat&#62;
EDR167540,&#60;:vacat&#62;
EDR167540,&#60;:vacat&#62;
EDR167540,&#60;:vacat&#62;
EDR128752,&#60;:columna I&#62;
EDR128775,&#60;:textus non legitur&#62;
EDR175931,&#60;:textus in quattuor versibus non legitur&#62;
EDR175961,&#60;:pone hanc&#62;
EDR175961,&#60;:inferius&#62;
EDR168284,&#60;:stria 7&#62;
EDR175508,&#60;:ad sinistram&#62;
EDR175508,&#60;:pugnarum&#62;
EDR175508,&#60;:ad dextram&#62;
EDR175508,&#60;:pugnarum&#62;
EDR127575,&#60;:ad perpendiculum&#62;
EDR127976,&#60;:vacat&#62;
EDR073314,&#60;:servus&#62;
EDR128761,&#60;:textus non legitur&#62;
EDR128290,&#60;:textus non legitur&#62;
EDR175589,&#60;:vacat&#62;
EDR167426,&#60;:stria 9&#62;
EDR128098,&#60;:vacat&#62;
EDR151415,&#60;:cupimus&#62;
EDR127835,&#60;:ad perpendiculum&#62;
EDR128114,&#60;:stria 14&#62;
EDR167399,&#60;:ad perpendiculum&#62;
EDR159671,&#60;:vacat&#62;
EDR167909,&#60;:stria 5-6&#62;
