EDR140198,Aniciae,aniciae,anicius,N2/1,6128,*,Af-,Ani&#803;ciae&#803; f&#818;e&#818;l&#818;i&#818;c&#818;i&#818;t&#818;e&#818;r&#818;,OVERRIDE,name,Anicia,,
EDR152964,Aprilis,aprilis,aprilius,N2/1,7403,*,Af-,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;,OVERRIDE,date,,,
EDR152964,Aprilis,aprilis,aprilis,N3B,7402,2,NpC,K(alendas) Aug&#803;(ustas) Nonas&#803; A&#818;p&#818;r&#818;(ilis) At&#818;i&#818;n&#818;a&#818;s&#818;,DECLINE,,,,
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-,Arrius P(ubli) f(ilius),ACCEPT,,,,
EDR081348,Arrius,arrius,arrius,N2/1,8641,*,Af-,Arrius P(ubli) f(ilius),DECLINE,,,,
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-,P(ublius) Arriu_s Spaerus,DECLINE,,,,
EDR081347,Arrius,arrius,arrius,N2/1,8641,*,Af-,P(ublius) Arriu_s Spaerus,DECLINE,,,,
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-,ArtoriusÊ [- - -]IIIII II III,ACCEPT,,,,
EDR151894,Artorius,artorius,artorius,N2/1,8779,*,Af-,ArtoriusÊ [- - -]IIIII II III,DECLINE,,,,
EDR129306,Atimetus,atimetus,atimetus,N2,9697,m,NpB,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;,ACCEPT,,,,
EDR150399,Aviani,auiani,auianius,N2/1,10588,*,Af-,L(uci) Aviani votus (:votum),DECLINE,,,,
EDR150399,Aviani,auiani,auianus,N2/1,10589,*,Af-,L(uci) Aviani votus (:votum),ACCEPT,,,,
EDR154185,Caesaris,caesaris,caesarus,N2,13486,m,NpB,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.,DECLINE,,,,
EDR154185,Caesaris,caesaris,caesar,N3B,13471,m,NpC,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.,ACCEPT,,,,
EDR154185,Caesaris,caesaris,caesar,N3B,13472,m,NpC,Apelles cubicularius cum Dextro Caesar(is) pranderunt hic iucundissime et future simul.,DECLINE,,,,
EDR151863,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Ostius (:Hostius),OVERRIDE,name,Gaius,,
EDR154539,Caius,caius,caius,N2/1,13557,*,Af-,Vin(icius?) Florus Paris C(aius) Messenius,DECLINE,,,,
EDR140239,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Iunius ((:nomen C(AIUS) IUNIUS in forma navis scriptum)),DECLINE,,,,
EDR081345,Caius,caius,caius,N2/1,13557,*,Af-,C(aius) Messenius Eunomus im(:in) curia,DECLINE,,,,
EDR154569,Casium,casium,casium,N2,14884,n,NpB,Casium et tres sc[- - -]rios habes,IGNORE,,,,
EDR154569,Casium,casium,casius,N2/1,14885,*,Af-,Casium et tres sc[- - -]rios habes,IGNORE,,,,
EDR140213,Cereales,cereales,cerealis,N3B,15790,*,NpC,Cereales sint Cums (:Cumis)Ê,ACCEPT,,,,
EDR153741,Chie,chie,chius,N2,16323,f,NpB,Chie IMN,ACCEPT,,,,
EDR153741,Chie,chie,chius,N2/1,16322,*,Af-,Chie IMN,DECLINE,,,,
EDR154368,Cilix,cilix,cilix,N3B,16629,m,NpC,[F]usci Cilix Cilix,ACCEPT,,,,
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA,Croca&#818;l&#803;e barbat&#818;a&#818;,ACCEPT,,,,
EDR140131,Crocale,crocale,crocale,N1,21885,f,NpA,Croca&#818;l&#803;e barbat&#818;a&#818;,DECLINE,,,,
EDR154179,Epaphroditum,epaphroditum,epaphrodite,N1,29060,f,NpA,Duo sodales hic fuerunt et cum diu malum ministrum in omnia haberent nomine Epaphroditum vix tarde eum foras exigerunt (:exegerunt). Consumpserunt persuavissime cum fu`tu«ere ((sestertii)) CVS,DECLINE,,,,
EDR154179,Epaphroditum,epaphroditum,epaphroditus,N2,29061,m,NpB,Duo sodales hic fuerunt et cum diu malum ministrum in omnia haberent nomine Epaphroditum vix tarde eum foras exigerunt (:exegerunt). Consumpserunt persuavissime cum fu`tu«ere ((sestertii)) CVS,ACCEPT,,,,
EDR140172,Epicurus,epicurus,epicurus,N2,29176,m,NpB,A EpicurusÊ si es Utica,ACCEPT,,,,
EDR129306,Euhodus,euhodus,euhodus,N2,30164,m,NpB,Lollian(us) Euodus(:Euhodus)</span> Priscus Musicus 5 Atimetus [Am?]p&#803;e&#803;lus [---]c&#803;c&#803;us G&#818;l&#818;aucus C&#818;o&#818;mmuni&#818;s&#818;,ACCEPT,,,,
EDR140190,Euhodus,euhodus,euhodus,N2,30164,m,NpB,((:gladiatores inter se dimicantes)) Euhodus et SaturaÊ Puteolani,DECLINE,,,,
EDR081345,Eunomus,eunomus,eunomus,N2,30220,m,NpB,C(aius) Messenius Eunomus im(:in) curia,ACCEPT,,,,
EDR151898,Flavia,flauia,flauia,N1,33397,f,NpA,Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis),ACCEPT,,,,
EDR151898,Flavia,flauia,flauius,N2/1,33412,*,Af-,Phlavia (:Flavia) &#920;&#818; l&#818;i&#818;g&#818;i&#818;s&#818; (:lingis),DECLINE,,,,
EDR140147,Herculanenses,herculanenses,herculanensis,N3A,37708,2,Af-,[---]A&#818;S&#818;[---] conclave Puteolis C&#803;[-]AN&#803;A&#803; [---]V&#818;LII consitont (:consistunt) Herculaneses (:Herculanenses) navculae (:naviculae),OVERRIDE,term,,,
EDR140062,heribus,heribus,heres,N3B,37744,m,NpC,eribus (:heribus) miscellaÊ,IGNORE,,,,
EDR140062,heribus,heribus,hero,N4,37848,f,NpD,eribus (:heribus) miscellaÊ,IGNORE,,,,
EDR102191,Hermeros,hermeros,hermeros,N3B,37786,m,NpC,Hermeros Pr“migeniae dominae: ven“ Puteolos in v“co Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoeb“,ACCEPT,,,,
EDR102191,Hermerotem,hermerotem,hermeros,N3B,37786,m,NpC,Hermeros Pr“migeniae dominae: ven“ Puteolos in v“co Tyaniano et quaere a Messio numulario(:nummulario) Hermerotem Phoeb“,DECLINE,,,,
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-,C(aius) Ostius (:Hostius),ACCEPT,,,,
EDR151863,Hostius,hostius,hostius,N2/1,38758,*,Af-,C(aius) Ostius (:Hostius),DECLINE,,,,
EDR140254,Ianuarias,ianuarias,ianuarius,N2/1,44635,*,Af-,&#919;dibus (:Idibus) Ianyaris (:Ianuarias) mystacogus (:mystagogus &#956;&#965;&#963;&#964;&#945;&#947;&#969;&#947;&#972;&#962;) docens GEBEUM et &#7864;t&#803;o&#803;e&#803;n l&#803;u&#803;c&#803;i&#803;a&#803;n&#803;+ VIC&#803;IC,OVERRIDE,date,,,
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-,Fo&#818;rtunatus á amat á Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius á amat á Veneria (:Veneriam). Rogamus á damna (:domina) á Venus ut á nos á in á mente á h&#818;a&#818;bias (:habeas) quod te á modo á introrgamus (:interrogamus),ACCEPT,,,,
EDR140983,Ianuarius,ianuarius,ianuarius,N2/1,44635,*,Af-,Fo&#818;rtunatus á amat á Ampl&#818;i&#818;a&#818;nda (:Ampliandam). Ianuarius á amat á Veneria (:Veneriam). Rogamus á damna (:domina) á Venus ut á nos á in á mente á h&#818;a&#818;bias (:habeas) quod te á modo á introrgamus (:interrogamus),DECLINE,,,,
EDR152815,lali,lali,lalius,N2/1,45521,*,Af-,&#12296;:ad perpendiculum&#12297; Rare lali omnes a,IGNORE,,,,
EDR152815,lali,lali,lalus,N2/1,45527,*,Af-,&#12296;:ad perpendiculum&#12297; Rare lali omnes a,IGNORE,,,,
EDR154371,Laviniam,lauiniam,lauinia,N1,46315,f,NpA,Salar[ius] glabe (:glaber) RVSIVNNAE Lavinia (:Laviniam) futui,ACCEPT,,,,
