ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYDP0812,DP81.2,393,,Smyrna,,,,,Geometric designs,Drawing of a circle,((:quattuor circuli)),((:four circles)),Litt. Scariph. 
SMYDP0813,DP81.3,394,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP0831,DP83.1,395,,Smyrna,,,,,Animals,Drawing of a bull,((:taurus)),((:bull)),Litt. Scariph. 
SMYTP0841,TP84.1,396,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0842,TP84.2,397,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0843,TP84.3,398,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0844,TP84.4,399,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0845,TP84.5,399,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0846,TP84.6,400,,Smyrna,,,,,,,,,Litt. Scariph.
SMYTP0847,TP84.7,401,,Smyrna,,,,,,,,,Litt. Scariph.
SMYDP0841,DP84.1,402,,Smyrna,,,,,Animals,Drawing of a bird,((:avis)),((:bird)),Carbone
SMYDP0842,DP84.2,403,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP0843,DP84.3,404,,Smyrna,,,,,Geometric designs,Drawing of a geometric pattern,((:lineae interscissae)),((:intersecting lines)),Litt. Scariph. 
SMYDP0844,DP84.4,405,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP0845,DP84.5,406,,Smyrna,,,,,Geometric designs,Drawing of a checkerboard,((:lineae interscissae)),((:possibly a gameboard - checkers?)),Carbone
SMYDP0851,DP85.1,407,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYTP0931,TP93.1,408,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYDP0931,DP93.1,409,,Smyrna,,,,,Geometric designs,Drawing of a circle,((:circulus)),((:circle)),Litt. Scariph. 
SMYTP0941,TP94.1,409,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0942,TP94.2,410,,Smyrna,,,,,,,,,Carbone
SMYTP0943,TP94.3,411,,Smyrna,,,,,,,,,Pictura
SMYTP0945,TP94.5,412,,Smyrna,,,,,,,,,Carbone
SMYDP0941,DP94.1,413,,Smyrna,,,,,Animals,Drawing of a bird,"((:avis, olor?))","((:long-necked bird, swam?))",Carbone
SMYDP0942,DP94.2,414,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Pictura
SMYDP0943,DP94.3,415,,Smyrna,,,,,Plants,Drawing of an ivy leaf,((:folium heredae)),((:ivy leaf)),Carbone
SMYTP0961,TP96.1,416,,Smyrna,,,,,,,,,Carbone
SMYTP0962,TP96.2,417,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0963,TP96.3,418,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP0964,TP96.4,418,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYDP0961,DP96.1,419,,Smyrna,,,,,Gladiator,Drawing of a gladiator,"((:gladiator cum scuto ad sin., hoplomachus))","((:gladiator with shield facing left, hoplomachus",Litt. Scariph. 
SMYTP1001,TP100.1,420,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1002,TP100.2,421,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1003,TP100.3,422,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1004,TP100.4,424,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1005,TP100.5,427,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1006,TP100.6,428,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1007,TP100.7,429,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYDP1001,DP100.1,430,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph. 
SMYDP1002,DP100.2,432,,Smyrna,,,,,Other,Drawing of architecture,((:domus)),((:house)),Litt. Scariph. 
SMYDP1003,DP100.3,434,,Smyrna,,,,,Animals,Drawing of stags,"((:tria animalia, cervi?))","((:three animals, stags?))",Litt. Scariph. 
SMYDP1004,DP100.4,435,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYDP1011,DP101.1,436,,Smyrna,,,,,Boats ,Drawing of a boat,((:duo naves)),((:two boats)),Carbone
SMYDP1012,DP101.2,437,,Smyrna,,,,,Other,Drawing of architecture,((:aedificium)),((:square building)),Carbone
SMYDP1021,DP102.1,438,,Smyrna,,,,,Boats ,Drawings of boats ,((:navis)),((:boat)),Litt. Scariph. 
SMYTP1031,TP103.1,439,,Smyrna,,,,,Geometric design,Drawing of stars,((:stellae)),((:stars)),Carbone
SMYTP1032,TP103.2,440,,Smyrna,,,,,,,,,Carbone
SMYTP1033,TP103.3,441,,Smyrna,,,,,,,,,Carbone
SMYDP1031,DP103.1,442,,Smyrna,,,,,Geometric design,Star,((:duo stellae)),((:two stars)),Carbone
SMYTP1041,TP104.1,443,,Smyrna,,,,,Geometric design,Detail - drawing of a star,((:stella)),((:star)),Carbone
SMYTP1042,TP104.2,446,,Smyrna,,,,,,,,,Carbone
SMYDP1041,DP104.1,447,,Smyrna,,,,,Human figures,Drawing of a face,((:duo capita hominum)),((:two heads of people)),Carbone
SMYTP1051,TP105.1,448,,Smyrna,,,,,,,,,Carbone
SMYDP1051,DP105.1,449,,Smyrna,,,,,Gladiator,Drawing of gladiatorial combat,((:certamen gladiatorum)),((:gladiator combat)),Carbone
SMYTP1091,TP109.1,450,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1092,TP109.2,451,,Smyrna,,,,,,,,,Litt. Scariph. 
SMYTP1093,TP109.3,451,,Smyrna,,,,,,Obscene graffito,,,Litt. Scariph.
SMYTP1094,TP109.4,453,,Smyrna,,,,,,,,,Litt. Scariph.
SMYDP1091,DP109.1,454,,Smyrna,,,,,Other,Drawing of architecture,((:aedes cum columnis et scalis)),((:temple with columns and stairs)),Litt. Scariph.
SMYDP1092,DP109.2,456,,Smyrna,,,,,Other ,Drawing of architecture,((:aedes)),((:temple)),Litt. Scariph.
SMYDP1121,DP112.1,457,,Smyrna,,,,,Boats ,Drawing of boats,((:duo naves)),((:two boats)),Litt. Scariph.
SMYDP1122,DP112.2,458,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph.
SMYDP1123,DP112.3,459,,Smyrna,,,,,Boats ,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph.
SMYTP1281,TP128.1,460,,Smyrna,,,,,,,,,Carbone
SMYDP1551,DP155.1,462,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
