term,lemma
prima,"primus, prima, primum"
prius,"prior, priiis"
priscus,"priscus, prisca, priscum"
pro,pro
procame,Procame
procul)))),procul))))
proculi,proculis
proculo,Proculus
proculus,Proculus
procumbens,"procumbo, procumbere"
procurator,"procurator, procuratoris"
propero,"propero, properare"
propesi,propesi
propitia,"propitio, propitiare"
prora,"prora, prorae"
prosequens,"prosequor, prosequi"
prospera,prosper
prospiciens,"prospicio, prospicere"
providentes,"provideo, providere"
provocatores,provocator
provocator,provocator
psittaci,"psittacus, psittaci"
publi,publi
publius,Publius
pudor,"pudor, pudoris"
puellas,"puella, puellae"
puella,"puella, puellae"
puellarum,"puellaris, puellariis"
"puer, i","puer,"
puer,"puer, i"
pugiles,"pugil, pugilis"
pugnantes,"pugno, pugnare"
\,punc
[ εὑ]ρὼν,punc
),punc
punc,punc
pvnico,punicus
pupa,pupa
purmentarium,purmentarium
puteolani,puteolani
puteolanis,puteolanis
puteolis,puteoli
puteolos,puteolos
quadratus,quadro
quadratum,quadro
quadrum,"quadrum, quadri"
quadrupes,quadrupes
quaere,"quaero, quaerere"
quaesivi,"quaero, quaerere"
quam,quam
quant,quant
quant(?),quant(?)
quare,quare
quartilla,Quartilla
quartio,quartio
quartu,quartu
quasi,quasi
quatit,"quatio, quatere"
quati,"quatio, quatere"
quattuor,quattuor
que,que
quae,qui
quibus,qui
quorum,qui
quos,qui
cui,qui
quod,qui
quem,qui
qua,qui
cuius,qui
quas,qui
quicti,quicti
quacumque,quicumque
quicumque,quicumque
quendam,quidam
quidam,quidam
quinque,quinque
((quinque centum)),((quinque
quintilius,quintilius
quinti,"quintus, quinta, quintum"
quintus,"quintus, quinta, quintum"
quid,quis
quis,quis
quisquis,quisquis
quo,quo
quorumc,quorumc
quovis,quovis
ramo,"ramus, rami"
rare,raris
(rationis),(rationis)
rationis,"ratio, rationis"
ratio,"ratio, rationis"
rationem,"ratio, rationis"
raur,raur
recte,"rectus, recta, rectum"
rectus,"rectus, recta, rectum"
redire,"redeo, redire"
redii,"redeo, redire"
remis,remi
remmius,remmius
remisque,"remus, remi"
renibus,renibus
rete,reor
res,"res, rei"
restinguere,restinguo
restituta,"restituo, restituere"
retrogradum)),retrogradum))
rite,ritius
rogo,"rogo, rogare"
rogamus,"rogo, rogare"
rogavit,"rogo, rogare"
roma,roma
romanus,romanus
romulus,Romulus
rostro,"rostrum, rostri"
rotundi,"rotundus, rotunda, rotundum"
rotundus,"rotundus, rotunda, rotundum"
rru,rru
rub,rub
rubenses,rubenses
rudibus,"rudis, rudis"
rudentibus,rudo
rufini,Rufinus
rufula,Rufula
rufa,rufus
rufi,Rufus
rufus,Rufus
ruina,"ruina, ruinae"
rusatia,rusatia
rusiunnae,rusiunnae
ro,"rus, ruris"
rum,"rus, ruris"
russa,russus
rusticus,"rusticus, rustici"
((s,((s
((s retrogradum)),((s
((s)),((s))
s¹lm,s¹lm
s²ms¹rm,s²ms¹rm
sabidia,sabidia
sabina,Sabina
sabinus,Sabinus
sacomata,sacomata
sagatus,sagatus
sagenio,sagenio
salarius,"salarius, salaria, salarium"
salinensi,salinensi
salve,salueo
salvia,saluia
salutem,"salus, salutis"
(salutem),(salutem)
salvum,saluus
samnes,samnes
sapiet,"sapio, sapere"
sarnensis,sarnensis
saturninae,Saturninae
saturninus,Saturninus
satur,"satur, satura, saturum"
sav(?),sau(?)
sauf,sauf
saufei,saufei
savfei,saufei
sautrane,sautrane
sav,sav
sava,sava
saxo,"saxum, saxi"
scaena,"scaena, scaenae"
scalae,scala
scalis,"scalae, scalarum"
scapheola,scapheola
scarabei,scarabei
scaudì,scaudì
scava,scava
scepsidi,scepsidi
scierunt,"scio, scire"
scio,"scio, scire"
scis,"scio, scire"
scito,"scio, scire"
scordopordonicus,scordopordonicus
scribit,"scribo, scribere"
scripsit,"scribo, scribere"
scripta,"scribo, scribere"
scriptum,"scribo, scribere"
scripsi,"scribo, scribere"
scriptor,"scriptor, scriptoris"
scriptum)),scriptum))
scuto)),scuto))
scutum,"scutum, scuti"
scuto,"scutum, scuti"
scuti,"scutum, scuti"
scutis,"scutum, scuti"
scyphus,scyphus
seciolo,seciolo
secundus,"secundus, secunda, secundum"
securis,"securis, securis"
secun,secus
secutor,secutor
sed,sed
sedulatus,sedulatus
((semis)),((semis))
semis,"semis, semissis"
semper,semper
semproni,Sempronius
(:senatus),(:senatus)
senatu,"senatus, senatus"
senatus,"senatus, senatus"
s,"senatus, senatus"
senos,seni
sentius,sentus
septem,septem
septembres,septembres
septumius,Septumius
sequanus,sequanus
sequere,"sequor, sequi"
satura,"sero, serere"
servilius,seruilius
ser,seruius
servabo,seruo
servus,seruus
ses,ses
((sestertii)),((sestertii))
severus,"severus, severa, severum"
sex,sex
sextus,sextus
sextius,sextus
sexto,sextus
shb,shb
si,si
sic,sic
sicaque,sicaque
sica,"sica, sicae"
siccia,siccia
siculis,siculis
siculus,siculus
((signa duo)),((signa
signum,"signum, signi"
silentiolus,Silentiolus
siloni,silo
simplex,"simplex, simpliis"
simplices,"simplex, simpliis"
simul,simul
sin,sin
sin),sin)
sine,sine
singulos,singuli
singula,"singulus, singula, singulum"
situs,"sino, sinere"
siqua,siqua
sisininus,Sisininus
sitiens,"sitio, sitire"
sitio,"sitio, sitire"
sittius,sittius
socius,socius
socio,socius
sodales,sodal
sodalis,"sodalis, sodalis"
sollemnes,"sollemnis, sollemniis"
sollemne,"sollemnis, sollemniis"
sollemnis,"sollemnis, sollemniis"
solus,"solus, sola, solum"
soli,"solus, sola, solum"
spaerus,Spaerus
spedio,spedio
spes,"spes, spei"
spleia,spleia
stabuli,stabulis
stamen,"stamen, staminis"
star,star
stars,stars
stati,stas
statilio,statilius
stationem,"statio, stationis"
statum,"status, status"
stellae,"stella, stellae"
stella,"stella, stellae"
stellio,stellio
stercora,stercoro
stratus,"sterno, sternere"
stheneli,sthenelis
statius,"sto, stare"
stans,"sto, stare"
stratonicus,Stratonicus
strig(i)les,strig(i)les
sturnus,"sturnus, sturni"
suarium,suarius
suavis,"suavis, suaviis"
sub,sub
subligaculo,subligaculum
successus,"successus, successus"
suellius,Suellius
se,sui
sulto,sulto
future,sum
sit,sum
sumus,sum
erunt,sum
sint,sum
es,sum
fuerunt,sum
fuimus,sum
fuat,sum
fuit,sum
est,sum
sunt,sum
esse,sum
summa,"summus, summa, summum"
summus,"summus, summa, summum"
sumit,"sumo, sumere"
superba,"superbus, superba, superbum"
superis,superi
superior,"superus, supera, superum"
supra,supra
surì,surì
surus,surus
suis,"suus, sua, suum"
suam,"suus, sua, suum"
suae,"suus, sua, suum"
sua,"suus, sua, suum"
suum,"suus, sua, suum"
symmachus,Symmachus
symphorus,Symphorus
syneros,Syneros
synethus,Synethus
Synethus,Synethus
syntrophus,syntrophus
syra,syron
syrus,Syrus
t,t
tabificantque,tabificantque
tabulas,"tabula, tabulae"
taeduisti,taeduisti
tangere,"tango, tangere"
tarde,"tardus, tarda, tardum"
tatius,tatius
(taurus?),(taurus?)
taurus,"taurus, tauri"
tbt,tbt
tempus,"tempus, temporis"
tenentis,"teneo, tenere"
tenens,"teneo, tenere"
tene,"teneo, tenere"
tertiani,tertianus
tertio,Tertius
testifico,testifico
theloate,theloate
thorax,thorax
thraex,thraex
t(h)raso,t(h)raso
t(h)raso(?),t(h)raso(?)
thymatula,thymatula
thymeli,thymelis
thymiaterion,thymiaterion
tiber,tiber
tiberius,tiberius
ti,Tiberius
tiburtinus,tiburtinus
timinia,Timinia
tironis,Tiro
tìtì,tìtì
titinius,Titinius
tito,titus
titi,Titus
titus,Titus
tm,tm
togati,"togatus, togata, togatum"
tomi,tomi
tonsori,"tonsor, tonsoris"
tonsor,"tonsor, tonsoris"
totus,"totus, tota, totum"
traces,traces
tradere,"trado, tradere"
trade,"trado, tradere"
trama,trama
trans,trans
tria,"tres, triis"
trium,"tres, triis"
tres,"tres, triis"
tridens,"tridens, tridentis"
trifolio,trifolium
trimembres,trimembres
trophaeum,"tropaeum, tropaei"
tros,tros
te,tu
vos,tu
tibi,tu
tum?,tum?
tunica,"tunica, tunicae"
turma,"turma, turmae"
turris,"turris, turris"
turuda,turuda
tutari,tutaris
tuo,"tuus, tua, tuum"
tuas,"tuus, tua, tuum"
tyaniano,tyaniano
tychen,tychen
tύχη,tύχη
ubique,ubique
ugoni,ugoni
((:vir,((:uir
ultas,"ulciscor, ulcisci"
umbricia,umbricia
umeris,"umerus, umeri"
umeri,"umerus, umeri"
uncum,"uncus, unca, uncum"
uncus,"uncus, unca, uncum"
unguentarius,unguentarius
unguibus,"unguis, unguis"
unus,"unus, una, unum"
unam,"unus, una, unum"
unum,"unus, una, unum"
una,"unus, una, unum"
urbane,"urbanus, urbana, urbanum"
urbani,"urbanus, urbana, urbanum"
urbanus,"urbanus, urbana, urbanum"
urceolos,"urceolus, urceoli"
urosacula,urosacula
ursus,"ursus, ursi"
ursi,"ursus, ursi"
urso,"ursus, ursi"
us,us
usque,usque
usuram,"usura, usurae"
ut,ut
utrisque,"uterque, utraque, utrumque"
uti,uti
utica,utica
usura,"utor, uti"
utreis,utreis
uxor,"uxor, uxoris"
v,v
v(?),v(?)
vadavo,vadavo
vade,"vado, vadere"
vale,val
val,val
valentina,Valentina
valentinae,valentinae
valete,"valeo, valere"
valeant,"valeo, valere"
valeri,"valeo, valere"
valens,"valeo, valere"
valeamus,"valeo, valere"
valeas,"valeo, valere"
valeatis,"valeo, valere"
valentis,"valeo, valere"
valeat,"valeo, valere"
valer,valer
valerius,valerius
variae,varia
variis,"varius, varia, varium"
vasileus,vasileus
vasa,"vasum, vasi"
vcq,vcq
vcq(?),vcq(?)
vecors,"vecors, vecoiis"
vectat,vectat
vectiga,vectiga
vehens,"veho, vehere"
vel,vel
vela,"velo, velare"
velis,"velum, veli"
ven,ven
venatio,"venatio, venationis"
venatores,"venator, venatoris"
veneri,veneri
veneriam,veneriam
venì,venì
"venio, venire","venio,"
veniat,"venio, venire"
venis,"venio, venire"
veneris,"venio, venire"
veniam,"venio, venire"
venimus,"venio, venire"
venientis,"venio, venire"
veni,"venio, venire"
venivit,venivit
venus,Venus
venusta,Venustus
venustus,"venustus, venusta, venustum"
verginiam,Verginiam
verna,"vernus, verna, vernum"
verpa,verpa
versum,"verro, verrere"
vervicius,veruicius
vera,"verus, vera, verum"
verus,"verus, vera, verum"
ver,"ver, veris"
vesbinus,vesbinus
vestris,"vester, vestra, vestrum"
vestimentis,"vestimentum, vestimenti"
vesuvius,vesuvius
vetio,vetio
vota,"veto, vetare"
vettius,vettius
"vexillum, vexilli","vexillum,"
vexillum,"vexillum, vexilli"
viator,"viator, viatoris"
vibidi,vibidi
vicccm,vicccm
vicic,vicic
vicini,"vicinus, vicini"
vìco,vìco
"victoria, victoriae","victoria,"
vìctoria,vìctoria
victoria,"victoria, victoriae"
victorie,victorie
victor,"victor, victoris"
victrix,"victrix, victriis"
vidimus,"video, videre"
videtur,"video, videre"
vinicius,Vinicius
vinum,"vinum, vini"
viro,"vir, i"
viri,"vir, i"
vir,"vir, i"
virum,"vir, i"
virilio,virilio
viriod,viriod
viriotal,viriotal
vim,"vis, vi"
vi,"vis, vi"
vitalio,Vitalio
vitae,"vita, vitae"
vivanius,Vivanius
vivere,"vivo, vivere"
vivant,"vivo, vivere"
vix,vix
viλianio,viλianio
Voconius,Voconius
voconius,Voconius
vocas,"voco, vocare"
vol,vol
vole,vole
vis,volo
voluit,volo
voltini,voltini
voltinia,Voltinia
voluìt,voluìt
volumnius,volumnius
votroni,Votronius
votum,"voveo, vovere"
vulneratum,"vulnero, vulnerare"
w,w
xviiiì,xuiiiì
xvi((semis)),xui((semis))
zephyros,zephyros
α,α
αβγ,αβγ
αβγδ,αβγδ
αβγδε,αβγδε
αβγδεζηθ,αβγδεζηθ
αβγδεζηθικλμ,αβγδεζηθικλμ
αβγδεζηθικλμνξοπρστυφχψω,αβγδεζηθικλμνξοπρστυφχψω
αβγυκφκ,αβγυκφκ
αδελφ,αδελφ
αδι,αδι
αδι’,αδι’
αλλα,αλλα
αμ,αμ
αμπης,αμπης
αν,αν
ἐὰν,ἐάν
ανακας,ανακας
απ,απ
απολολει,απολολει
ατη,ατη
ἑαυτὸν,ἑαυτοῦ
αψοε,αψοε
αψοεοβ,αψοεοβ
βαιτην,βαιτην
βαίτῃ,βαίτης
βινεῖς,βινεῖς
βινεῖ,βινέω
βομβύκιον,βομβύκιον
γ),γ)
ἀγαθώτατε,ἀγαθώτατε
γαμεῖν,γαμέω
ἄγγελος,ἄγγελος
γ,γε
ὑγείᾳ,ὕγειος
γενος,γενος
ἡγεῖνος,ἡγεῖνος
γη,γη
γις,γις
γνώμονος,γνώμων
γράφω,γράφω
γράφων,γράφω
γυνὴ,γυνή
γυναῖκα,γυνή
γω,γω
ἡμῶν,ἐγώ
ἐγώ,ἐγώ
ἐγὼ,ἐγώ
ἐμοῦ,ἐγώ
μέ,ἐγώ
ἀγῶνα,ἀγών
δ,δ
δακτυλεις,δακτυλεις
δὲ,δέ
δέ,δέ
δεδωκὼς,δεδωκὼς
δεζη,δεζη
δειχει,δειχει
δέκα,δέκα
ἀδελφὸς,ἀδελφός
δεργιαχαι,δεργιαχαι
δεστανωι,δεστανωι
δη,δη
δημόκριτος,δημόκριτος
(δηνάρια)δ,(δηνάρια)δ
δι’,δι’
διὰ,διά
διά,διά
διασω,διασω
διασωθείς,διασώιζω
δὸς πυγίσαι,δίδωμι
διογένης,Διογένης
διογένης,Διογένης
διώλεσεν,διόλλυμι
δήμου,δῆμος
δήμῳ,δῆμος
δο,δο
δοκεῖ,δοκέω
ἡδονή,ἡδονά
δύο,δύο
/δφξβ,/δφξβ
ε,ε
εἰ,εἰ
εyη,εyη
ἰδὼν,εἶδον
ειποναν,ειποναν
εισιν,εισιν
ἐστὶν,εἰμί
ἐστί,εἰμί
ὢν,εἰμί
εἰμί,εἰμί
εν,εν
ενης,ενης
ενοηγας,ενοηγας
εἶπεν·,εἶπεν·
εἴπεις,εἶπον
εἶπεν,εἶπον
εἶπον,εἶπον
εἰς,εἰς
εἷς,εἷς
μίαν,εἷς
μία,εἷς
εἴσιδι,εἴσιδι
εἴσις,εἴσις
εὐστα,εὐστα
εὐστα〚υτω〛θίου,εὐστα〚υτω〛θίου
//ετειμηκττονπδρι////ξο///,//ετειμηκττονπδρι////ξο///
εὐτυχεῖν,εὐτυχέω
ευη,ευη
ευνυϲ,ευνυϲ
εὐπρέπης,εὐπρεπέω
εὐτύχει,εὐτυχέω
εὐφήμει,εὐφημέω
εὐφροσύνη,εὐφρόσυνος
εὐχαριστῶ,εὐχαριστέω
εὐξάμενος,εὔχομαι
εὐχόμεθα,εὔχομαι
εὐχαρειστῶ,εὐχαρειστῶ
εὐχαρι,εὐχαρι
εω,εω
εων,εων
ζ,ζ
ζῇς,ζάω
ζήθι,ζήθι
ζήθιπν,ζήθιπν
ζητη,ζητη
ζήτη,ζήτη
ζήτημα,ζήτημα
ζοη,ζοη
ζοή,ζοός
ζήτημα,ζήτημα
η,η
ηθχα,ηθχα
οὗ,ἵημι
ηνην,ηνην
ηχαη,ηχαη
θ,θ
θάλλος,θάλλος
ἐθαραπεύ,ἐθαραπεύ
ἐθαραπεύθην,ἐθαραπεύθην
θεαγένης,θεαγένης
θειῶδ’,θειῶδ’
θελητὴ,θελητὴ
θεὸν,θεός
θεῶν,θεός
θεόν,θεός
θη,θη
θίου,θίου
ι,ι
ιδειν,ιδειν
ὑιείνου,ὑιείνου
ιζ,ιζ
ιι,ιι
ιλειπο,ιλειπο
κάζων,κάζων
καί,καί
καὶ,καί
καιαποεανος,καιαποεανος
κακ⌜ὸ⌝ν,κακ⌜ὸ⌝ν
κα`κοῦ´,κα`κοῦ´
καλῶν,καλός
καλῆς,καλός
καλὸς,καλός
καντρια,καντρια
κατὰ,κατά
κατέκτανε,κατακτείνω
κατακτείνω,κατακτείνω
καταπείνῃ,καταπείνῃ
καταποτα,καταποτα
καταχ,καταχ
κεηρ,κεηρ
κέλϲα,κέλϲα
κέλσου,κέλσου
κζ,κζ
κιυς,κιυς
κλέος,κλέος
κληβιχν,κληβιχν
κλίδισον,κλίδισον
κογιτάτουϲ,κογιτάτουϲ
κοε,κοε
κοες,κοες
κος,κος
ἐκρ,ἐκρ
ἐκράφη,ἐκράφη
κρόκης,κρόκη
κρόκη,κρόκη
ἐκτημένην,ἐκτημένην
κυβ,κυβ
κυλίας,κυλίας
κυνικὸς,κυνικὸς
κυρία,κύριος
κύριος,κύριος
κυρίας,κύριος
κυρίους,κύριος
κωντρ,κωντρ
ἐλάθε,ἐλάθε
ἐλάθε{ι},ἐλάθε{ι}
ἐλάινε,ἐλάινε
ἐλάινος,ἐλάινος
λαρια,λαρια
λε,λε
λεγ,λεγ
λεγόμενος,λέγω
λεις,λεις
ἀλέξανδρε,ἀλέξανδρος
ἀλέξανδρος,ἀλέξανδρος
λητος,λητος
λιαβιχτλ,λιαβιχτλ
λιβερᾶλις,λιβερᾶλις
λικιο,λικιο
λόγος,λόγος
ὅλοξ,ὅλοξ
ὅλους,ὅλοξ
λου,λου
λουκος,λουκος
λουσιν,λουσιν
λοῦσαν,λούω
λυκο,λυκο
λυκρίων,λυκρίων
λύχνους,λύχνος
λυω,λυω
μiiροαβ,μiiροαβ
μα,μα
ματακαισω,ματακαισω
μεζηθικλλι,μεζηθικλλι
μετὰ,μετά
μὴ,μή
μή,μή
ἐμήσθη,ἐμήσθη
μίαινε,μιαίνω
μιμοῦ,μιμέομαι
μῆλον,μῆλον
μνα,μνα
μνξοπρϲτυφχψω,μνξοπρϲτυφχψω
μολα,μολα
μοὺς,μοὺς
μουσαῖος,μουσαῖος
ἂν,ἄν
κε,ἄν
ἐν,ἐν
ν,ἐν
ἄν,ἀνά
ἀναγ,ἀναγ
ἀναγεινώ<sup>σ</sup>κων,ἀναγεινώ<sup>σ</sup>κων
ἀναγεινώσκων,ἀναγεινώσκων
ἀναγινώσκοντι,ἀναγιγνώσκω
ἀναγινό<sup>σ</sup>κοντα,ἀναγινό<sup>σ</sup>κοντα
ναε,ναε
ἀνατολή,ἀνατολή
ἀνατολῆς,ἀνατολή
ἀνατολῆς),ἀνατολῆς)
νεικήτης,νεικήτης
νεικητής,νεικητής
νεῖλος,νεῖλος
νεῖλος,νεῖλος
νειτη,νειτη
ὀνέϲιμοϲ,ὀνέϲιμοϲ
νήσας,νέω
νη,νη
ὀνήσιμος,ὀνήσιμος
ὀνήσιμε,ὀνήσιμος
ὀνησίμου,ὀνήσιμος
ἐνθάδε,ἐνθάδε
νικλαπαν,νικλαπαν
νόθ<sup>ο</sup>ς,νόθ<sup>ο</sup>ς
νόθ{η}<sup>ο</sup>ς,νόθ{η}<sup>ο</sup>ς
νοις,νοις
ὄνομα,ὄνομα
νος,νος
νφ,νφ
νωδες,νωδες
νωζ,νωζ
ἐξαπίνης,ἐξαπίνης
ξενότιμος,ξενότιμος
μους,ξενότιμος
ξρακυτ,ξρακυτ
ἐξώλη,ἐξώλης
ο,ο
οβ,οβ
ολοπληθος,ολοπληθος
οξ,οξ
ος,ος
ταῦτα,οὗτος
ουδεννος,ουδεννος
πiiii,πiiii
παιδίου,παίδιον
ἄπαις,ἄπαις
παρθένα,παρθένα
πάρις,πάρις
παίδων,παῖς
πε,πε
περὶ,περί
ἐπῆλθεν,ἐπέρχομαι
πης,πης
ἐπι,ἐπι
ἐπὶ,ἐπί
ἐπ’,ἐπί
ἐφεσίοις,ἐπιέννυμι
πινκίρνας,πινκίρνας
πίνετε,πίνω
πίστις,πίστις
πν,πν
πνεῦμα,πνεῦμα
π,ἀπό
ὑπ’,ὑπό
ὑπὸ,ὑπό
ἀπέδωκε,ἀποδίδωμι
ἐποίησε,ποιέω
ἐποίει,ποιέω
πολaζη,πολaζη
πόλεμος,πόλεμος
πόλεμον,πόλεμος
πολλ<sup>ο</sup>ῖς,πολλ<sup>ο</sup>ῖς
πολυπου,πολυπου
πολλὰ,πολύς
ποταμοῦ,ποταμός
πρὼ,πρὼ
πρεις,πρεις
πρης,πρης
προκλα,προκλα
πρόκλα,πρόκλάω
πρότερος,πρότερος
πρώτοις,πρότερος
πρῶτος,πρῶτος
πρώτη,πρῶτος
πρυτανικός,πρυτανικός
πρώ,πρώ
πρωτο,πρωτο
πᾶν,πᾶς
πᾶσι,πᾶς
πᾶς,πᾶς
πυγίζει,πυγίζει
πυγίζεται,πυγίζεται
πυγίζομαι,πυγίζομαι
ἐπύγισα,πυγίζω
πυγίσε,πυγίσε
ρ,ρ
ρα,ρα
ὥρα,ὥρα
ἡρακλείδης,ἡρακλέης
ἡρακλέης,ἡρακλέης
ἔργον,ἔργον
ρε,ρε
ἀριθμός,ἀριθμός
ἀριθμὸς,ἀριθμός
<ἀ>ριθμὸς,<ἀ>ριθμὸς
ἑρμῆς,ἑρμῆς
ἑρμίας,ἑρμίας
ὄρη,ὄρος
ἁρποκρᾶς,ἁρποκρᾶς
ἁρπορκρᾶς,ἁρπορκρᾶς
ἀρτεμιδώρου,ἀρτεμίδωρος
ἄρτος,ἄρτος
ὀρχη,ὀρχη
ὀρχῆσαι,ὀρχῆσαι
ἔρως,ἔρως
σ,σ
ὅς,ὅς
οἷς,ὅς
ἧς,ὅς
σαβεῖνε,σαβεῖνε
σαβίνιο,σαβίνιο
σαρδιανοῖς,σάρδεις
σάρδεις,σάρδεις
ἀσείας,ἀσείας
σι,σι
<ἰσ>ίδωρος,<ἰσ>ίδωρος
ἰσίδωρος,ἰσίδωρος
ἄσιος,ἄσιος
ἀσίας,ἄσιος
ἀσία,ἄσιος
σμυρναῖος,σμυρναῖος
σμυρναία,σμυρναῖος
σμυρναίου,σμυρναῖος
ἰσόψηφα,ἰσόψηφος
στῶ,ἵστημι
σοὶ,σύ
σοι,σύ
σου,σύ
σύ,σύ
σὲ,σύ
σοῦ,σύ
σὺν,σύν
συνέρως,συνέρως
ἥσυχος,ἥσυχος
ἐσφά,ἐσφά
ἐσφάγη,σφάζω
σωσᾶς,σωσᾶς
ταθίου,ταθίου
τάφος,τάφος
τάχος,τάχος
τάχει,τάχος
τε,τε
τησμ,τησμ
θείς,τίθημι
τικτομένη,τίκτω
τις,τις
του,τις
τίς,τις
τί,τίς
τίτθη,τίτθη
τίτος,τίτος
τνα,τνα
τοις,τοις
τόπος,τόπος
τος,τος
ἔτεσιν,ἔτος
ἔτους,ἔτος
τράλλεις,τράλλεις
τρηθηει,τρηθηει
τρος,τρος
τρύφων,τρυφάω
τύχη,τύχη
τω,τω
υ,υ
υτινι,υτινι
〚υτω〛,〚υτω〛
υφαμτ,υφαμτ
φάβιος,φάβιος
φαι,φαι
φακι,φακι
φερομένην,φερομένην
ἐφέσιος,ἐφέσιος
ὀφθαλμὸν,ὀφθαλμός
ὀφθαλμοὺς,ὀφθαλμός
ὀφθαλμῶν,ὀφθαλμός
ὀφθαλμῶι,ὀφθαλμός
ὀφθαλμός,ὀφθαλμός
ὁφθαλμούς,ὁφθαλμούς
ὀφθαρμί,ὀφθαρμί
ὀφθαρμίων,ὀφθαρμίων
φί,φί
ἄφες,ἀφίημι
φιλεῖνος,φιλεῖνος
φιλοῦσα,φιλέω
φιλῶ,φιλέω
φιλοῦσαν,φιλέω
φιλέω,φιλέω
φίλητος,φίλητος
φιλιππε,φιλιππε
φίλιππος,φίλιππος
φίλ’,φίλος
φιλόσοφος,φιλόσοφος
φιλω,φιλω
φοῦσκος,φοῦσκος
φουτουτρις,φουτουτρις
φέρεσσθαι<span,φέρεσσθαι<span
ἀφροδισίας,ἀφροδίσιος
χαῖρε,χαίρω
χαίρω,χαίρω
χαίροις,χαίρω
χαρίας,χαρίης
ἀχάριστον,ἀχάριστος
χαρίτων,χαριτόω
χις,χις
χρυσοῖ,χρυσόω
χρωτῶ<sup>ν</sup>,χρωτῶ<sup>ν</sup>
ψας,ψας
ὀψὲ,ὀψέ
ψεζηκ,ψεζηκ
ψλα,ψλα
ἔψυγμαι,ἔψυγμαι
ἔψυγμε,ἔψυγμε
ψωλή,ψωλή
ω,ω
ωδε,ωδε
ωδι,ωδι
ων,ων
