term,lemma
centurio,"centurio, centurionis"
cereales,cereal
cerialis,cerial
cerrinius,cerrinius
certamen,"certamen, certaminis"
cervi,ceruus
cervus,ceruus
cervum,ceruus
charca,charca
chie,Chius
chloe,Chloe
Chloe,"Chloe, Chlois"
chreste,chreston
chrestum,chrestum
ciconiae,"ciconia, ciconiae"
cigrotue,cigrotue
cilix,cilix
cima,cima
cinaede,"cinaedus, cinaedi"
cinaedus,"cinaedus, cinaedi"
cinnamus,Cinnamus
cìocìo,cìocìo
circularis,circularis
circulos,"circulus, circuli"
circuli,"circulus, circuli"
circulus,"circulus, circuli"
ciyroiviλc,ciyroiviλc
ciλ,ciλ
clappo,clappo
class='testo_nascosto'>(:φέρεσθαι)</span>,class='testo_nascosto'>(:φέρεσθαι)</span>
claudius,"claudus, clauda, claudum"
clodius,"claudus, clauda, claudum"
clavos,"clavus, clavi"
clemens,Clemens
clementis,Clemens
clim,clim
clipeus,"clipeus, clipea, clipeum"
clleri,clleri
(:cllerigenes?),(:cllerigenes?)
co,co
co(c)co,co(c)co
coelius,coelius
col((denarius)),col((denarius))
coliatius,coliatius
collatius,collatius
colono,"colonus, coloni"
columnae,"columna, columnae"
columnis,"columna, columnae"
comedant,comedant
comici,"comicus, comica, comicum"
cominiaes,cominiaes
cominius,cominius
commeatum,"commeatus, commeatus"
commiseresce,commiseresce
communis,"communis, communiis"
comnis,comnis
comatus,"como, comere"
comperendinaverunt,comperendinaverunt
con=,con=
conclave,"conclave, conclavis"
concordes,concordo
condiscens,condisco
condere,"condo, condere"
confirmas,"confirmo, confirmare"
confregisti,"confringo, confringere"
conglacio,conglacio
considerate,"considero, considerare"
consistunt,"consisto, consistere"
co(n)s(ul),co(n)s(ul)
consul,"consul, consulis"
co(n)s(ulibus),co(n)s(ulibus)
consulto,"consultum, consulti"
consumpserunt,"consumo, consumere"
conticuere,contaceo
contemnendo,"contemno, contemnere"
conticu,conticu
(:conticuere),(:conticuere)
continens,"contineo, continere"
con,"continuo, continuare"
contiquere,contiquere
contìquere,contìquere
contus,"contus, conti"
conversus,conuerto
conversi,converro
conversum,converro
cor,"cor, cordis"
corde,"cor, cordis"
cornelius,cornelius
cornibus,"cornu, cornus"
cornuto,cornutus
corona,"corona, coronae"
corpora,"corpus, corporis"
corvenius,coruenius
corydon,corydon
cosmus,cosmus
cressa,cressa
crista,"crista, cristae"
cristata,"cristatus, cristata, cristatum"
crocale,crocal
cruppac,cruppac
crusali,crusal
crus,"crus, cruris"
crux,"crux, crucis"
cubicularius,"cubicularius, cubicularia, cubicularium"
cubiculum,"cubiculum, cubiculi"
cum,cum
cumis,cumis
cunei,"cuneus, cunea, cuneum"
cunnum,"cunnus, cunni"
cupidi,"cupidus, cupida, cupidum"
cupimus,"cupio, cupere"
cuproniusepol,cuproniusepol
cur,cur
curator,"curator, curatoris"
curatores,"curator, curatoris"
curia,"curia, curiae"
currens,"curro, currere"
curvae,curuus
curva,"curvo, curvare"
cusini,cusini
c·xxv,c·xxv
cyli,cyli
cypare,Cyparis
cythera,cythera
cτρατονικοc,Cτρατονικοc
d,d
daphnus,Daphnus
dasius,dasius
david,David
de,de
debita,"debeo, debere"
debere,"debeo, debere"
debes,"debeo, debere"
december,december
decembres,decembres
decimi,"decimus, decima, decimum"
decimus,"decimus, decima, decimum"
decus,"decus, decoris"
deduxit,"deduco, deducere"
deduxistis,deduxistis
deìnde,deìnde
deius,deius
delineata,"delineo, delineare"
((denarium?)),((denarium?))
((denarium)),((denarium))
((denarius)),((denarius))
denarius,"denarius, denaria, denarium"
dentibus,"dens, dentis"
dequi,dequi
(de)t(ractis),(de)t(ractis)
dei,"deus, dei"
dex,dex
dext,dext
dextro,"dexter, dextra, dextrum"
dexter,"dexter, dextra, dextrum"
diem,"dies, diei"
dimicantes,"dimico, dimicare"
directae,"dirigo, dirigere"
diu,diu
divam,"diva, divae"
diversae,diverto
docendi,"doceo, docere"
docens,"doceo, docere"
dederit,"do, dare"
detur,"do, dare"
dare,"do, dare"
da,"do, dare"
dem,"do, dare"
dat,"do, dare"
daretis,"do, dare"
dolet,"doleo, dolere"
dom,dom
domì,domì
domina,"domina, dominae"
dominae:,dominae:
domino,"dominus, domini"
domus,"domus, domus"
dorcas,dorcas
dos,"dos, dotis"
dromedarius,"dromedarius, dromedarii"
dua,dua
duxerunt,"duco, ducere"
duo,duo
duos,duo
duae,duo
duas,duo
((:duo,((:duo
duplices,"duplex, dupliis"
duplex,"duplex, dupliis"
dxvs·,dxus·
e,e
echio,Echio
essetis,edo
mihi,ego
me,ego
ego,ego
men,ego
mi,ego
eidus,eidus
elencia,elencia
elephantus,"elephantus, elephanti"
eleusinae,eleusinae
emis,"emo, emere"
em(p)tu(s),em(p)tu(s)
ire,"eo, ire"
iri,"eo, ire"
epagathus,Epagathus
epaphra,epaphra
epaphrodite,epaphrodite
epaphroditum,Epaphroditum
epicurus,Epicurus
epidius,Epidius
eques,"eques, equitis"
equitans,"equito, equitare"
equitat,"equito, equitare"
equi,"equus, equi"
equus,"equus, equi"
er,er
ere,eremus
erga,erga
erectus,"erigo, erigere"
erotica,"eroticus, erotica, eroticum"
errant,"erro, errare"
"erus, eri","erus,"
eros,"erus, eri"
et,et
etoen,etoen
etsi,etsi
eu,eu
eucapa,eucapa
euche,euche
eueno,eueno
euhodus,Euhodus
euma,euma
eunomus,eunomus
euodus(:euhodus)</span>,Euodus(:Euhodus)</Span>
euplia,Euplia
evanthus,Evanthus
ex,ex
exegerunt,"exigo, exigere"
exempta,"eximo, eximere"
exsetri,exsetri
extabant,extabant
extremum,exter
externa,"externus, externa, externum"
f,f
fabia,Fabia
fabio,Fabius
facia]m,facia]m
facies,"facies, faciei"
facilis,"facilis, faciliis"
faciant,"facio, facere"
fac,"facio, facere"
fecit,"facio, facere"
facias,"facio, facere"
factum,"facio, facere"
fadius,fadius
faenum,faenum
falcem,"falx, falcis"
familia,"familia, familiae"
fasciis,fascia
fascis,"fascis, fascis"
fatuus,"fatuus, fatua, fatuum"
faustillam,Faustillam
faustio,Faustio
favstvs,Faustus
fausta,Faustus
faustus,Faustus
fausto,"faustus, fausta, faustum"
fausti,"faustus, fausta, faustum"
faventinus,faventinus
februarias,februarius
feles,feles
felicia,felicia
felicioni,felicio
f(e)li(citer),f(e)li(citer)
f(e)li(citer)(?),f(e)li(citer)(?)
feliciter,felicitius
feliculam,Feliculam
felix,"felix, feliis"
felices,"felix, feliis"
fellatrix,fellatrix
fellat,fello
fellas,fello
feminae,"femina, feminae"
feret,"fero, ferre"
ferreas,"ferreus, ferrea, ferreum"
ferro,"ferrum, ferri"
fidenter,fidenter
figuraeque,"figura, figurae"
figurae,"figura, figurae"
figura,figuro
filia,"filia, filiae"
filicia,filicia
felicula,filicula
feliculae,filicula
filii,"filius, filii"
filius,"filius, filii"
fit,"fio, fire"
firmus,"firmus, firma, firmum"
flammam,"flamma, flammae"
flavia,flavia
flavi,flo
floronius,Floronius
florus,"florus, flora, florum"
florem,"flos, floris"
flos,"flos, floris"
foliatus,foliatus
folium,"folium, folii"
foras,foras
forma,"forma, formae"
fortasse,fortasse
fortis,"fortis, fortiis"
fortuna,"fortuna, fortunae"
fortunata,Fortunata
fortun(a)tus,Fortun(A)Tus
fortunatus,fortuno
fortunate,fortuno
fratre,"frater, fratris"
fronto,Fronto
fructus,Fructus
fuficia,Fuficia
fulvius,Fuluius
fuminaria,fuminaria
fundat,"fundo, fundare"
fusci,Fuscus
fu`tu´ere,fu`tu´ere
futuerunt,futuerunt
futui{ì},futui{ì}
futuimus,futuimus
futuìt,futuìt
futuis,futuo
futuit,futuo
futuere,futuo
fututa,futuo
futui,futuo
futues,futuo
fututor,fututor
galeis,"galea, galeae"
galea,"galea, galeae"
galeata,galeata
galeati,galeatus
galeatum,galeatus
galeatus,galeatus
galerii,galerii
gallus,"gallus, galli"
gaud`i´ani,gaud`i´ani
gavi,gavi
gebeum,gebeum
geganius,Geganius
geneis,geneis
genialis,genial
genius,"genius, genii"
germanus,"germanus, germana, germanum"
gerens,"gero, gerere"
geryones,geryones
glaber,glaber
((gladiator,((gladiator
((gladiator cum scuto)),((gladiator
gladiatoreum,gladiatoreum
gladiatorum,"gladiator, gladiatoris"
gladiatores,"gladiator, gladiatoris"
gladiatori,"gladiator, gladiatoris"
gladiator,"gladiator, gladiatoris"
gladiatoris,"gladiator, gladiatoris"
gladiatoria,gladiatorius
gladius,"gladius, gladia, gladium"
gladioque,"gladius, gladia, gladium"
gladio,"gladius, gladia, gladium"
glaucus,glaucus
graffito,graffito
gryllus,gryllus
gs²m,gs²m
gubernaculis,gubernaculis
gubernaculo,"gubernaculum, gubernaculi"
gubernatore)),gubernatore))
guria(:curia),guria(:curia)
gutos,gutos
h,h
habes,"habeo, habere"
habere,"habeo, habere"
habenda,"habeo, habere"
haberent,"habeo, habere"
habeat,"habeo, habere"
habeas,"habeo, habere"
habet,"habeo, habere"
habeo,"habeo, habere"
habitamus,"habito, habitare"
habitat,"habito, habitare"
habitarunt,"habito, habitare"
habitaverunt,"habito, habitare"
haenas,haenas
hamas,hama
hamulam,hamula
hasta,"hasta, hastae"
he,he
hectic,hectic
hederae,hedera
heleni,helenium
heleusinae,heleusinae
helpis,helpis
hercolanius,hercolanius
herculanenses,herculanenses
herculani,herculani
Err:508,Err:508
heredae,heredae
heribus,heribus
herma,herma
hermeros,Hermeros
hermerotem,Hermeros
hermia,hermia
hermulus,hermulus
hoc,hic
hac,hic
hic,hic
haec,hic
hilare,"hilaris, hilariis"
hilari,"hilaris, hilariis"
hilarus,"hilarus, hilara, hilarum"
hinc,hinc
hispanus,hispanus
holconi,Holconi
"homo, hominis","homo,"
homo,"homo, hominis"
homini,"homo, hominis"
hominum,"homo, hominis"
hominis,"homo, hominis"
hominem,"homo, hominis"
homulo,homulo
honoris,"honor, honorem"
hoplomachus,hoplomachus
hortensi,Hortensius
hortus,"hortus, horti"
hostius,Hostius
huc,huc
humi,"humus, humi"
hus,hus
