term_id,term
763,sum
764,λυκρίων
765,πυγίζει
766,cadium
767,he
768,cor
769,is
772,φακι
773,φάβιος
774,κληβιχν
775,μολα
776,φουτουτρις
779,capitum
783,merco
784,ueho
785,rostrum
786,ἀλέξανδrος
789,mare
790,ὀνέϲιμοϲ
791,ευνυϲ
793,murmillo
794,flavia
796,saxum
797,δεργιαχαι
798,καντρια
799,romanus
805,magnum
806,meientem
808,vi
809,oculus
810,postquam
811,deduco
812,ignis
813,ob
814,uester
815,largifico
816,geneis
817,porrum
818,possum
819,lacruma
820,restinguo
821,flamma
822,incendo
823,tabificantque
824,animus
825,tiburtinus
826,ἐποίησε
828,clipeus
829,oblongus
830,(((:navis
831,remus
832,gubernatore))
833,s¹lm
834,lucifugus
837,βομβύκιον
838,quadro
839,tu
840,susceptum
844,t
846,rotundus
847,ut
848,sauf
849,vervicius
850,sav
851,bucolus
852,ascula
853,quisquis
854,catedra
855,sextus
857,augu
858,heribus
859,miscellus
860,armaturiis
861,admiror
862,paries
863,cado
864,ruina
865,caio
866,asinus
867,proculio
868,fatuus
869,aviani
870,uoueo
871,licintus
872,rru
873,russeus
874,cigrotue
876,m
877,amicus
878,umbricia
880,euche
881,ipse
884,rarus
885,lali
887,matrona
888,hinc
889,pes
890,detraho
891,ludo
892,decembres
896,atilius
897,(accepit)
898,asso
899,attineo
900,sollemne
902,iuuo
903,quintilius
904,quam
905,mitificus
906,pastor
907,atque
908,castus
909,monitum
910,erga
911,pugilo
912,tatius
914,quibus
915,asas
916,numerus
917,anaticula
918,comicus
919,icui
920,quattuor
922,ì
923,quorumc
924,primuis
926,comnis
927,olithus
928,rectus
929,sexto
930,burrenio
931,rubenses
932,rubus
933,genialis
934,theloate
935,scaudì
936,thymele
937,recte
938,mater
939,heleusinae
940,quicti
941,emo
942,k
944,iuni
945,idibus
946,iulis
947,inaures
948,pono
950,((denarium))
951,usura
952,ait
953,ex
954,ampliatus
955,mortuus
956,hercolanius
958,lacaenae
959,vadavo
961,utica
963,isidoru
968,sollemnis
969,asbestus
971,uenum
972,deìnde
973,redii
974,domì
975,pudor
976,mansuesco
977,tenere
978,cauo
980,iuro
981,mansuetus
982,prouocator
983,uenus
984,palma
985,fero
986,((semis))
987,algeo
989,us
991,galeatus
992,dequi
994,tres
997,antonius
999,mucius
1000,memmius
1001,epaphra
1002,acutus
1003,auctus
1004,locum
1005,reconduco
1006,tychen
1007,pretium
1008,singulus
1009,messalla
1010,lentulus
1011,consul
1013,debeo
1014,felicio
1016,ionicus
1017,quartio
1018,stratus
1020,caueo
1021,malum
1024,paco
1025,uexillum
1026,purmentarium
1027,omr
1028,accepi
1029,porcinus
1030,gavi
1031,((denarium?))
1033,caro
1034,aro
1035,pomλ
1036,eleusinus
1037,cominius
1038,multa
1039,facilis
1040,mus
1041,anicetum
1042,vìctoria
1043,ìnvicta
1044,reiicio
1046,hymnus
1348,pisu
1047,deius
1049,phyl
1052,capito
1053,nigrum
1054,nosco
1055,urso
1056,sacoma
1057,mimus
1058,magister
1060,nicedius
1061,ilia
1062,sentus
1064,vicccm
1065,anthus
1066,cusini
1069,priscus
1070,musicus
1072,ampelos
1074,glaucus
1076,domina
1077,venì
1079,vìco
1080,tyaniano
1081,quaero
1082,messio
1083,nummularius
1084,pleius
1085,apeleis
1086,((signa duo))
1087,familia
1088,gladiator
1089,ion
1090,pomponí
1091,faustus
1092,ní
1093,col((denarius))
1094,colonus
1095,lagoena
1096,prius
1097,absisto
1098,septem
1099,ingens
1100,corpus
1101,fundito
1102,humatio
1105,germanus
1106,miles
1107,ub(ique
1108,salutem?)
1109,philetero
1110,caphiso
1114,nux
1115,(assibus)
1116,singula
1117,ofella
1118,thymatula
1119,aebuti
1120,acute
1126,tiberius
1127,claudus
1130,suo
1131,paenula
1132,palliolum
1135,bellicus
1136,quendam
1137,luculentus
1138,uideo
1139,hoc
1141,fortuno
1142,sic
1144,f
1145,iar
1146,quidam
1147,pauper
1148,ligo
1149,paedico
1152,datio
1155,lasius
1157,spedio
1159,pompeiano
1160,augustalis
1163,amo
1165,dom
1171,ugoni
1172,pridie
1176,paganum
1177,maledico
1178,testificor
1179,coliatius
1180,acanthus
1181,tiber
1182,λvcvlvs
1183,fortis
1184,florus
1186,sol
1187,caselicius
1188,canus
1191,dorcas
1192,castalo
1194,prouidens
1195,crocale
1196,barbatus
1197,fuat
1198,callìdrome
1199,irrumo
1200,sed
1202,huc
1203,cupidus
1204,multo
1205,magnificenter
1206,eo
1207,cupio
1208,vectiga
1209,tabulo
1210,muscarius
1212,((quinque centum))
1213,status
1216,bino
1217,ac
1218,legio
1219,neque
1220,muliero
1221,scierunt
1222,nisi
1223,paucus
1224,sus
1225,eucapa
1226,puer
1227,statio
1228,fecit
1229,clim
1230,clodus
1231,amabiliter
1232,placidus
1233,futuìt
1234,voluìt
1236,instrumentum
1237,subiunctiuus
1238,sumo
1239,aluntius
1241,thorax
1243,uncus
1244,december
1245,vol
1248,apelles
1249,cubicularius
1250,dextrum
1252,prandeo
1253,futurus
1254,simulatque
1256,miccìocìocìo
1257,tuus
1258,pater
1259,caco
1260,confringo
1261,pera
1262,miccionis
1263,considerate
1265,cornelius
1266,faventinus
1267,tonsor
1268,fututor
1270,galerii
1272,centurio
1273,cento
1276,genius
1277,subcrispus
1279,quid
1280,omnia
1281,salinensi
1283,clauus
1284,uerus
1285,quacumque
1288,quantum
1289,myrtus
1290,xviiiì
1291,ocea
1292,mille
1293,meus
1294,sicula
1295,erro
1297,leo
1302,tm
1305,manio
1306,aemilius
1307,amor
1308,novisti
1309,scio
1310,commiseresco
1311,mei
1312,uenia
1313,flos
1314,uenor
1315,de
1317,mi
1318,batacare
1319,androgynes
1321,ouo
1322,iri
1324,aiunt
1326,loco
