EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR147686,4225,,7,,V,2,,Casa di N. Fufidius Successus,,,"Thallasae fusa Optatus
((:verba in forma navis scripta))",,,
EDR147881,---,,71,,V,4,10,,,,((:circulus florem continens)),,,
EDR147917,4230,b,17,,V,2,,Casa di N. Fufidii Successi,,,"Secundus
((:nomen SECVNDVS in forma navis scriptum))",,,
EDR147918,4229,,15,,V,2,,Casa di N. Fufidii Successi,,,"N(umerius) Popidius
Salvius
((:nomen in forma navis scriptum))",,,
EDR147919,4110,,18,,V,2,4,Casa del Triclinio,,,"Siletiollus
((:nomen SILETIOLLVS in forma navis scriptum))",,,
EDR147920,4230,a,16,,V,2,,Casa di N. Fufidii Successi,,,"Secun[du]s
((:nomen SECVNDVS in forma navis scriptum))",,,
EDR147921,4116,,19,,V,2,4,Casa del Triclinio,,,"Siletiolus
((:nomen SILETIOLVS in forma navis scriptum))",((:name SILETIOLVS written in shape of boat)),,
EDR147925,---,,78,,V,5,3,Caserma dei Gladiatori,,,"A
((:circulus circino tractus et florem continens))",,,
EDR147927,---,,79,,V,5,3,Caserma dei Gladiatori,,,((:circulus circino tractus et florem continens)),,,
EDR147928,---,,80,,V,5,3,Caserma dei Gladiatori,,,((:circulus circino tractus et florem continens)),,,
EDR147999,4111,,20,,V,2,4,Casa del Triclinio,,,"Siletiollus
((:nomen SILETIOLLVS in forma navis scriptum))",,,
EDR148422,---,,170,,V,2,10,,,,((:permulta quadrae et triangula)),((:geometric design of squares and triangles)),,
EDR147857,1362,,29,,VI,44449,,Via di Mercurio,,,"Psyche
((:Nomen Psyche in medio corde))",,,
EDR147863,---,,47,,VI,16,28,Casa della Caccia di Tori,,,((:circulus circulos continens)),((:circle containing circles)),,
EDR147876,---,,67,,VI,16,7,Casa degli Amorini Dorati,,,((:circuli)),((:circles)),,
EDR147877,---,,68,,VI,44449,,Via di Mercurio,,,((:circulus)),((:circle)),,
EDR147930,---,,82,,VI,16,29,,,,((:circulus florem continens)),,,
EDR147931,---,,88,,VI,44449,,Via di Mercurio,,,((:circulus circino tractus et florem continens)),,,
EDR147933,---,,117,,VI,15,,,,,((:circulus)),((:circle)),,
EDR147969,---,,125,,VI,15,16,,,,((:circulus circulos sectiles continens)),((:circles containing overlapping circles)),,
EDR147975,---,,136,,VI,9,6,Casa dei Dioscuri,,,((:circulus)),((:circles)),,
EDR147976,---,,137,,VI,9,7,Casa dei Dioscuri,,,((:circulus circino tractus)),((:compass-drawn circle)),,
EDR147977,---,,138,,VI,9,6,Casa dei Dioscuri,,,((:circulus circino tractus)),((:compass-drawn circles)),,
EDR147978,---,,139,,VI,9,6,Casa dei Dioscuri,,,((:circulus circino tractus)),((:compass-drawn circles)),,
EDR147979,---,,140,,VI,9,6,Casa dei Dioscuri,,,((:circuli sectiles circino tracti)),((:overlapping compass-drawn circles)),,
EDR148022,4668,,525,,VI,15,,,,,"Surre(n)tinas
Surrentinas
((:verba Surrentinas scripta in forma duae navium))
((:caput hominis))","Surrentinas
Surrentinas
((:words Surrentinas written in the shape of two boats))
((:head of a man))",,
EDR151847,10202,,,,VI,3,5,,,,((:corona)) ((:phallus ad sin. versus)) ((:corona)),((:crown)) ((:phallus)) ((:crown)),,
EDR173485,1373,,2121,,VI,11,,,,,"ivenis
Mnester va(le) LVII XVII
XXI
CXXXX ((:navis)) LXVII LXXX",,,
EDR175590,1256,,,,VI,8,5,Via delle Terme,,,"Sabine calos Hermeros te amat ((:palma))
Sabine calos HIIRMIROIITEAMATA ((:palma))",,,
EDR147687,4755,,8,Pompeii,VII,7,5,Casa di Trittolemo,,,"Cresces architectus
((:verba scripta in forma navis cum malo et remis))",,,
EDR147717,1764,,1,Pompeii,VII,7,,,,,"Neptunus
((:nomen NEPTVNUS in forma navis scriptum))",,,
EDR147725,9039,,2,Pompeii,VII,6,38,,,,"Neptunus
((:nomen NEPTVNUS in forma navis scriptum))",,,
EDR147777,4742,,9,Pompeii,VII,7,5,Casa di Trittolemo,,,"Cresce(n)s Spatalo
sal(utem)
((:verba CRESSCES SPATALO in forma navis scripta))",,,
EDR147779,4716,,13,Pompeii,VII,7,5,Casa di Trittolemo,,,"Cresce(n)s architectus
((:verba CRESCES ARCHITECTUS in forma navis scripta))",,,
EDR147875,---,,61,Pompeii,VII,12,14,,,,((:circulus fortasse rota)),,,
EDR147970,---,,126,Pompeii,VII,12,14,,,,((:circulus circulos sectiles continens)),,,
EDR147971,---,,127,Pompeii,VII,7,18,Caupona di Lucius Numisius,,,((:circulus circulos sectiles continens)),,,
EDR147972,---,,129,Pompeii,VII,9,,,,,((:circulus circulos et flores continens)),,,
EDR147973,---,,130,Pompeii,VII,9,,,,,((:circulus circino tractus et circulos floresque continens)),,,
EDR150761,9050,,231,Pompeii,VII,9,,Aedificium Eumachiae,,,((:hermas virorum duos ad sin. conversos)),,,
EDR150762,9052,,233,Pompeii,VII,9,1,Aedificium Eumachiae,,,((:virorum facies duas)),,,
EDR151668,2010,,,Pompeii,VII,11,11,Albergo dei Cristiani,,,"Rete va(le)
((:phallus))",,,
EDR151701,2014,,224,Pompeii,VII,11,11,Albergo dei Cristiani,,,"((:hominis facies))
Vespasius [---]",((:human face)),,
EDR151705,9021,,883,Pompeii,VII,6,28,,,,"Si tibi cu
((:gladiator))
((:gladiator))",,,
EDR179268,0031,,,Pompeii,VII,3,10,Taberna,,,"((:phallus))
Πινυτος",,,
EDR179269,0032,,,Pompeii,VII,3,10,Taberna,,,"((:cornus))
Equillus",,,
EDR145438,02181,,,Pompeii,7,12,18,Lupanar,,,((:phalli figura)),((:figure of phallus)),,
EDR149285,02237,,,Pompeii,7,12,18,Lupanar,,,((:phallus)),((:phallus)),,
EDR159441,02248 (nota),,531,Pompeii,7,12,18,Lupanar,Human figures,,((:hominis facies)),,,
EDR159439,02248 (nota),,1768,Pompeii,7,12,18,Lupanar,Animals,Drawing of a bird?,"((:psittaci, ut videtur, figura))",((:drawing of a bird? parrot?)),,
EDR150010,02254,,,Pompeii,7,12,18,Lupanar,Erotic images,,((:phallus)),((:phallus)),how do we indicate it's with text?,
EDR149159,4926,,300,Pompeii,VIII,5,2,Casa del Galo (?),Human figures,Drawing of a head and phallus,((:caput hominis)) ((:phallus directus versus os capitis illius)),((:man's head)) ((:upright phallus pointing towards man's head)),,
EDR149196,4938,,,Pompeii,VIII,5,16,,Human figures,Drawing of gladiator combat,"((:duo gladiatores, a quibus alter, sub SAC, alterum, sub M, tridente petit))","((:two gladiators, one attacking the other with a trident))",,
EDR150296,1991 (nota),,,Pompeii,VIII,3,24,Casa di Apollo e Coronis,Human figures,Drawing of gladiator combat,"((:figurae duorum gladiatorum, alter retiarius est cum fuscina; alter cum hasta et fortasse cum fuscina armatus est))","((:figures of two gladiators, one is a retiarius with a trident; the other is armed with a spear and perhaps a trident))",,
EDR150297,1992 (nota),,896,Pompeii,VIII,3,24,Casa di Apollo e Coronis,Human figures,Drawing of a gladiator,((:figura gladiatoris cum galea ac fortasse scuto)),((:figure of a gladiator with a helmet and perhaps a shield)),,
EDR150397,10212 (nota),,1355,Pompeii,VIII,5,,,Animals,Drawing of a house and an animal,((:casulae frons cui et ad d. et ad sin. palma adiecta est et cuius portam quadrupes petit qui cornibus longis in cervi modum praeditus esse videtur)),"((:front of a house flanked on the right and the left by a palm, and whose door is approached by a quadruped who seems to have long horns like a deer))",,
EDR161789,2416,,,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",,,((:figura hominis)),,,
EDR176280,---,,728,Pompeii,VIII,2,20,Terme del Sarno,Human figures,Drawing of a person,((:figura hominis currens ad sin.)),((:human figure running to the left)),,
EDR176281,---,,729,Pompeii,VIII,2,20,Terme del Sarno,Human figures,Drawing of a person,((:figura hominis currens (?))),((:figure running?)),,
EDR176283,---,,730,Pompeii,VIII,2,20,Terme del Sarno,Human figures,Drawing of a person,((:figura hominis currens ad dex.)),((:figure running to the right)),,
EDR176284,---,,731,Pompeii,VIII,2,20,Terme del Sarno,Human figures,Drawing of a person,((:figura hominis currens ad dex.)),((:figure running to the right)),,
EDR176288,3593,,,Pompeii,VIII,5,,,Human figures,Drawing of two figures,((:figura hominis)) M ((:figura hominis)) D,((:human figure)) ((:human figure)),,
EDR176289,3593 (nota),,,Pompeii,VIII,5,,,Human figures,Drawing of two figures,((:figura hominis)) ((:figura hominis)),,,
EDR175859,4950,,27,Pompeii,VIII,6,4,,Plants,Drawing with text,"((:Palma est posita inter verba et omnia scuto cum hastis inclusa sunt))
ΒΑΧΧΙS ΔΟΜΝΑ",((:palm branch and the words ΒΑΧΧΙS ΔΟΜΝΑ placed within the drawing of a shield and spears)),,
EDR176285,1184,,,Pompeii,VIII,7,16,Quadriportico del Teatro,Other,Drawing of a musical instrument,((:figura bucinae)),((:drawing of a horn)),,
EDR176287,---,,938,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a person holding a palm branch,((:figura hominis tenens manu sinistra palmam et ambulans ad dextram)),((:human figure holding a palm branch in his left hand and walking to the right)),,
EDR174883,4876,,,Pompeii,VIII,2,20,Terme del Sarno,Erotic images,,"Regulo feliciter · quia · verpa est ((:phallus))
Reg
Regu",((:phallus)),,
EDR175508,4870,,1029,Pompeii,VIII,2,20,Terme del Sarno,Gladiators,Drawing of gladiator match with labels,"〈:ad sinistram〉
Q(uintus) Ptronius m(issus)
Otavs 〈:pugnarum〉 XXXIIII
((:gladiator fugiens))

5 〈:ad dextram〉
Severus · v(icit)
lib(ertus) 〈:pugnarum〉 XXXXXV
((:gladiator qui alterum illum persequitur))","((:gladiator fleeing))

((:gladiator pursuing the other))",,
EDR175144,4879,,1458,Pompeii,VIII,2,20,Terme del Sarno,Animals,,"Castor
((:equus))",((:horse)),,
EDR175795,4920,,234,Pompeii,VIII,2,36,Casa di Caecilius Phoebus,Human figures,Drawing of head,ANA ((:caput hominis)),((:human head)),,
EDR175965,728,,,Pompeii,VIII,4,4,Casa dei Postumii/Casa di Olconio,Gladiators,,"Primi=
g̣en=
us

〈:infra〉
5 ((:navis))

〈:infra〉
((:gladiator cum scuto longo, galea, et gladio))","((:boat))
((:gladiator with long shield, helmet, and sword))",,
EDR175600,4885,,1726,Pompeii,VIII,2,26,Casa del Cinghiale,,,((:anser spectans ad sinistram)),,,
EDR151809,2468,,785,Pompeii,VIII,7,16,Quadriportico del Teatro,Gladiators,Drawing of gladiator,"〈ad dexteram〉 ((:galea cristata columnae vel polo imposita))
M(---?) Ṿaleṛiu(s) IṾ[- - -]
〈:infra〉 ((:gladiator armatus))","((:helmet with plume atop a column or pole))
((:gladiator wearing equipment))",,
EDR148380,---,,152,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Geometric designs,Drawing of a labyrinth,((:labyrinthus circularis)),round labyrinth,,
EDR148381,---,,153,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Geometric designs,Drawing of a labyrinth,((:labyrinthus circularis)),round labyrinth,,
EDR148416,---,,154,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Geometric designs,Drawing of a labyrinth,((:labyrinthus circularis)),round labyrinth,,
EDR167662  ,3204,,204,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Human figures,Drawing of a bearded man,((:Caput viri barbati ad sin.)),Head of a bearded man facing left,,
EDR167663,---,,458,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a face,((:Caput viri ad sin.)),Head of person facing left,,
EDR167665,2419 (nota) = 2423 (nota),,459,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a face,((:caput viri ad sin.)),Head of a man facing left,,
EDR167666,2416 (nota),,,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of two faces,((:duo capita hominum)),Heads of two people,,
EDR167667,---,,1263,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord","Human figures, Erotic images",Drawing of a man with a large phallus,((:vir maximum phallum meientem tenens ad sin. conversus)),"A man, facing left, with a large phallus",,
EDR167675,2438 (nota),,559,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord","Human figures, Gladiators",Drawing of a head or a helmet,((:caput hominis vel galea?)),Head of a person or a helmet,,
EDR167677,---,,578,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a face,((:caput hominis prospiciens)),Head of a person facing forward,,
EDR167682,---,,658,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Human figures,Drawing of a person,((:figura stans)),Standing figure,,
EDR167689               ,---,,671,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a person,((:figura stans)),Standing figure,,
EDR167693,2416 (nota),,740,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a person,((:figura hominis)),Human figure,,
EDR167857,2451 (nota),,783,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Gladiators,Drawing of a gladiator,"((:gladiator galea cristata, gladio, scuto longoque armatus et subligaculo et fasciis indutus)) ","Gladiator wearing loincloth and ribbons, and equipped with a crested helmet, sword and long shield",,
EDR167698,---,,853,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Gladiators,Graffito drawing?,((:lineae variae intersectae)),Various intersecting lines,,
EDR167700,2414 nota,,898,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Gladiators,Drawing of gladiators,((:gladiatorum figurae)),Gladiator figures,,
EDR167706,2414 (nota),,1083,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Human figures,Drawing of a hunting scene,"((:venatio, eques ad d. hasta scuto gladioque armatus cervum iaculo vulneratum prosequens))","Hunting scene, horseman, facing right armed with a spear, shield, and sword, following a deer that has been wounded by a spear",,
EDR167858,---,,1005,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Gladiators,Drawing of a gladiator match,"((:duo gladiatores, murmillo et samnes?, scutis et galeis induti, alter gladio brevi, alter hasta armatus))","Two gladiators, a murmillo and Samnite, carrying shields and helmets, one with a short sword, the other with a spear",,
EDR167859,---,,1013,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Gladiators,Drawing of a gladiator match,((:duo gladiatores pugnantes)),Two gladiators fighting,,
EDR167776                ,---,,1077,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Other,Drawing of two figures?,((:animal et gladiator?)),animal and gladiator?,,
EDR167777                ,---,,1123,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Human figures,Drawing of a hunting scene ,"((:venatio, equi venatores pisces aliae figuraeque))","Hunting scene that includes horses, hunters, fish, and other figures",,
EDR167778                ,---,,1157,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud","Human figures, Animals","Drawing featuring several figures and an animal, possible theatrical scene","((:vir petasatus et alter vir baculum tenens (=Mercurius?), animal (taurus?) eos prosequens, et duae figurae procul))","A male figure wearing a hat, another holding a staff (=Mercury?), an animal (bull?) chasing them, and two figures in the background",,
EDR167806                ,---,,1158,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Human figures,"Drawing of two figures, possible theatrical scene",((:vir pileatus et figura hominis)),Man wearing a pointed hat and another figure,,
EDR167807                ,---,,1188,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Human figures,Drawing of Hercules wearing the lion skin?,((:caput viri (Herculis?) ad sin.)),,,
EDR167808                ,---,,1263,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Animals,Drawing of a horse,((:Equus ad d.)),Horse facing right,,
EDR167809                ,---,,1290,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord","Erotic images, Animals",Multiple drawings atop each other (bird? boat? phallus),"((:navis?)) ((:avis?))
((:phallus))",Boat? Bird? Phallus,,
EDR167810                ,---,,1403,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse wearing fancy decorations,((:Equus ornatus et infrenatus ad sin. currens)),Bridled horse wearing decorations and running to the left,,
EDR167811                ,---,,1404,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Equus infrenatus ad sin. currens)),Bridled horse running to the left,,
EDR167812                ,---,,1405,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse ,((:Equus infrenatus ad sin. currens)),Bridled horse running to the left,,
EDR167813                ,---,,1406,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse ,((:Equus ad sin.)),Horse running to the left,,
EDR167814                ,---,,1407,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Equus infrenatus ad sin. currens)),Bridled horse running to the left,,
EDR167815                ,---,,1414,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of an animal,((:animal)),Unknown animal,,
EDR167816                ,---,,1415,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Equus infrenatus ad sin. currens)),Bridled horse running to the left,,
EDR167707               ,2414 (nota),,1416,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Animals  ,Drawing of a horse,((:Equus infrenatus ad d.)),Bridled horse facing right,,
EDR167822                ,---,,1417,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:equus infrenatus ad sin. currens)),Bridled horse running to the left,,
EDR167823                ,---,,1418,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Caput equi ad d.)),Head of a horse facing right,,
EDR167824                ,---,,1419,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Equus ad sin.)),Horse facing left,,
EDR167825                ,2448 (nota),,1420,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a horse,((:Equus)),Horse,,
EDR167826                ,---,,1602,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Animals,Drawing of an animal,((:Quadrupes ad sin.)),Four-legged animal facing left,,
EDR167827                ,---,,1603,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Animals,Drawing of an animal?,((:Quadrupes?)),Four-legged animal?,,
EDR167828                ,---,,1799,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Animals,Drawing of a fish,((:Piscis)),A fish,,
EDR167829                ,---,,1800,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of a fish,((:Piscis ad d.)),Fish facing right,,
EDR167830                ,---,,1801,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Animals,Drawing of fish,((:Duo pisces ad sin. conversi)),Two fish facing left,,
EDR167831                ,---,,1872,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of the hull of a boat,((:carina navis)),Hull of a boat,,
EDR167832                ,---,,1887,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis)),Boat,,
EDR167833                ,---,,1888,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat (cargo ship),((:Navis oneraria merces vehens et velis remis et rostro instructa)),Cargo ship carrying merchandise outfitted with sails and oars,,
EDR167774               ,---,,1894,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis cum malo et velis et remis)),"Boat with mast, sails, and oars",,
EDR167775               ,---,,1895,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis cum malo et velis)),Boat with mast and sails,,
EDR167834                ,2421 (nota),,1899,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat with helmsman,((:navis cum malo velis remis et gubernatore)),"Boat with mast, sails, oars and helmsman",,
EDR167838                ,---,,1917,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:Navis cum malo et rudibus)),Boat with mast and ropes ,,
EDR167839                ,---,,1922,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:Navis)),Boat,,
EDR167840                ,---,,1923,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat?,((:Navis cum velis?)),Boat with sails?,,
EDR167841                ,---,,1930,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:Navis cum malo et velis et remis)),"Boat with mast, sails, and oars",,
EDR167842,---,,1936,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis cum remis et vectoribus)),Boat with oars and ?,,
EDR167843,---,,1937,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:Navis cum malo et velis)),Boat with mast and sails,,
EDR167844                ,---,,1938,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis cum malo velis et gubernaculo)),"Boat with mast, sails and rudder",,
EDR168121,---,,1966,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:navis malo et prora et aplustri instructa)),"Boat with mast, prow, and stern ornament",,
EDR167845,---,,1973,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:navis cum malo)),Boat with mast,,
EDR167846,---,,1974,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat ,((:navis cum malo)),Boat with mast,,
EDR167856,---,,1975,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis)),Boat,,
EDR167898,2451,,,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",,,((:duo ornamenta scuti)),,,
EDR168076               ,---,,1997,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:navis instructa velis)),Boat with sails,,
EDR168079                ,---,,1998,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis instructa velis)),Boat with sails,,
EDR168081,---,,1999,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis velis maloque instructa)),Boat with mast and sails,,
EDR168107               ,---,,2047,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:navis instructa velis)),Boat with sails,,
EDR168108,---,,2048,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis instructa velis remisque)),Boat with sails and oars,,
EDR168109,---,,2049,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis instructa velis)),Boat with sails,,
EDR168124               ,---,,2050,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:pars superior navis instructae velis maloque)),Upper part of a boat with sails and mast,,
EDR168125               ,---,,2051,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Boats,Drawing of a boat,((:pars superior navis instructae velis maloque)),Upper part of a boat with sails and mast,,
EDR168126,---,,2052,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud","Boats, Animals",Drawing of a boat and fish,((:navis instructa gubernaculo et velis in quibus duo pisces magni et una avis sunt)),Boat with rudder and two fish and a bird in its sails,,
EDR168127               ,---,,2061,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis instructa velis)),Boat with sails,,
EDR168128,---,,2084,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of two boats of different sizes,"((:duae naves, alter ad sin. magna instructa velis, malo, et gubernaculo, altera parva ad d. instructa velis))","Two boats, a larger boat on the left with a sail, mast, and rudder, and a smaller boat on the right ",,
EDR168129,---,,2180,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,((:navis)),Boat,,
EDR168130,---,,2212,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,"Drawing of four boats with sails, masts, and rudders","((:quattuor naves instructae velis, malis, et gubernaculis))","Four boats outfitted with sails, masts, and rudders",,
EDR168131               ,---,,2236,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,"Drawing, perhaps a boat's sail?","((:quadratum lineis variis notatum, vela?))","Quadrilateral shape marked with various lines, perhaps a sail",,
EDR168132               ,---,,2253,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a ship's keel?,((:carina navis)),The keel of a boat?,,
EDR168133               ,---,,2254,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,"Drawing, perhaps a boat's sail?","((:variae lineae, alterae directae alterae curvae, vela?))","Various vertical and horizontal lines, perhaps a sail",,
EDR168134               ,---,,2255,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat,"((:pars superior navis, vela et malus))","The upper part of a ship, with sails and mast",,
EDR168135               ,---,,2256,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing,((:linea curva intersecta aliis lineis)),Curved line intersected by other lines,,
EDR168136               ,---,,2257,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud",Boats,Drawing of a boat (or two?),((:carina navis et fortasse minor navis supra)),A ship's keel and perhaps a smaller boat above,,
EDR168137               ,---,,2291,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro nord",Other,Drawing of a tower?,((:turris?)),tower?,,
EDR168138               ,---,,2524,Pompeii,VIII,7,20,"Corridoio dei Teatri, muro sud","Boats, Erotic images","Drawing of various lines, perhaps a phallus or a ship's sail?","((:lineae variae, phallus? vela?))","Various lines, perhaps a phallus or a ship's sail?",,
