EDR entry,CIL#,"a, b, etc.",Langner,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,,
EDR124976,08215 (nota),,1432,Pompeii,1,8,17,Casa dei Quattro Stili,Animals,,equus ad sin. incedens,horse trotting to the left,,
EDR124977,08215 (nota),,1900,Pompeii,1,8,17,Casa dei Quattro Stili,Boats,Drawing of a boat,navis cum ramis maloque,ship with oars and mast,,
EDR124978,08215 (nota),,1901,Pompeii,1,8,17,Casa dei Quattro Stili,Boats,Drawing of a boat,navis cum ramis,ship with oars,,
EDR125002,08222 (nota),,498,Pompeii,1,8,17,Casa dei Quattro Stili,Human figures,,viri facies ad sin.,face of a man to the left,,
EDR149039,08385 (nota),,1704,Pompeii,1,10,8,Casa di Minucius Fuscus,Animals,Drawing of a rooster,gallus ad sin. rostro cibum carpens,"rooster pecking at food, facing left",,
yellow=HMS; purple=Kyle,,,,,,,,,Animals / Boats / Erotic images / Geometric designs / Gladiators / Human figures / Other / Plants,green = approved,Latin Description is pulled from EDR.,Translate Latin description of figural graffito into English,,
EDR173785,"only in Della Corte 1939, p. 260",,,Pompeii,II,7,1,Campus ad amphitheatrum,Other,Drawing of an ancient herm,"((:herma, ad d. prospiciens))",Herm statue facing right atop a tall base,,
EDR173705,8611 (nota),,,Pompeii,II,7,1,Campus ad amph.,Geometric designs,Compass-drawn circle,((:circulus cum circino tractatus)),Drawing of a circle,,
EDR128563,8519,,,Pompeii,II,7,1,Campus ad amph.,Geometric designs,Drawing of a geometric design,((:crux orbiculis ad extremum bracchiorum)),Cross with small circles at the end of each arm,,
EDR167509,THIS EDR NUMBER IS WRONG- THE INFO IN THIS ROW DOES NOT MATCH THE INFO IN EDR FOR THIS ENTRY,"RRB, working from AGP",,,,,,Campus ad amph.,Geometric designs,Drawing of concentric circles ,"((:circuli duo, unus alterum continens))","Two circles, one containing the other",,
EDR168046,,,,Pompeii,II,7,1,Campus ad amph.,Erotic images,Drawing of phalloi,((:duo phalli ad d.)),"Two phalloi, pointing toward the right",,
EDR128017,8571,,,Pompeii,II,7,1,Campus ad amph.,Other,Graffito with text and drawings,((:caduceus)),Two drawings of a caduceus appear amid a mix of letters,,
