EDR entry,CIL#,"a, b, etc.",Langner #,City,Regio,Insula # or OutsideWalls or WithinWalls,Main Entrance,Property Name - English,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Translation of Description ,Commentary ,AGP = Update of CIL?,Contributors
 ,,,Does the CIL # have a drawing with a Langner #,,,(no spaces in the names),,,,,Latin Description ,,,,
EDR145032,,,1688,Herculaneum,,V,1,Samnite House,Animals,Drawing of a rooster,gallus cum crista alisque,rooster with comb and wings,,,
EDR145036,,,2169,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief,Boats,Drawing of a boat,navis,boat,,,
EDR145037,,,2220,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief,Boats,Drawing of a boat,carina navis,keel of ship,,,
EDR144347,10561 (nota),,2318,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae cum parte columnae ornamentae et fortasse scalae,base and part of a decorated column and perhaps a ladder,,,
EDR144348,10561 (nota),,2319,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae,column base,,,
EDR144349,10561 (nota),,2320,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae,column base,,,
EDR144350,10561 (nota),,2321,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae,column base,,,
EDR144352,10561 (nota),,2322,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae,column base,,,
EDR144353,10561 (nota),,2323,Herculaneum,,IV,21,House of Stags,Other,Drawing of a column base,basis columnae,column base,,,
EDR144354,10532,,11 & 12,Herculaneum,,IV,15-16,Grand Taberna,Boats,Names written in the shape of boats,"nomina FAVSTVS et NOTHVS scripta in forma trium navium, NOTHVS bis","names FAVSTVS and NOTHVS written in the shape of three boats, NOTHVS twice",,,
EDR140144,10568,,,Herculaneum,,V,10,Taberna,Erotic images,Drawing of a phallus,phallus,phallus,,,
EDR140061 ,10604,a,,Herculaneum,,VI,"1,7-10",Central Baths,Erotic images,Drawing of a phallus,phallus,phallus,,,
EDR140054,10622,,,Herculaneum,,InsulaOrientalisI,2,House of the Telephus Relief ,Boats,Greetings written in the shape of a boat,feliciter in forma navis scriptum,FELICITER written in the shape of a boat,,,
EDR140239,10652,,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,Name written in the shape of a boat,nomen C(AIUS) IUNIUS in forma navis scriptum,name CAIUS IUNIUS written in the shape of a boat,,,
EDR153742,10655,a,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,Name written in the shape of a boat,nomen SILENTIOLUS in forma navis scriptum,name SILENTIOUS written in the shape of a boat,,,
EDR153743,10655,b,,Herculaneum,,InsulaOrientalisII,2-3,,Boats,Name written in the shape of a boat,nomen SILENTIOLUS in forma navis scriptum,name SILENTIOUS written in the shape of a boat,,,
EDR158823,10535 (nota),,,Herculaneum,,IV,15-16,Grand Taberna,Erotic images,Drawing of a phallus,phallus,phallus,,,
EDR154541,10704 (nota),,,Herculaneum,,OutsideWalls,,Ramp,Erotic images,Drawing of a phallus,phallus,phallus,,,
EDR158824,10711 (nota),,,Herculaneum,,V,35,House of the Grand Portal,Erotic images,Drawing of a phallus,phalllus,phallus,,,
EDR159351,not published yet,,,Herculaneum,,,,Ramp,Erotic images,Drawing of a phallus,phallus,phallus,,,
EDR159866,,,,Herculaneum,,IV,17,Taberna of Priapus,Human figures,Drawing of a head,caput viri barbati,head of bearded man,,,
EDR159867,,,,Herculaneum,,IV,17,Taberna of Priapus,Human figures,Drawing of a head,facies,face,,,
EDR159868,,,,Herculaneum,,V,15,House of the Bicentenary,Other,Drawing of two lanterns,duae lanternae,two lanterns,,,
EDR159869,,,,Herculaneum,,WithinWalls,,Decumanus Maximus ,Boats,Drawing of a boat,navis oneraria,cargo ship,,,
EDR159886,not published yet,,,Herculaneum,,WithinWalls,,Cardo III,Human figures,Drawing of a head with the name Gaius repeated,caput viri cum nomine Γαιοc in collo,head of a man with the name Γαιοc written on his neck   ,,,
EDR159880,,,,Herculaneum,,WithinWalls,,Decumanus Maximus ,Human figures,Drawing of a man wearing a helmet,caput viri galeati,head of man wearing helmet,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,62 figural graffiti in Herculaneum,,,,,,,,,,,,,,
,"(at AGP, we have 59 figural graffiti Herc. online)",,,,,,,,,,,,,,
