EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR140039  ,10567,,,5,〈:columna I〉branc / broc / trans / nus〈:columna II〉nos/ter / tros / men 〈:columna III〉quod / quid / quae / quas〈:columna IV〉rum / quis / que / dem〈:columna V〉con / les / lis / muḷ〈:columna VI〉mol / ma / me / mae,Grammatical exercise,(Series of syllabus and words),,,,,"These are what are presumed to be grammatical exercises. However, many of the words have no definable meaning."
EDR140144,10568,,,5,Ma(n)sueta / tene ((:phallus)),Erotic graffito,"Mansueta, hold (on/it?)",,,,,"The message was written in charcoal. It seems likely that someone came at a later point and added a drawing by scratching it into the wall plaster beside the text, probably creating a joke."
EDR140166,10569,,,5,Cum quidam pauper ligas vi[vere?------] NQ,Beginning of a poem,When a certain poor man...,,,,,This beginning of a verse appears in graffiti several times at Pompeii and Herculaneum...
EDR140181,10570,,,5,Severus,Graffito naming Severus,Severus,,,,,
EDR140182,10571,,,5,CLXX,Roman numerals,"""170""",,,,,
EDR140184,10572,,,5,Iuvari,Graffito,To be helped,,,,,
EDR140185,10573,,,5,VERIII,Graffito naming Verus(?),Verus(?),,,,,"Solin suggests that this should be read as ""Verei"", the vocative for the name Vereius, a name known from Spain, Britain, and Africa."
EDR150399,10574,a,,5,L(uci) Aviani votum,Graffito mentioning a vow,"A vow (literally, something vowed) of Lucius Avianus",,,,,
EDR140186,10574,b,,5,Φab(ius),Graffito in Greek ,Fab(ius),,,,,"Possibly sexual (What? Not us- Lilly and Nathan) The name of a Romen gens transliterated into the Greek. The ""a"" and ""b"" in caps are probably the Greek ""α"" and ""β"".  Della Corte and CIL decided to label this as **** rather than ***"
EDR140195,10575,,,5,XI k(alendas) pane(m) factum / III nonas pane(m) factum /〚III〛,Statement about a transaction,"Eleven days before the Kalends, bread was made. Three days before the Nones, bread was made. Three",,,,,This graffito shows the Roman dating system. For more information on that go to the commentary for CIL IV.10579
EDR140197,10576,,,5,ROM,Beginning of a name (?),"Rom(ulus?), or Rom(a?)",,,,,"This could be Roma, Romula, or Romulus, or the initials of a tria nomina."
EDR140200,10577,,,5,Προκλα,Graffito in Greek,Πρόκλα,,,,,"The name Προκλα is a fairly common Greek name. It even appears in Italy a few times. CIL says to use Προκλα for Procula, though Προκλα is a name and does not necessarily need to be changed."
EDR140206,10578,,,5,<:columna I> Rom(a?) / ω / R <:columna II> Ocaeanus,Graffito naming Oceanus,(...) Oceanus,,,,,Ask about this ω.
EDR140188,10579,,,5,VIII K(alendas) Martias / Numisii Genialis / gladiatorum paria X / Herculani,Statement about gladiatorial games,"On the eighth day before the Kalends of March (= February 22), ten pairs of gladiators (sponsored by) Numisius Genialis (will fight) at Herculaneum ",,,,,"This graffito is an informal announcement for gladiatorial games. In Pompeii we see large painted announcements of games, but this is very different because it is on a much smaller and less public scale. It states there will be a match that will have ten pairs of gladiators figthing. It is also important to note that the benefactor of these games appears to be a single person: Numisius Genialis. Advertisements in Pompeii usually announce twenty pairs of gladiators, so by comparison this a much smaller fight but still impressive since it seems that there is only a single benefactor. This graffito shows that there was a gladiatorial presence in the city of Herculaneum. There are also drawings of gladiator helmets which show that there was interest in gladiators in the city. Gladiatorial games were often used to improve public morale and were put on by the political elite to gain more popularity in the city. Evidence of gladiatorial games come from all over the Roman world, so is a common event. 
This graffito also provides an example of the dating system the Romans used. Instead of numbering the days of the month from one to thirty, the Romans named only three days in the month: the kalends, the nonnes, and the ides. The rest of the days were counted backwards from the closest named date. In this case the date that the games will be held is eight days before the kalends of March, meaning eight days before the first of March, which is February 24th."
EDR140191,10580,,,5,ex sept(em?),Wordplay (anagram),I wiped myself,,,,,How is this wordplay? I can't remember
EDR140141  ,10581,,,5,Centurio / centonem non habet / cen(---?),Statement about a centurion,The centurion does not have a blanket (...),,,,,This is the only graffito referencing anything about the miltary that we see in Herculaneum.     Patch-work quilt or cap worn under the helmet.
EDR140138,10582,,,5,Burr[us] petat H(---),Graffito,Burr(us) seeks (?),,,,,"A proposed translation for this is ""Burrus seeks"" however we cannot be sure of what the graffito is saying; there is some ambiguity. The first four letters of Burrus are visible and it is thought that they would finish to the name Burrus, though one cannot be sure. The reading of the incription was pedad, which CIL suggests should be changed to petat. "
EDR151872,10583,a,,5,Q(uintus) ++++++++,Graffito ,Quintus (...other text illegible),,,,,
EDR140139,10583,b,,5,Salvia Superba,Graffito naming Salvia Superba,Salvia Superba,,,,,
EDR140134,10584,,,5,David,Graffito naming David,David,,,,,There's got to be something we can say about this one-more than just that there is evidently some little Hebrew presence in the area.
EDR140164  ,10585,,,5,[---]N LA[---],Series of letters,(series of letters),,,,,Plaster missing to the left.
EDR140167,10586,a,,5,CEN,Series of letters,(series of letters),,,,,
EDR140169,10586,b,,5,GENT[--]RR[---],Series of letters,(series of letters),,,,,
EDR140175      ,10586,c,,5,[---] DIII VII,Series of letters,(series of letters),,,,,
EDR140178,10586,d,,5,cui in,Graffito,to whom in . . . ,,,,,
EDR145296 ,10586 (nota),,486,5,((:viri imago ad sinistram)),Drawing of a man,,,,,,
EDR140179,10587,,,5,P S (A)edituis,Graffito mentioning an office,P S   For the temple-attendants(?),,,,,"aedituus = aeditumus (OLD), but former form in inscriptions; is this nom sg or dat plural? It is unclear what the P and S signify."
EDR140127,10588,a,,5,Bal̂b(us),Beginning of a name,Balbus,,,,,"This graffito may be referring to Marcus Nonius Balbus, who was a patron of Herculaneum. He was the benefactor of many public buildings, such as the basilica. After his death the town erected a statue and plaque which listed his honors and deeds for the city, this inscription can be found as EDR073648. The ""l"" and the ""b"" are in nexus."
EDR140057,10588,b,,5,Φιλιππι,Graffito in Greek,Oh Philippos!,,,,,"Possibly transliterated (?). This may be Φιλιππος, though it has a Latinized ending."
EDR151873,10589,,,5,[---] socio F[---]/[---s?]AL(utem?),Graffito,(...) with a friend (...),,,,,"This graffito may contain greetings to a friend (socio), but much of the message is missing because of the deterioration of the wall plaster."
EDR151874,10590,,,5,((:circulus duplex)) IIIII/XX/XX/X,Roman numerals,"""5"" ""20"" ""20"" ""10""",,,,,
EDR151876,10591,,,5,Pr(etio?) XXX cu[+]XXX,Roman numerals,Price: 30   Cu(?): 30,,,,,"Perhaps the writer intended ""Pr"" as ""pretio"". Translation: ""With a price of '30', '30' (?)"". The meaning of ""cu"" is uncertain."
EDR151877,10592,,,6,Spedio Antymo [- - -]/[redi?]bis e Pompeian[o]/a Colono sạ(lutem?)/est augusta̲l̲[is],Graffito mentioning travel,To Spedius Antymus (... other letters here...) from Colonus (... other letters here...),,,,,what should we say?
EDR151886,10593,,,6,Saco(mata?) XX,Mention of weights and measures,"Counterweights(?) ""20""",,,,,
EDR151884,10594,,,6,Ἑρμία(ς),Graffito in Greek ,Hermias (i.e. a name),,,,,
EDR151890,10595,,,6,[- - -]cio s(alutem?) morieris Tomi. / Feliciter,Graffito mentioning the city Tomis,(... other letters here...) you will die in Tomis. Good luck! ,,,,,"Tomis was an ancient city in Dacia, on the western side of the Black Sea. It is well known because it is where Ovid was sent for his exile."
EDR145936,10596,,,6,Echio va(le),Greetings to Echio,Goodbye Echio.,,,,,Cf. CIL IV.10643
EDR156776,10596 (nota),,1377,6,((:vir baculo nixus)),Drawing of a man,,,,,,Drawing of a man holding a walking stick
EDR151892,10597,,,6,Cosmus cas(tus?),Graffito naming Cosmus,Chaste(?) Cosmus.,,,,,Cosmus was a leading ungent dealer in Rome.
EDR140145,10598,,,6,[Ὀ]νέϲιμοϲ/ευνυϲ/LI[-]EM,Graffito in Greek,Onesimus (. . .),,,,,"Transliterated Greek name ""Ονησιμος"", meaning ""useful"".  This name appears  six times in Herculaneum (five times as ""Onesimus"" and once as ""[O]νηcιμοc""), 17 times in Pompeii (sixteen times as ""Onesimus"" and once as ""Honesimus""), once in Surrentum (""Onesimus""), once in Neapolis (Onesi[mus]), and twelve times in Puteoli (all ""Onesimus""). Many of them are freed slaves, though the name seems popular as a Romen cognomen as well. Cf. 10561."
EDR140151 ,10599,a,,6,A(ulus) Tati(us?)/[- - -]prius,Graffito mentioning names (?),Aulus Tati(us) (...other letters here...),,,,,
EDR140709    ,10599,b,,6,[Vi]bius,Mention of a name (?),Vibius?,,,,,"The actual inscription is only the end of a name ""bius"", however ""Vi"" is thought to be the beginning. Vibius is a common nomen that is seen throughout Herculaneum in the Wax Tablets and the Album of Herculaneum."
EDR140248,10600,,,6,"Cave(a)s, Timinia, / fures",Warning for Timinia,"Beware, Timinia: thieves!",,,,,A cautionary graffito.
EDR145935 ,10600 (nota),,1521,6,((:cervus stans)),Drawing of a stag,,,,,,A standing deer.
EDR151896,10601,,,6,Fa̲t̲u̲u̲s̲,Insult (?),Idiot,,,,,CIL states that this graffito is in the same location as CIL IV.10600 and CIL IV.10602. Perhaps this is a bit of unflattering.
EDR151898,10602,,,6,Flavia Θ̲ l̲i̲(n)g̲i̲s̲ ,Series of characters,Flavia (other letters here),,,,,
EDR151417 ,10603,,,6,Nicanor Ovas,Graffito naming Nicanor,Nicanor (...?),,,,,"Done in wet plaster with large letters in the female baths, possibly by one of the workers plastering the walls, this graffito is still very visible today."
EDR140061 ,10604,a,,6,[?--- acce]pit Secundus Crusali ser(vus?) et Valentina ((:phallus)),Graffito naming a slave,"Secundus, the slave of Crusalus(?), along with Valentina, received (...?)",,,,,This graffito was done in charcoal.
EDR140062,10604,b,,6,(h)eribus miscella,Graffito,a mish-mash,,,,,This graffito was done in charcoal.
EDR140034,10604,c,,6,Stirisc[us?---] [M]oschus Noeto ,Greetings (?),Stirisc(us?...) /  (M)oschus to Noetus,,,,,This graffito was done in charcoal.
EDR147607 ,10604 (nota),,384,6,((:herma viri cum palma)),Drawing of a man,,,,,,This is a drawing of a man with a palm.
EDR151901,10605,,,6,[- - - d]ece[mbr?- - -],Series of letters,(D)ece(mber?),,,,,"The palster is missing on either side of ""ece"" so we don't know what else would be written."
EDR154566,10606,,,6,"Exem(p?)ta ste(r)cora a(ssibus) XI",Statement about a transaction,Dung removed for 11 asses (coins),,,,,Evidently plumbing was still expensive in the ancient world.
EDR140053,10607,,,6,R/Paris/amas,Graffito naming Paris,"R(?). Paris, you love",,,,,Where Paris is in the vocative.
EDR152815,10608,,,6,Rare lali omnes a,Graffito,"Infrequently, all the lullabies(?)...",,,,,"Is ""lali"" the cognomen ""Lalus""?"
EDR152929,10609,,,6,Hilarus,Graffito naming Hilarus (?),Hilarus,,,,,
EDR152930,10610,,,6,"[deli?]ciae [---]si tangere possem [---]entur aquas",Poetic graffito,my darling (...) if I were able to touch (passive verb here...) waters,,,,,
EDR152931,10611,,,6,Sab / inio,Graffito naming Sabinio (Σαβινιο),Sabinio (Σαβινιο),,,,,"CIL says ""Sabinio <s>s(alutem), in which case the translation should be ""Hello to Sabinius"""
EDR152962,10612,,,6,Aptos ((:signum incertum)) MME,Graffito,Cake (or loaf of bread). (symbol). MME.,,,,,"There is an ""uncertain sign"" inbetween the ""Aptos"" and the ""MME"" (possibly a tria nomina?) which has no known meaning. It looks like an arrow pointing up with a crossbar towards the bottum."
EDR152963,10613,,,6,XX IIIIIIIII,Tally marks,"""20"" ""9""",,,,,
EDR152964,10614,,,6,"K(alendas) Aug(ustas) Nonas Apr(ilis) Atinas",Graffito mentioning dates,"Kalends of August, Nones of April at Atina.",,,,,"Atina is a town located in central Italy, in the Frosinone region."
EDR152999,10615,,,6,Quartu(s),Graffito mentioning a name (?),Quartu(s),,,,,"Could be the ordinal number ""quartu(m)"", ""for the fourth time"", or the cognomen ""Quartu(s)""."
EDR153000,10616,,,6,Moderatus,Graffito naming Moderatus,Moderatus,,,,,
EDR140037,10617,,,Ins. Or. 1,XI k(alendas) Februarias,Graffito mentioning a date,The 11th day before the Kalends of February.,,,,,
EDR140040  ,10618,,,Ins. Or. 1,"C C ego",Initials (?),C. C. I (myself)....,,,,,"Possibly two initial of the tria nomina (i.e. ""I am CC). Also could be an abreviation - c(larissimus) c(onsul). "
EDR073355,10619,,,Ins. Or. 1,Apollinaris medicus Tìtì Impe(ratoris) <:servus> hic cacavit bene,Graffito naming Apollinaris (doctor of the emperor),"Apollinaris, doctor, slave of the emperor Titus, pooped well here",,,,,"This graffito is an example of one of the more colorful ones that are found throughout the Bay of Naples. The first line of the graffito shows its author: Apollinaris, and his position: doctor to the emperor Titus. Because there is mention of an emperor, this graffito is very famous; especially when coupled with its colorful language. The first line is larger than the rest of the graffito giving his name and title the most importance. Varone describes the handwriting as refined if not pompous.The inscription does have a lot of flourishes and is quite artfully done. Graffiti discussing bathroom habits is not an uncommon type of graffiti. The pairing of this is act with a man who has ties to the emperor, and is proud of that, is a contrast. Similar graffiti have been found in Ostia which is located south west of Rome on the coast. There the graffiti name the seven Greek sages, or famous wise men, and also various bathroom activities. 
This graffito raises many questions. Whether or not it was meant to be a joke, or perhaps an insult? And then do our opinions change when we take into account that Apollinaris is a doctor?"
EDR140050,10620,,,Ins. Or. 1,Bucolus,Graffito naming Bucolus,Bucolus,,,,,
EDR140052,10621,,,Ins. Or. 1,soli,Graffito,Alone...,,,,,"The word ""soli"" could be from one of three different Latin words; the noun for sun:sol, solis M., the adjective for alone: solus, sola, solum, or the noun for ground: solum, soli. solum N. Because there is no other context, we cannot tell which one it is. Therefore there are three possible translations: to the sun, (we) alone, or of the ground."
EDR140054,10622,,,Ins. Or. 1,feliciter ((:navis)),Greetings written in the shape of a boat,Good luck!,,,,,"Inscribed within a ship with the T as the mast and the letters as ours, this graffito marks a prominent place on one of the walls in the House of the Telephus Relief. Today it is badly faded and nearly illegible. In any case, the inscriber spelled it feliter, eliminating a full sylable.  Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a.,CIL IV.10655b., and CIL IV.10652."
EDR140834   ,10623,,,Ins. Or. 1,ΚΛΗΒΙΧΝ,"Greek letters
",(series of Greek letters),,,,,"This graffito, written in close proximity to 10624, another compilation of Greek letters, may be an example of an anagram. However, if it is one, it has not been deciphered. Another, less sensational possibility is that it merely represents someone practicing their letters."
EDR140835 ,10624,,,Ins. Or. 1,ΛΙΑΒΙΧΤΛ,"Greek letters 
",(series of Greek letters),,,,,"This graffito, written in close proximity to CIL IV.10623, another compilation of Greek letters, may be an example of an anagram. However, if it is one, it has not been deciphered. Another, less sensational possibility is that it merely represents someone practicing their letters."
EDR140060,10625,a,,Ins. Or. 1,NO,Graffito,NO,,,,,
EDR140150,10625,b,,Ins. Or. 1,PÂM,Initials (?),P(ublius) A(---) M(---?),,,,,Possibly a man's tria nomina?
EDR151894,10626,,,Ins. Or. 1,Artorius / [- - -]IIIII II III ,Graffito naming Artorius,"Artorius. ""5"" ""2"" ""3""",,,,,
EDR151895,10627,,,Ins. Or. 1,IVIIRIIHIIRI,Series of letters,(untranslateable series of letters),,,,,
EDR151897,10628,,,Ins. Or. 1,"V(?) Bombycion / fellat",Erotic grafitto,Bombycion sucks,,,,,"For the tag female see Solin 1973, 272-Not Nathan or Lilly.  Greek name? Look up LGPN"
EDR151899,10629,,,Ins. Or. 1,[- - -]o / [- - -]foro,Graffito,... (in the) forum (?),,,,,"It could be a Latin spelling of the name Nikephorus or Onesiphorus, but there are no other Latin words with ""for"" in the middle."
EDR153110,10630,,,Ins. Or. 1,Q(uintus) M[---] Antu[s ---],Graffito naming a man,Quintus M(---) Antu(s--?),,,,,"The middle of the graffito is damaged, making it impossible to tell whether ""ANTV"" is the beginning or middle of the name."
EDR153111,10631,,,Ins. Or. 1,Phoebus / aegrotes,Graffito naming Phoebus,Phoebus - May you fall ill.,,,,,"Fuibus for Phoebus and egrotes for aegrotes, nominative for vocative, @Hannah: Nice find! What a lovely inscription. Explain that it is a wish - subjunctive"
EDR154567,10632,a,,Ins. Or. 1,quattuor cer[---],Numerical graffito,Four (...),,,,,"CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster)."
EDR154568,10632,b,,Ins. Or. 1,Extan[t?] p̣isu / [---]quatus ne / Quinque,Numerical graffito,There exist (...other letters here...) ...fourth(?) not five,,,,,"Della Corte suggests ""risu"" for ""pisu"" (laughter verses pea-plant) and reads the missing portion of ""quatus"" as the name ""(Tor)quatus"", though he also suggests ""quartus"" (quarter) and ""quattuor"" (four) and ""quadruplum"" (quadruple). See CIL IV.1679 Add. p. 463 for ""quadtus"" as ""quattor"". CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster)."
EDR154569,10632,c,,Ins. Or. 1,Casium et / tres sc[---]rios habes,Mention of food,You have cheese and three (...),,,,,"Read ""casium"" as ""caseum"". CIL IV.10632a., b., and c. may be the only graffiti with written numbers, perhaps indicating that this was a single, one time transaction, one not subject to change, essentially ""set in stone"" (or in this case, plaster)."
EDR153151,10633,,,Ins. Or. 1,Albinus,Graffito naming Albinus,Albinus,,,,,
EDR153355,10634,,,Ins. Or. 1,Qui se tutari nescit nescit vivere / Minimum malu(m) fit contemnendo maximum,Poetic graffito,"He who does not know to guard himself does not know how to live. The tiniest trouble, if ignored, becomes tremendous (i.e. the smallest evil becomes the greatest).",,,,,poetic entry; check out Plautus for more alliteration with similar sentiment; Rex Wallace mentions also Publius Syrus
EDR153356,10635,,,Ins. Or. 1,Vidimus,Graffito,We saw,,,,,
EDR153357,10636,,,Ins. Or. 1,Cai,Graffito mentioning a name,"Gaius!  (vocative... or abbreviated nominative, or set of initials)",,,,,Possibly a tria nomina or Cai(us) for Gaius. or vocative?
EDR153358,10637,,,Ins. Or. 1,Poly(bius?),Graffito naming Polybius (?),Poly(bius?),,,,,"Or possibly transliterated from the Greek ""πολυ,"" meaning ""much""."
EDR153483,10638,,,Ins. Or. 1,VS summ,Wordplay (?),the greatest (?) (with letters rearranged?),,,,,"CIL reads VS SUMM. Della Corta suggests ""summus"", where the suffix becomes the prefix."
EDR153484,10639,,,Ins. Or. 1,HIMME,Series of letters,(untranslateable series of letters),,,,,"This could be the beginning of the name Himerus, though the double ""m"" creates an issue. This letter combination is found most often in inscriptions for the name Trophime (RRB)."
EDR153487,10640,,,Ins. Or. 1,"Venimus, / venimus / hoc cupidi, / multo magis ire cupimus.",Poetic graffito,"We came! We came here desiring, much more do we desire to go",,,,,"This is the first line of a two line poem in elegiac couplets. Even though the author is unknown, it appears  to be incredibly popular. It has been found in Pompeii at least 10 other times (Cf. 1227, 2995, 6697, 8114, 8231a., 8891, 9849, 10065a.; Solin 1975, no. 17, Solin 1975, no. 57) and once more in Gaul. We know of two differing endings of the poem, though most writers simply transcribe the first line. This is one of many poetic graffiti in Herculaneum. For more information, see: Benefiel, Rebecca. ""Chapter 3: Rome in Pompeii: Wall Inscriptions and GIS,"" in Latin in Stone: Epigraphic Research and Electronic Archives, edited by Francisca Feraudi-Gruenais, 45-76. Lanham, MD: Lexington Books, 2010."
EDR153485,10641,,,Ins. Or. 1,Numini,Graffito,For the numen (divine will).,,,,,
EDR153486,10642,,,Ins. Or. 1,CA,Series of letters,CA,,,,,Possibly initials.
EDR154533,10643,a,,Ins. Or. 1,Anicete Paris va(le),Greetings to Anicetus and Paris,"Goodbye, Anicetus (and) Paris.",,,,,"It is very unusual to see a ""va"" meaning goodbye with two names, it is generally only seen with one name. This graffito is inscribed in the mortar between isodomic blocks."
EDR154534,10643,b,,Ins. Or. 1,Echio va(le),Greetings to Echio,"Goodbye, Echio.",,,,,Cf. 10596. This graffito is inscribed in the mortar between isodomic blocks.
EDR154535,10643,c,,Ins. Or. 1,L(uci?) Acti va(le). Mystice Mus comici icui pro te fuimus.,Greetings to Lucius Actius,"Lucius Actius, farewell. Mysticus, mus(ician), (slave?) of the comedian Icuus...we were for you. (trans. Cooley and Cooley)",,,,,"This graffito is inscribed in the mortar between isodomic blocks. We present the translation of Cooley and Cooley 2013. The name ""Icuus"" is otherwise unattested. Perhaps ""icui"" is an incorrect reading."
EDR153609,10644,,,Ins. Or. 1,"Meti(enus?)",Beginning of a name (?),Metienus(?) OR Mettius(?),,,,,"Only the first part of this graffito is visible, the Meti(---). This could be the start of either the name Metienus or Mettius. There is no other available information or context to determine which though."
EDR154576,10645,,,Ins. Or. 1,[X]anthi / trama / p(ondo) IX / stame(n) / p(ondo) VII / VIII,Statement about a transaction,"Cloth for (literally ""of"") Xanthus: weft - 9 (units by weight), warp - 7 (units), 8 ",,,,,Xanthus is a place? a river?
EDR153613,10646,,,Ins. Or. 1,Iuliam / ad dom(inam?),Graffito naming Julia,"To Julia, mistress",,,,,
EDR153615,10647,,,Ins. Or. 1,LXXII,Roman numerals,"""72""",,,,,
EDR140211,10648,,,Ins. Or. 2,charca miam sira,Graffito,(unknown meaning),,,,,"Written in large letters in the wet plaster above the lavatory, the meaning of this graffito is uncertain. ""Charca"" and ""sira"" have no known meaning in the Latin language. Della Corte suggests ""Calca meam (mentulam?), Syra"", where Syra is someone's name. "
EDR153740,10649,,,Ins. Or. 2,Amethyste v̂a(le),Greetings to Amethystus,"Goodbye, Amethystus.",,,,,
EDR153741,10650,,,Ins. Or. 2,CHIE IMN,Series of letters,"Chius, (...other letters here...)",,,,,"This graffito is no longer extant, as it was written in charcoal long washed away. The meaning of it is uncertain. "
EDR153800,10651,a,,Ins. Or. 2,((semis)) IIIII,Tally marks,"S ""5""",,,,,The S at the beginning of the numerical series here seems to denote a number following it.
EDR154423,10651,b,,Ins. Or. 2,((semis)) IIIIIIIIIIII XX,Tally marks,"S ""32""",,,,,
EDR140239,10652,,,Ins. Or. 2,C(aius) Iunius / ((:nomen C(AIUS) IUNIUS in forma navis scriptum)),Name written in the shape of a boat,Gaius Iunius,,,,,"Examples of nautical technopaegnion (writing names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a., CIL IV.10655b., and CIL IV.10622."
EDR140193,10653,a,,Ins. Or. 2,XVII,Tally marks,"""17""",,,,,
EDR140250,10653,b,,Ins. Or. 2,IIIIIII,Tally marks,"""7""",,,,,
EDR154570,10654,a,,Ins. Or. 2,Quant(?),Graffito,How much?,,,,,"Della Corte suggests ""qualit"" as the correct reading."
EDR154571,10654,b,,Ins. Or. 2,[Ius?]tus lusor,Graffito mentioning a game player,"(Ius)tus, the game player",,,,,"This could mean that Iustus is playing games or that he is a tease. For Iustus' other titles, see CIL IV.10654c."
EDR154572,10654,c,,Ins. Or. 2,Iustus cinaedu[s],Insult,Iustus (is a) pervert,,,,,"""Cinaedus"" referes specifically to the passive reciever of a sexual encounter. It can also be used loosly to refer to an effeminate man. For Iustus' other titles, see CIL IV.10654b."
EDR154573,10654,d,,Ins. Or. 2,cinaede,Insult,Pervert!,,,,,"""Cinaedus"" referes specifically to the passive reciever of a sexual encounter. It can also be used loosly to refer to an effeminate man. Here, the author of the graffito has placed ""cinaede"" in the vocative case, or, rather, the provacitive case, as he calls anyone who walks by ""cinaedus"". "
EDR140251 ,10654,e,,Ins. Or. 2,XXXIXXVVV,Numerical graffito,(Series of numbers),,,,,"Values differ depending on whether or not ""IX"" means ""9"" or ""11""."
EDR140252  ,10654,f,,Ins. Or. 2,IIIIIIIIIIIIIIIIII,Tally marks,"""18""",,,,,
EDR153742,10655,a,,Ins. Or. 2,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),Name written in the shape of a boat,Silentiolus,,,,,"Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655b., CIL IV.10622, and CIL IV.10652."
EDR153743,10655,b,,Ins. Or. 2,Silentiolus / ((:nomen SILENTIOLUS in forma navis scriptum)),Name written in the shape of a boat,Silentiolus,,,,,"Examples of nautical technopaegnion (writting names in the form of ships) like this occur throughout Herculaneum and Pompeii. For other examples, see CIL IV.10655a., CIL IV.10622, and CIL IV.10652."
EDR153849,10656,,,Ins. Or. 2,Ursi me comedant,Poetic graffito (?),Let the bears devour me.,,,,,"See CIL IV.10660, CIL IV.2360, CIL IV. 4008. CIL IV.2360 contains full poem."
EDR153850,10657,,,Ins. Or. 2,S(emis) C Y ((mille)) S(emis) S(emis),Numerical graffito,(Series of numbers?),,,,,
EDR153851,10658,,,Ins. Or. 2,Ultas,Graffito,The (women?) who have avenged (?),,,,,"This feminine, accusative plural participle of ulciscor (""I avenge"") is sitting by itself, but it is highlighted with a box around it. Who knows to what or to whom it refers?"
EDR153852,10659,,,Ins. Or. 2,((mille)) ((mille)),Numerical graffito,"""1000"" ""1000""",,,,,
EDR153853,10660,,,Ins. Or. 2,Ursi me comedan[t],Poetic graffito (?),Let the bears devour me.,,,,,"See CIL IV.10656, CIL IV.2360, CIL IV.4008, CIL IV.2360 contains full poem."
EDR153854,10661,,,Ins. Or. 2,[---]asu M umor[---],Graffito,(Other letters here...) moisture,,,,,
EDR154042,10662,,,Ins. Or. 2,,Graffito mentioning a date,"On the Nones of July (... damaged text here...). Eight days before the (...) was born. The day before the Nones and on the Nones (... damaged text here...) at Herculaneum, Nola, Pompeii... (...other text here).",,,,,
EDR154437,10663,a,,Ins. Or. 2,IIIIIIIIIIIIIIIIIIIII,Tally marks,"""21""",,,,,
EDR154439,10663,b,,Ins. Or. 2,IIIIIIIIIIIIIIIIIIII,Tally marks,"""20""",,,,,
EDR154440,10663,c,,Ins. Or. 2,IIIIIIIIIIIIIIIIIII,Tally marks,"""19""",,,,,
EDR154441,10663,d,,Ins. Or. 2,IIIIIIIIIIII,Tally marks,"""12""",,,,,
EDR154442,10663,e,,Ins. Or. 2,IIII,Tally marks,"""4""",,,,,
EDR154043,10664,,,Ins. Or. 2,Septembr(es) / III idus pro tunica ((denarius)) I a(sses) VIII,Statement about a transaction,"On the third day before the Ides of September, (I spent) one denarius and eight asses for a tunic.",,,,,
EDR154044,10665,,,Ins. Or. 2,A(n)sas n(umero) LXI / Anaticulas n(umero) CXXVI,Inventory,Handles (geese?) - 59. Ducklings - 126. ,,,,,"This graffito is found in a tavern. Della Corte suggested the first word could be a(n)sas, written for ""anseres"" (geese), which would fit with the idea of the second item being ducklings. (Della Corte wanted ansas = anseres, which would be somewhat in keeping with the ducklings.)"
EDR154443,10666,a,,Ins. Or. 2,IIIIIIIIIIIIIII,Tally marks,"""15""",,,,,
EDR154444,10666,b,,Ins. Or. 2,Omnes / XXXI,Tally marks,"All of them, ""31""",,,,,
EDR154445,10666,c,,Ins. Or. 2,IIIIIIIIIIIIIIIII /〈:vacat〉 III,Tally marks,"""17"" and ""3""",,,,,
EDR154446,10666,d,,Ins. Or. 2,IIIIIIIIIIIIIIII,Tally marks,"""16""",,,,,
EDR154045,10667,,,Ins. Or. 2,Ti(berius) Claud(ius),Graffito naming Tiberius Claudius,Tiberius Claudius,,,,,
EDR154574,10668,,,Ins. Or. 2,III nonas M̂âias / VII idus periit,Graffito mentioning a date,"Three days before the Nones of May. Seven days before the Ides, he (it?) died.",,,,,
EDR154046,10669,,,Ins. Or. 2,[---]at veniat,Graffito,...let him/her come.,,,,,
EDR154047,10670,a,,Ins. Or. 2,Cunei,Inventory,Wedges,,,,,"We entitled this as ""inventory"" becuase it located near CIL.IV 10670b which is an inventory and also mentions a cunei"
EDR154092,10670,b,,Ins. Or. 2,Cunei XXIII / Asseres XV,Inventory,"""23"" wedges. ""15"" poles.",,,,,
EDR154575,10671,,,Castellum,Lasius cin(a)edus,Insult,Lasius is a pervert.,,,,,
EDR154500,10672,,,Clivus,Maior va(le) / Maior va(le) / OMCA VIII,Greetings (?),"Goodbye, Maior. Goodbye, Maior. (...more text here...)",,,,,
