EDR#,CIL#,"a, b, c, d or Varone #",Langner #,Insula,Text of Inscription,Caption for graffito,Translation,,AGP = Update of CIL?,Contributors,,Commentary 
EDR140036,10503,,,3,Ex se[na]tus con= / sul[to] VVCA / [---]E ICA / m̂ansi solus,Graffito mentioning a senatorial decree,"By decree of the senate (... other letters here...), I remained alone",,,,,"This graffito is similar to CIL IV.10501, which expresses the same sentiment. This graffito could be a joke becuase Herculaneum is not the typical place for a senatorial exile. Herculaneum is much nicer and closer to Rome thatn other locations that we have evidence for exiling."
EDR140137,10504,,,3,MOECIA CC,Graffito,(untranslateable series of characters),,,,,
EDR140142,10505,,,3,Κογιτάτουϲ s,Graffito in Greek,Cogitatus (i.e. a name),,,,,"Not a name according to LGPN*    Cogitatus is a name in the Roman world, but here it is written in Greek letters. It did not exist as an equivalent name in the Greek world and is not listed in the Lexicon of Greek Personal Names. Perhaps a Greek speaker was here writing down a name he heard."
EDR140255,10506,,,3,Se(xtus) Porcius / s s,Graffito naming Sextus Porcius,Se(xtus) Porcius / s s,,,,,
EDR140148,10507,,,3,Iusta r(---),Graffito,Iusta (i.e. a name)...,,,,,"The text of this graffito, Iusta, could be a woman's name. The second word of the message was never written out in full."
EDR140143,10508,a,,3,AMAT̂A,Graffito naming Amata,Amata,,,,,
EDR140149,10508,b,,3,Algemus,Complaint (?),We are cold.,,,,,"There are different interpretations of this graffito. In CIL the reading is ""Alcimus"" which would be a male name. However when Varone went through Herculaneum he read this as the verb ""algemus"" from algeo algere. After looking at the inscription on site, we agreed with Varone's reading."
EDR140140,10509,,,3,Q̣(uintus) Veṭiuṣ,Graffito naming Quintus Vettius,Quintus Vet(t)ius,,,,,
EDR140257,10510,,,3,"XVII k(alendas), X k(alendas), VII id(us)",Graffito mentioning dates,"17 days before the Kalends, 10 days before the Kalends, 7 days before the Ides",,,,,"This is an example of a graffito with dates, many graffiti had this format. For more on the dating system used in the Roman Empire look to the commentary in CIL IV.10579."
EDR140198,10511,,,3,Anịciae feliciter,Greetings to Anicia,May things go happily for Anicia.,,,,,
EDR140204,10512,,,3,IIII P(ublius) Quin(tilius?),Graffito,"""4"" Publius Quin(tilius?)",,,,,"This graffito could either be in reference to a name or to a date. If it was a name the P would stand for Publius and the Quin for Quintilius. Quin can also be a n abbreviation for the month Quintilis, which was the orginial fifth month of the calendar year until it got renamed ""Iulius"" for Julius Caesar. If the Quin did stand for Quintilis, the graffito would be a date and the P could be a mistaken reading of a ""K"" which would stand for kalends. Then the meaning of this graffito would be four days before the kalends of Quintilis."
EDR140165,10513,,,4,Am(andus) / Surus / Ianua va(le),Greetings (?),"Am(andus?), Surus: farewell Ianua(rius?). ",,,,,"The names here are uncertain; perhaps they are nicknames. Without the ending given, it is possible that the greetings of vale could be addressed to a Ianuarius or a Ianuaria."
EDR140168,10514,,,4,Felices,Graffito,Lucky ones,,,,,
EDR140172,10515,,,4,A(?) Epicurus / si es Utica,Graffito naming Epicurus,"A(ulus?) Epicurus, if you are at Utica . . . ",,,,,"Utica was a Roman municipium in Northern Africa, it is located near Carthage."
EDR140187,10516,,,4,Q(uintus) V(---) R(---),Initials,Quintus V(- - -) R(- - -?),,,,,"Has all three parts of a Roman name: praenomen, nomen gentilicium, and the cognomen."
