term,lemma
cerrinus,cerrinus
certamen,certamen
cervi,ceruos
cervum,ceruus
cervus,ceruus
charca,charca
chie,Chius
chl,chl
chloe,Chloe
choreis,chorea
chreste,chreste
chrestum,chreston
ciconiae,ciconia
cigrotue,cigrotue
cilix,cilix
cima,cima
cinaede,cinaedus
cinaedus,cinaedus
cinnamus,Cinnamus
circius,circius
circles,circles
circle,circlus
circe,circos
circularis,circulo
circuli,circulum
circulos,circulus
circulus,circulus
circulum,circulus
cito,citus
ciλ,ciλ
clappo,clappo
claudius,claudus
clavos,clauus
clemen,clemen
clementis,Clemens
clemens,Clemens
clim,clim
clipeus,clipeus
clleri,clleri
clodius,clodus
co(n)s(ul),co(n)s(ul)
co(n)s(ulibus),co(n)s(ulibus)
coelius,coelius
cohortis,cohors
col((denarius)),col((denarius))
coliatius,coliatius
colono,colonus
columnis,columna
columnae,columna
comedant,comedant
comib,comib
comici,comicus
cominiaes,cominiaes
cominius,cominius
commeatum,commeatus
commiseresce,commiseresco
commiseretur,commiseret
communis,commune
communi,commune
communem,communis
comnis,comnis
comatus,como
compass-drawn,compass-drawn
comperendinaverunt,comperendino
com,compos
con,con
concessus,concessus
conclave,conclaue
concordes,concordis
condiscens,condisco
condere,condo
confirmas,confirmo
confregisti,confringo
conglacio,conglacio
coniuges,coniunx
considerate,considerate
consistunt,consisto
consul,consul
consulibus,consul
consulto,consulo
consumpserunt,consum
containing,containing
contemnendo,contemno
conticuere,conticisco
conticu,conticuum
continens,continens
contiquere,contiquere
contìquere,contìquere
contra,contra
contus,contus
conveniunt,conuenio
conversi,conuersus
conversus,conuersus
conversum,conuerto
coponiaes,coponiaes
cor,cor
corde,cordus
corinthus,corinthus
cornelius,cornelius
cornibus,cornu
cornuto,cornutus
corona,corona
corpora,corpus
corusticus,corusticus
corvenius,corvenius
corydon,corydon
cosmus,cosmos
costas,costa
co,coum
crescens,cresco
cressa,cresso
crista,crista
cristata,cristatus
crocale,crocale
cruppac,cruppac
crusali,crusali
crux,crux
cubicularius,cubicularius
cubiculum,cubiculum
cui,cui
cuius,cuius
cum,cum
cumis,cumis
cunctorum,cunctus
cunei,cuneus
cunnum,cunnus
cuntus,cuntus
cupidi,cupidus
cupimus,cupio
cuproniusepol,cuproniusepol
cur,cur
curatores,curator
curia,curiatus
curiosus,curiosus
curat,curo
currens,currens
curva,curuum
curvae,curuus
cusini,cusini
cxxxiλλ,cxxxiλλ
cyli,cylon
cypare,Cyparis
cythera,cythera
cτρατονικοc,Cτρατονικοc
d,d
d((:navis)),d((:navis))
damoeta,damoeta
daphnicus,daphnicus
daphnus,Daphnus
dasius,dasius
dat,datio
david,David
de,de
dea,dea
deae,deae
debere,debeo
debes,debeo
debilitare,debilito
debita,debitum
december,december
decembres,decembres
decimus,decimus
decimius,decimus
decus,decus
deduxistis,deduco
deduxit,deduco
deer,deer
dem,deiero
da,deiero
detur,deiero
dederit,deiero
dare,deiero
daretis,deiero
deinde,deinde
deìnde,deìnde
deius,deius
deliciae,deliciae
delineata,delineo
denarius,denarius
dentibus,dens
dequi,dequi
detractis,detraho
dex,dex
dext,dext
dexter,dexter
dexteram>,dexteram>
dextro,dextrum
di,di
dic,dic
dignum,dignum
dii,dii
dimicantes,dimico
dina,dinus
diogenes,diogenes
directus,directus
directae,directus
diem,dissertio
diu,diu
diversae,diuerto
divam,divam
docens,doceo
docendi,doceo
dolet,dolo
dom,dom
domi,domi
domì,domì
dominae,domina
domina,domina
dominae:,dominae:
domino,domino
domus,domus
door,door
dorcas,dorcas
dos,dosis
dromedarius,dromedarius
dua,dua
duae,duae
duas,duas
duo,duo
duobus,duobus
duorum,duorum
duos,duos
duovir,duouir
duplex,duplex
duplices,duplico
ea,ea
echio,Echio
ego,ego
eidus,eidus
elencia,elencia
elephantus,elephantus
eleusinae,eleusinus
emis,emo
emptus,emptus
ibat,eo
ire,eo
ita,eo
eos,eos
epagathus,Epagathus
epaphra,epaphra
epaphroditum,Epaphroditum
epaphrodite,epaphroditus
epicurus,Epicurus
epidius,Epidius
equales,equales
eques,eques
equi,equio
equitans,equito
equitat,equito
equo,equus
equus,equus
er,er
erectus,erectus
erga,erga
erma,erma
erminuca,erminuca
erotica,eroticus
errant,erro
essetis,essetis
et,et
eterate,eterate
etoen,etoen
etsi,etsi
eu,eu
eucapa,eucapa
euche,euche
eueno,euenos
euhodus,Euhodus
eum,eum
euma,euma
eunomus,eunomus
euplia,Euplia
evanthus,Evanthus
ex,ex
e,ex
exempta,exemptus
exegerunt,exigo
extersi,extergo
externa,externus
extabant,exto
extremum,extremus
f,f
fabia,Fabia
fabiis,fabiis
fabio,Fabius
facias,facia
facia]m,facia]m
facies,facies
facilis,facilis
fac,facio
faciatis,facio
faciant,facio
fadius,fadius
falcem,falx
familia,familia
fasciis,fascinum
fascis,fascis
fatuus,fatuus
faustillam,Faustillam
faustin`u´m,faustin`u´m
faustio,Faustio
fausti,faustus
fausto,faustus
faustus,Faustus
favstvs,Faustus
fausta,Faustus
faventinus,faventinus
februarias,februarius
fecit,fecit
felicio,felicio
felicioni,felicioni
feliciter,felicito
feliculam,Feliculam
felicula,feliculus
feliculae,feliculus
feles,felis
felicia,felix
felices,felix
felix,felix
fellatrix,fellatrix
fellas,fello
fellat,fello
feminae,femina
feret,fero
ferreas,ferrea
ferro,ferreus
fidenter,fidenter
fieri hora,fieri hora
figura,figura
figurae,figura
figure,figure
figures,figuro
filia,filia
filii,filius
filius,filius
fit,fio
firmus,firmus
flammam,flamma
flanked,flanked
flavi,flauus
flavia,flavia
floresque,floresque
floronius,Floronius
florus,florus
flos,flos
florem,flos
flower,flower
flowers,flowers
foliatus,foliatus
folium,folium
forma,formo
formonsiorem,formonsus
formae,formus
foras,foro
fortasse,fortasse
fortis,fortis
fortunata,Fortunata
fortunate,fortunatus
fortunatus,fortunatus
fortun(a)tus,Fortunatus
fortuna,fortuno
fora,forum
frangere,frango
fratre,frater
frons,frons
front,front
frontone,fronto
fronto,Fronto
fructus,Fructus
fu`tu´ere,fu`tu´ere
fuat,fuat
fuficia,Fuficia
fugiens,fugiens
fullones ululamque,fullones ululamque
fulvius,Fuluius
fuminaria,fuminaria
fundat,fundito
fuscina,fuscina
fuscina;,fuscina;
fusci,Fuscus
fustibus,fustis
fuste,fustis
futuìt,futuìt
futuere,futuo
futuis,futuo
futui,futuo
futuerunt,futuo
futuit,futuo
futuimus,futuo
futues,futuo
future,futurus
fututor,fututor
fututa,fututus
galea,galea
galeatus,galeatus
galeata,galeo
galeatum,galeo
galeati,galeo
galeis,galeos
galerii,galerii
gallus,gallus
gavi,gavi
geganius,Geganius
gemmario,gemmarius
gemma,gemmo
geneis,geneis
genialis,genialis
genius,genius
germanus,germanus
gerens,gero
geryones,geryones
gl,gl
glaber,glaber
gladiatorum,gladiator
gladiatores,gladiator
gladiatoris,gladiator
gladiator,gladiator
gladiatoreum,gladiatoreum
gladiatoria,gladiatorius
gladiators,gladiators
gladioque,gladioque
gladio,gladium
gladius,gladius
glagus,glagus
glaucus,glaucus
gloriae,gloria
graios,graios
gryllus,gryllus
gs²m,gs²m
gubernaculo,gubernaculum
gubernaculis,gubernaculum
gubernatore)),gubernatore))
gutos,gutos
habere,habeo
habeas,habeo
haberent,habeo
habeat,habeo
habet,habeo
habes,habeo
habenda,habeo
habitarunt,habitarunt
habitaverunt,habito
habitamus,habito
habitat,habito
hac,hac
haec,haec
haenas,haenas
hamas,hamo
hamulam,hamula
hasta,hasta
have,haueo
he,he
head,head
hectic,hectic
hederae,hedera
helene,helene
heleni,helenium
heleusinae,heleusinae
helmet,helmet
helpis,helpis
hercolanius,hercolanius
herculanenses,herculanenses
herculani,herculani
herculis,herculis
heredae,heredae
heribus,heribus
herma,herma
hermerotem,Hermeros
hermeros,Hermeros
hermes,hermes
hermia,hermia
hermulus,hermulus
eros,herus
ere,herus
hic,hic
hilare,hilare
hilarus,hilarus
hilari,hilarus
hinc,hinc
hirrius,hirrius
hispanus,hispanus
hoc,hoc
holconi,Holconi
homo,homo
homini,homo
hominis,homo
hominum,homo
hominem,homo
homines,homo
homulo,homulo
honoris,honorificus
hoplomachus,hoplomachus
horns,horns
hortensi,Hortensius
hortus,hortus
hostius,Hostius
house,house
huc,huc
humi,humatio
hus,hus
hyacinthus,Hyacinthus
hyginus,Hyginus
hymnus,hymnus
hʾys¹,hʾys¹
"ì",ì
iaculo,iaculor
ianua,ianua
ianuari,ianuari
ianuariaes,Ianuaria
ianuarìae,Ianuaria
ianuariae,Ianuaria
ianuaria,Ianuaria
ianuarias,Ianuarius
ianuarius,Ianuarius
iar,iar
iarinus,Iarinus
ias,ias
"ìas",ìas
ibi,ibi
icarus,Icarus
ikarus,Icarus
icare,Icarus
icui,icui
idibus,idibus
idus,idus
ignem,ignis
i̅i̅i̅i̅,i̅i̅i̅i̅
ilia,ilia
illa,ille
illum,ille
illius,ille
illi,illi
imagine,imago
imperatoris,imperator
imposita,impono
in,in
ìn,ìn
inaures,inaures
incalavit,incalo
incedens,incedo
incendia,incendium
incendunt,incendo
Place,Indexing Key
Name,Indexing Key
induta,induo
induti,indutus
indutus,indutus
infelicia,infelix
infrenatus,infreno
ingentia,ingens
ingenuus,ingenuus
innectebis,innectebis
inops,inops
inquid,inquid
instructa,instructus
instrumentum,instrumentum
instructae,instruo
inter,inter
interrogamus,interrogo
interscissae,interscindo
intersectae,interseco
intersecta,intersectus
invicta,inuicto
invidiose,inuidiosus
"ìnvicta",ìnvicta
ia,ion
ionicus,ionicus
ipsa,ipse
ipsime,ipsimus
iri,iri
iridem,iridem
irrius,irrius
irrumat,irrumo
is,is
isidoru,isidoru
issa,issus
istuc,istuc
iterum,iterum
iucundissime,iucundus
iudices,iudex
iuliam,Iulia
iulias,Iulias
iulis,iulis
iuliae,iulius
iulius,Iulius
iuli,Iulius
iulium,Iulius
