term,lemmatized
ama,amo
scribit,scribo
pedicatur,pedicatur
legit,lego
opscultat,opscultat
prurit,prurio
pathicus,pathicus
praeterit,praetereo
ursi,ursus
comedant,comedant
lego,lego
ianuariae,ianuariae
amissos,amitto
hin[c,hin[c
iam,iam
ob]liviscere,ob]liviscere
graios,graios
δροϲοϲ,δροϲοϲ
((:animal,((:animal
et,et
gladiator?)),gladiator?))
((:caput,((:caput
hominis,homo
ad,ad
sin,sin
cum,cum
naso,naso
magno)),magno))
corinthus,corinthus
nolanus,nolanus
[-,[
-,punc
-,punc
-,punc
-,punc
-],]
valeri,valeo
((:navis,((:navis
cum,cum
remis,remi
velis,velis
malisque)),malisque))
((:caput,((:caput
hominis,homo
ad,ad
d)),d))
clodius,claudus
μολα,μολα
φουτουτρις,φουτουτρις
dic,dico
mihi,ego
damoeta,damoeta
λατογένεια,λητογενής
ἑκάτη,ἑκάτη
((:cervus,((:cervus
a,ab
viro,vir
laqueo,laqueus
captus,capio
et,et
a,ab
cane,canis
assultatus)),assultatus))
πρόκλα,πρόκλάω
&#60;:stria,&#60;:stria
13&#62;,3&#6;
&#60;:stria,&#60;:stria
16&#62;,6&#6;
&#60;:stria,&#60;:stria
17&#62;,7&#6;
docendi,doceo
dederit,do
mercedem,merces
habeat,habeo
petit,peto
superis,superi
((:herma,((:herma
prospiciens)),prospiciens))
((:caput,((:caput
hominis,homo
prospiciens)),prospiciens))
ἀναγεινώ&#60;sup&#62;σ&#60;/sup&#62;κων,ἀναγεινώ&#60;sup&#6;σ&#60;/sup&#6;κων
θεὸν,θεός
σοι,σύ
ὀρχῆσαι,ὀρχῆσαι
λε+νωδες,λε+νωδες
ὀρχη,ὀρχη
τάφος,τάφος
((:folium,((:folium
heredae)),heredae))
salvius,salvus
severus,severus
modicus,modicus
νυηπλη,νυηπλη
ζεξω,ζεξω
τυχη,τυχη
((:elephantus)),((:elephantus))
((:homo,((:homo
galeatus)),galeatus))
helene,helene
((:duae,((:duae
lanternae)),lanternae))
((:gladiator,((:gladiator
prospiciens,prospicio
sica,sica
et,et
scuto,scutum
armatus)),armatus))
polycarpus,polycarpus
cuproniusepol,cuproniusepol
romulus,romulus
caelo,caelum
martis,mars
equitat,equito
vinicius,vinicius
florus,florus
messenius,messenius
((s)),((s))
tiber,tiber
((:equus,((:equus
infrenatus,infrenatus
ad,ad
d)),d))
((:pars,((:pars
phalli?)),phalli?))
macer,macer
popillius,popillius
((:duae,((:duae
aves,aveo
oppositae,oppono
ciconiae?)),ciconiae?))
ro++,ro++
sume,sumo
eudemus,eudemus
((:quadrupes?)),((:quadrupes?))
((:caput,((:caput
equi,equus
ad,ad
d)),d))
((:pars,((:pars
gladiatoris)),gladiatoris))
((:navis,((:navis
cum,cum
malo)),malo))
((:navis,((:navis
cum,cum
malo,malus
velis,velis
et,et
gubernaculo)),gubernaculo))
pri((m))a,pri((m))a
vidisti,video
quo,quo
turnus,turnus
equo,equus
q,q
rem,res
tar-,tar
-,punc
ty-,ty
mens,mens
faustio,faustio
&#60;:altitudinum,&#60;:altitudo
variarum&#62;,variarum&#6;
mille,mille
acanthus,acanthus
vcq,vcq
manius,manius
((:gladiator,((:gladiator
cum,cum
scuto,scutum
provocator)),provocator))
ψας,ψας
τοὺς,ὁ
ἐμοῦ,ἐγώ
ὅλους,ὅλοξ
++π++,++π++
popius,popius
sumptus,sumptus
amare,amo
vetat,veto
((:caput,((:caput
ad,ad
sin,sin
et,et
pileus?)),pileus?))
((:navis,((:navis
oneraria,oneraria
merces,merces
vehens,veho
et,et
velis,velis
remis,remi
et,et
rostro,rostrum
instructa)),instructa))
xii-cl,xiicl
[-,[
-,punc
-]r,]r
feliculae,filicula
bλ,bλ
euma,euma
πέτρω,πέτρω
phyllis,phyllon
ἀσίας,ἄσιος
πρώτοις,πρότερος
ἐφεσίοις,ἐπιέννυμι
〚[---------]〛,〚[]〛
[----]+απε+++[---],[]+απε+++[]
++η,++η
τὴν,ὁ
βαιτην,βαιτην
καὶ,καί
ἀφανίσ[ῃ---],ἀφανίσ[ῃ]
ἔργον,ἔργον
τῷ,ὁ
δήμῳ,δῆμος
ἐὰν,ἐάν
δὲ,δέ
καταπείνῃ,καταπείνῃ
μηδὲν[---],μηδὲν[]
μη[---],μη[]
debere,debeo
s¹lm,s¹lm
cornelius,cornelius
faventinus,faventinus
tonsor,tonsor
((:cervus,((:cervus
stans)),stans))
ἁρπορκρᾶς,ἁρπορκρᾶς
paridi,paridi
viiiiíiii,viiiiíiii
postumi,postumus
quicti,quicti
((:aves,((:aves
oppositae)),oppositae))
εὐφήμει,εὐφημέω
τοῦ,ὁ
παιδίου,παίδιος
τόπος,τόπος
διὰ,διά
θεόν,θεός
παίδων,παῖς
δήμου,δῆμος
αυρ[-]λ,αυρ[]λ
[--]υ,[]υ
clodiae,clodiae
μίαν,εἷς
[+2+],[++]
ηκαια+,ηκαια+
mustelica,mustelica
autumat,autumo
futuis,futuo
anchario,anchario
lina,linum
&#60;:striae,&#60;:striae
12-13&#62;,3&#6;
((:figura,((:figura
hominis,homo
vestimentis,vestimentum
induta,induo
togati?)),togati?))
lalius,lalius
fortis,fortis
((:hominis,((:hominis
facies)),facies))
menander,menander
voconius,voconius
albanius,albanius
communis,communis
aurelius,aurelius
noniu,noniu
a+ii+aiipidiiis,a+ii+aiipidiiis
απολολει,απολολει
ζήτημα,ζήτημα
manio,manio
aemilio,aemilius
dea,dea
presenos,presenos
praesens,praesens
nostros,noster
succurre,succurro
labori,labor
((:circulus,((:circulus
duplex)),duplex))
iustus,iustus
cinaedu[-,cinaedu[
-,punc
-],]
lasius,lasius
inops,inops
iunius,iunius
&#60;:trans,&#60;:trans
hanc&#62;,hanc&#6;
daphnicus,daphnicus
repentinus,repentinus
mhnoϲ,mhnoϲ
μελίβοιοϲ,μελίβοιοϲ
κεηρ,κεηρ
((:quattuor,((:quattuor
circuli)),circuli))
socius,socius
vervicius,vervicius
sav,sav
aug,aug
((:tres,((:tres
lineae,linea
aequae)),aequae))
ἑρμίας,ἑρμίας
rru,rru
rusticus,rusticus
rufina,rufina
pier,pier
sittius,sittius
αν,δάιος
κε,ἄν
υ,υ
((:navis,((:navis
velis,velis
et,et
remis,remi
instructa,instruo
cum,cum
figura,figuro
hominis)),hominis))
mnester,mnester
((:undecim,((:undecim
lineae,linea
(animal?))),(animal?)))
((:navis,((:navis
cum,cum
remis,remi
instructa,instruo
et,et
cum,cum
figura,figuro
hominis)),hominis))
mno,mno
malianus,malianus
glagus,glagus
gl,gl
viabianus,viabianus
fortunate,fortuno
linge,linge
culum,culis
((:phallus,((:phallus
nascens,nascor
ab,ab
cauliculo?)),cauliculo?))
iulius,iulius
anthia,anthias
πόπιος,πόπιος
φίλη,φίλος
sotericus,sotericus
nonius,nonus
mecio,mecio
loca,locum
cedo,cedo
tenendum,teneo
piere,piere
((:phallus,((:phallus
aut,aut
initium,initium
navis?)),navis?))
rubenses,rubenses
rub,rub
&#60;:columna,&#60;:columna
i=stria,i=stria
4&#62;,4&#6;
&#60;:columna,&#60;:columna
ii=stria,ii=stria
5&#62;,5&#6;
&#60;:columna,&#60;:columna
iii=stria,iii=stria
6&#62;,6&#6;
ciλ,ciλ
&#60;:columna,&#60;:columna
iv=stria,iv=stria
9&#62;,9&#6;
epicurus,epicurus
utica,utica
c+++,c+++
ascula,ascula
pascela,pascela
catedra,catedra
hilarus,hilarus
stratus,sterno
qu++nitu,qu++nitu
licinius,licinius
ἐπαφρᾶ++++εs,ἐπαφρᾶ++++εs
cave,caveo
luccei,luccei
beronice,beronice
habenda,habeo
futuere,futuo
surus,surus
ianua,ianua
cressa,cressa
saturninae,saturninae
matri,mater
uncus,uncus
telesius,telesius
pompeianus,pompeianus
duobus,duo
λvcvlvs,λvcvlvs
aebuti,aebuti
salvia,salvia
superba,superbus
ianuarias,ianuarius
πι+++ευδον++,πι+++ευδον++
ἐπῆλθεν,ἐπέρχομαι
sexto,sextus
burrenio,burrenio
ιζ,ιζ
θh,θh
κζ,κζ
misit,mitto
iterum,iterum
agnas,agna
o,o
simplex,simplex
cima,cima
nempius,nempius
phosphorus,phosphorus
tuis,tuus
choreis,chorea
neptunalis,neptunal
κοε,κοε
roma,roma
restituta,restituo
nequam,nequam
habitus,habitus
opeval++l[-,opeval++l[
-,punc
-],]
&#60;:stria,&#60;:stria
15&#62;,5&#6;
salarius,salarius
glaber,glaber
rusiunnae,rusiunnae
laviniam,laviniam
trebenius,trebenius
iuliam,iulia
dom,dom
&#60;:col,&#60;:col
i&#62;,i&#6;
&#60;:col,&#60;:col
ii&#62;,ii&#6;
primigenia,primigenius
multa,multus
marim,marim
((:circulus,((:circulus
circulum,circulis
continens,contineo
tracti,traho
cum,cum
circino)),circino))
cerrinus,cerrinus
((:psittaci,((:psittaci
ut,ut
videtur,video
figura)),figura))
martialis,martial
calidius,calidus
neronianus,neronianus
sebidia,sebidia
millia,mille
a+++,a+++
+++++,+++++
mo[-,mo[
-,punc
-],]
erminuca,erminuca
situs,sino
suellius,suellius
arruntius,arruntius
iulias,iulias
philetero,philetero
caphiso,caphiso
futuerunt,futuerunt
((:caput,((:caput
viri,vir
galeati)),galeati))
claudi,claudo
caesaris,caesar
urbane,urbanus
savfeius,savfeius
nox,nox
crescens,cresco
voco,voco
noct---,noct
secundus,secundus
bromius,bromius
του,τις
ε+[---],ε+[]
λουσιν,λουσιν
πης,πης
((:caput,((:caput
et,et
umeri,umerus
hominis,homo
ad,ad
sin)),sin))
((:duo,((:duo
capita,caput
gladiatoria?,gladiatoria?
galeata)),galeata))
((:avis,((:avis
ad,ad
d)),d))
&#60;:vacat,&#60;:vacat
75,75
cm,cm
altitudine&#62;,altitudine&#6;
((:avis,((:avis
ad,ad
sin)),sin))
((:duo,((:duo
scarabei?,scarabei?
rotundi,rotundus
unus,unus
ad,ad
d,d
quattuor,quattuor
pedibus,pes
incedens)),incedens))
leon,leo
&#60;ad,&#60;ad
dexteram>,dexteram>
((:galea,((:galea
cristata,cristatus
columnae,columna
vel,vel
polo,polus
imposita)),imposita))
m---,m
&#60;:infra&#62;,&#60;:infra&#6;
((:gladiator,((:gladiator
armatus)),armatus))
eulymen,eulymen
((:facies,((:facies
partim,pars
delineata,delineata
nasum,nasus
et,et
labrum)),labrum))
((:variae,((:variae
lineae,linea
alterae,alter
directae,dirigo
alterae,alter
curvae,curvus
vela?)),vela?))
((:pars,((:pars
superior,superus
navis,navus
vela,velo
et,et
malus)),malus))
&#60;:pone,&#60;:pone
hanc&#62;,hanc&#6;
&#60;:inferius&#62;,&#60;:inferius&#6;
iiíiiiiiiiiííiiiiiiiiiiii,iiíiiiiiiiiííiiiiiiiiiiii
&#60;:infra,&#60;:infra
hanc&#62;,hanc&#6;
δὸς,δίδωμι
πυγίσαι,πυγίσαι
tertiani,tertianus
habitarunt,habito
[+1+]itices,[++]itices
&#60;:in,&#60;:in
forma,forma
tabellae,tabella
ansatae&#62;,ansatae&#6;
suae,suus
sever〚u〛,sever〚u〛
us,us
callidrome,callidrome
proculus,proculus
+vsicz,+vsicz
cigrotue,cigrotue
ab,ab
h[-,h[
-,punc
-]r,]r
m,m
vole,vole
((:quattuor,((:quattuor
naves,navo
instructae,instruo
velis,velis
malis,malus
et,et
gubernaculis)),gubernaculis))
iudices,iudex
dequi,dequi
((:animal)),((:animal))
((:tria,((:tria
hominum,homo
capita)),capita))
locus,locus
rufinae,rufinae
ὑπ’,ὑπό
ὀψὲ,ὀψέ
ὄρη,ὄρος
πάρις,πάρις
πε++ε+ορεφ[---],πε++ε+ορεφ[]
χρυσο[---],χρυσο[]
+t,+t
acutius,acuo
ἐλάινος,ἐλάινος
πᾶσι,πᾶς
φίλητος,φίλητος
ἐλάινε,ἐλάινε
χαίροις,χαίρω
πολλὰ,πολύς
ἀγαθώτατε,ἀγαθώτατε
aquaria,aquarius
dua,dua
basis,basis
manus,manus
hamas,hama
duas,duo
cotidian[u,cotidian[u
i],i]
urceolos,urceolus
duos,duo
candelabra,candelabrum
quattuor,quattuor
lucubratorium,lucubratorium
unum,unus
lucernam,lucerna
aeneam,aeneus
hamulam,hamula
unam,unus
pelvis,pelvis
basim,basim
luterem,luterem
gutos,gutos
tres,tres
scapheola,scapheola
ferreas,ferreus
strigiles,strigilis
haenas,haenas
marmorem,marmorem
aenea,aeneas
fuminaria,fuminaria
seciolo,seciolo
((signum)),((signum))
&#60;:stria,&#60;:stria
14&#62;,4&#6;
mar,mar
avete,avete
utres,utris
sumus,sum
estis,sum
aere,aer
voluimus,volo
quando,quando
venistis,venio
exivimus,exivimus
eiacia++cv[+4+]++,eiacia++cv[+4+]++
cur,cur
puella,puella
((:ianua)),((:ianua))
nasso,nasso
fadius,fadius
((:caput,((:caput
viri,vir
barbati,barbatus
ad,ad
sin)),sin))
+7+,+7+
neptunus,neptunus
((:nomen,((:nomen
neptvnus,neptvnus
in,in
forma,forma
navis,navus
scriptum)),scriptum))
filii,filius
voltinia,voltinia
magister,magister
quacumque,quicumque
+vt,+vt
puellas,puella
multas,multus
bellis,bellum
moribus,mos
nais,nautilus
sodalis,sodalis
[-,[
-,punc
-]vi,]vi
pateris,patera
be[ne---],be[ne]
balbus,balbus
coniuges,coniunx
myrtis,myrtum
euche,euche
ipsa,ipse
νφ,νφ
duovir,duovir
erat,sum
d,d
priscus,priscus
caelator,caelator
campano,campano
gemmario,gemmarius
φηλεικίων,φηλεικίων
μο,μο
α´,α´
αϲ,αϲ
γ´,γ´
novembris,novembris
vestia,vestia
[-]κακ,[]κακ
οϲ,οϲ
liberalis,liberalis
genicius,genicius
primigenius,primigenius
((:gladiator,((:gladiator
cum,cum
scuto,scutum
longo,longus
galea,galea
et,et
gladio)),gladio))
anicetus,anicetus
isthmus,isthmus
redire,redeo
minus,paruus
innectebis,innectebis
((:navis,((:navis
cum,cum
remis,remi
et,et
delphinus)),delphinus))
φοῖβος,φοῖβος
((:circulus,((:circulus
circulum,circulis
continens,contineo
circino,circino
tracti)),tracti))
((:circulus,((:circulus
a,ab
manu,manus
tractus,traho
cum,cum
lineis,linea
exterioribus)),exterioribus))
((:circulus,((:circulus
a,ab
manu,manus
tractus,traho
cum,cum
lineis,linea
interioribus)),interioribus))
fur,fur
ludus,ludus
meus,meus
novimus,nosco
columbus,columbus
malus,malus
quintinus,quintinus
((:circuli?)),((:circuli?))
floronius,floronius
arrius,arrius
filius,filius
spaerus,spaerus
curia,curia
augustiana,augustiana
eunomus,eunomus
apollinaris,apollinaris
medicus,medicus
titi,titus
imperatoris,imperator
cacavit,cacavit
primigeniae,primigenius
dominae,domina
veni,venio
puteolos,puteolos
vico,vicus
tyaniano,tyaniano
quaere,quaero
messio,messio
nummulario,nummularius
hermerotem,hermerotem
phoebi,phoebus
quin,quin
mammium,mammium
anicetum,anicetum
εὐπρέπης,εὐπρεπέω
/δφξβ,/δφξβ
conticu,conticu
ere,eremus
omnes,omnis
siqua,siqua
c[-]atit,c[]atit
quatit,quatio
((:thymiaterion)),((:thymiaterion))
ζήτημα,ζήτημα
φίλ’,φίλος
ἐλάθε,ἐλάθε
ὢν,εἰμί
νόθ&#60;sup&#62;ο&#60;/sup&#62;ς,νόθ&#60;sup&#6;ο&#60;/sup&#6;ς
mortuus,mortuus
symphorus,symphorus
latinus,latinus
sica,sica
novi,nosco
aptus,aptus
se,sui
tutari,tutaris
nescit,nescio
vivere,vivo
minimum,paruus
fit,fio
contemnendo,contemno
venimus,venio
cupidi,cupidus
multo,multus
magis,magis
ire,eo
cupimus,cupio
quartilla,quartilla
sentius,sentus
ἐξώλη,ἐξώλης
σου,σύ
ἀδελφὸς,ἀδελφός
ἀναγινώσκοντι,ἀναγιγνώσκω
[---τ]ροφίμη,[τ]ροφίμη
+νεθης,+νεθης
+αι,+αι
ενοηγας,ενοηγας
θάλλος,θάλλος
((:figura,((:figura
viri)),viri))
nonio,nonio
felicioni,felicio
marca,marca
cadia,cadia
rhesus,rhesus
+imas,+imas
abccdef++,abccdef++
&#60;:stria,&#60;:stria
1&#62;,&#6;
&#60;:stria,&#60;:stria
2&#62;,&#6;
&#60;:stria,&#60;:stria
20&#62;,0&#6;
uxor,uxor
synethus,synethus
albanus,albanus
pomponius,pomponius
severi,severus
fuficia,fuficia
tu+eriti,tu+eriti
co,co
filia,filia
mur,mur
βινεῖς,βινεῖς
lingit,lingo
optatus,opto
tatius,tatius
[-,[
-,punc
-]prius,]prius
apelles,apello
cubicularius,cubicularius
dextro,dexter
pranderunt,pranderunt
iucundissime,jucundus
future,sum
simul,simul
virilio,virilio
cinnamus,cinnamus
((:gladiatorum,((:gladiator
figurae)),figurae))
meae,meus
siculis,siculis
errant,erro
&#60;:columna,&#60;:columna
i,eo
stria,strio
4&#62;,4&#6;
&#60;:columna,&#60;:columna
ii,is
stria,strio
5&#62;,5&#6;
((:navis,((:navis
cum,cum
malo,malus
et,et
velis,velis
et,et
remis)),remis))
[-,[
-,punc
-]ius,]ius
frontone,fronto
modestus,modestus
musae,musa
((:navis,((:navis
cum,cum
malo,malus
et,et
velis)),velis))
((:duo,((:duo
gladiatores,gladiator
murmillo,murmillo
et,et
samnes?,samnes?
scutis,scutum
et,et
galeis,galea
induti,induo
alter,alter
gladio,gladius
brevi,brevis
alter,alter
hasta,hasta
armatus)),armatus))
δῆμος,δῆμος
σὺν,σύν
ε,ε
++,++
ι,ι
πυγίζεται,πυγίζεται
οξ,οξ
totus,totus
εἰς,εἰς
++[---],++[]
τῶν,ὁ
ὀφθαρμίων,ὀφθαρμίων
ἐθαραπεύ,ἐθαραπεύ
θη,θη
moeɔcia,moeɔcia
hirrius,hirrius
((:equi,((:equi
caput,caput
et,et
thorax)),thorax))
quota,quotus
sunt,sum
capita,caput
sella,sella
quadrua,quadruus
equales,equal
dina,dine
&#60;:ad,&#60;:ad
perpendiculum,perpendiculis
sursum?&#62;,sursum?&#6;
marci,marcus
bruttidi,bruttidi
stati,stas
[-,[
-,punc
-]ecmona[-,]ecmona[
-,punc
-],]
ratio,ratio
ugoni,ugoni
pridie,pridie
nonas,nona
((:caput,((:caput
et,et
artus,artus
anteriores,anteriores
equi,equus
ad,ad
sin)),sin))
((:caput,((:caput
feminae,femina
ad,ad
sin)),sin))
panta,panta
huc,huc
conveniunt,convenio
mane,mane
mulam,mula
asti,astus
assem,assis
agathemerus,agathemerus
((:gladiator,((:gladiator
cum,cum
scuto)),scuto))
aristo,aristo
tonsori,tonsor
+ot,+ot
συνέρως,συνέρως
καλὸς,καλός
ianuari,ianuaris
lingis,lingo
mentulam,mentula
syneros,syneros
idibus,idus
iulis,iulis
inaures,inauro
positas,pono
faustillam,faustillam
((denarium)),((denarium))
usuram,usura
deduxit,deduco
summa,summus
λιβερᾶλις,λιβερᾶλις
((quinque,((quinque
centum)),centum))
arma,arma
meis,meus
adsueta,assuesco
umeris,umerus
debita,debeo
ponam,pono
mea,meus
confirmas,confirmo
prospera,prosper
vota,veto
syntrophus,syntrophus
auget,augeo
scaudi,scaudi
((:gladiator,((:gladiator
armatus,armo
thraex?)),thraex?))
((:clipeus,((:clipeus
oblongus)),oblongus))
sabinus,sabinus
pedicat,pedicat
apollonia,apollonia
[---]a[---],[]a[]
dat,do
futere[---],futere[]
nero,nero
habitos,habeo
glo+rus,glo+rus
posteru,posteru
postridie,postridie
matris,mater
eleusinae,eleusinae
((:scyphus)),((:scyphus))
spes,spes
αμ,αμ
πε,πε
+++,+++
δεστανωι,δεστανωι
ἀναγ,ἀναγ
col((denarius)),col((denarius))
colono,colonus
quaesivi,quaero
facias,facio
re[s,re[s
s]erva,s]erva
res,res
tuas,tuus
nol[i,nol[i
-,punc
-,punc
-],]
nobi[s,nobi[s
iun]ge,iun]ge
neque,neque
servabo,servo
ius,ius
luminum,lumen
salvum,salvus
pleia,pleia
apeleis,apeleis
((signa,((signa
duo)),duo))
familia,familia
gladiator,gladiator
ia,ia
pomponi,pomponi
fausti,faustus
ni,ni
((:venatio,((:venatio
equi,equus
venatores,venator
pisces,piscis
et,et
aliae,alius
figurae)),figurae))
[---]as[---],[]as[]
conclave,conclave
puteolis,puteoli
consistunt,consisto
herculanenses,herculanenses
naviculae,navicula
ianuariaes,ianuariaes
((:navis,((:navis
cum,cum
malo,malus
velis,velis
et,et
remis)),remis))
aviani,aviani
votum,voveo
moram,mora
quaeres,quaero
sparge,spargo
milium,mille
collige,colligo
((:caput,((:caput
gladiatoris,gladiator
ad,ad
sin,sin
versum,verro
et,et
galea,galea
armatum)),armatum))
pane,panis
factum,facio
〚iii〛,〚iii〛
((:gladiator,((:gladiator
galea,galea
cristata,cristatus
gladio,gladius
scuto,scutum
longoque,longus
armatus,armo
et,et
subligaculo,subligaculum
et,et
fasciis,fascia
indutus)),indutus))
[---]lius,[]lius
genius,genius
fatuus,fatuus
κληβιχν,κληβιχν
fausta,faustus
februarias,februarius
((:figura,((:figura
hominis,homo
currens,curro
ad,ad
sin)),sin))
φιλοῦσα,φιλέω
μὴ,μή
φιλοῦσαν,φιλέω
ἐκράφη,ἐκράφη
δακτυλεις,δακτυλεις
τί,τίς
πόλεμον,πόλεμος
εἴπεις;,εἴπεις;
σοῦ,σύ
διώλεσεν;,διώλεσεν;
εἰ,εἰ
γνώμονος,γνώμων
ε+,ε+
ν+α,ν+α
π,ἀπό
or,or
γ,γε
σ,σ
φαι,φαι
ιι,ιι
φιλω,φιλω
++++++++++αρα,++++++++++αρα
((:vela)),((:vela))
antiochus,antiochus
mansit,maneo
cythera,cythera
icare,icarus
μνξοπρϲτυφχψω,μνξοπρϲτυφχψω
[nil,[nil
sibi],sibi]
habere,habeo
aiunt,aio
eum[am,eum[am
totum]que,totum]que
locare,locaris
tum,tum
[plus,[plus
a]deo,a]deo
condere,condo
uti,uti
liceat,licet
thymele,thymelis
male,malus
cala,calo
τρηθηει,τρηθηει
δειχει,δειχει
ceio,ceio
multis,multus
pupa,pupa
venusta,venustus
salve,salvus
ilia,ilia
ευyroiviλc,ευyroiviλc
ἀρτεμιδώρου,ἀρτεμίδωρος
σμυρναίου,σμυρναῖος
ἰσόψηφα,ἰσόψηφος
κύριος,κύριος
πίστις,πίστις
fratre,frater
futuimus,futuimus
bis,bis
binas,bini
dv+m,dv+m
αλι[---],αλι[]
δει[---],δει[]
μη[--],μη[]
πολaζη,πολaζη
//ετειμηκττονπδρι////ξο///,//ετειμηκττονπδρι////ξο///
atτiκαις,atτiκαις
πεντακoς[---],πεντακoς[]
((:tridens?)),((:tridens?))
+hb,+hb
di+d,di+d
methe,methe
cominiaes,cominiaes
atellana,atellana
chrestum,chrestum
corde,cor
utreis,utreis
utrisque,uterque
pompeiana,pompeiana
propitia,propitio
concordes,concordo
((sextans)),((sextans))
((quadrans)),((quadrans))
((uncia)),((uncia))
epaphra,epaphra
acutus,acutus
auctus,augeo
locum,locus
duxerunt,duco
mulierum,mulier
tychen,tychen
pretium,pretium
singulos,singuli
marco,marcus
messalla,messalla
lucio,lucius
lentulo,lentulus
consulibus,consul
scripsi,scribo
((:fascis)),((:fascis))
χαῖρε,χαίρω
hermulus,hermulus
numina,numen
di,deus
&#60;:stria,&#60;:stria
9&#62;,9&#6;
&#60;:striae,&#60;:striae
15-16&#62;,56&#6;
&#60;:stria,&#60;:stria
16-17&#62;,67&#6;
v+ais,v+ais
c++mrv,c++mrv
αβρδαρα[+5+]ωαρ,αβρδαρα[+5+]ωαρ
[+1+]αρμ,[++]αρμ
μiiροαβ,μiiροαβ
οο[+2+]μ,οο[++]μ
[+1+]ρι[+2+],[++]ρι[++]
γυ+ωπι,γυ+ωπι
+οτεγαραιγυt[+2+]eπεμπ,+οτεγαραιγυt[++]eπεμπ
+ανγϲ,+ανγϲ
statius,sto
postumius,postumus
carminibus,carmen
circe,circos
socios,socius
mutavit,muto
ulixi,ulixi
cauda,cauda
&#60;:stria,&#60;:stria
5-6&#62;,56&#6;
&#60;:striae,&#60;:striae
6-7&#62;,67&#6;
poppai,poppai
reus,reus
iarinus,iarinus
annius,annius
[+2+]it,[++]it
vobis,tu
picta,pingo
croco,crocum
&#60;:columna,&#60;:columna
i=stria,i=stria
17&#62;,7&#6;
mopsus,mopsus
&#60;:columna,&#60;:columna
ii=stria,ii=stria
20&#62;,0&#6;
((:tria,((:tria
animalia,animal
cervi?)),cervi?))
sabidia,sabidia
abonius,abonius
n,n
ἐλεγχία,ἐλεγχία
μῆλον,μῆλον
ἡδονή,ἡδονά
λόγος,λόγος
ὄνομα,ὄνομα
νήσας,νέω
copo,copo
nonis,nonus
viii[,viii[
idus,idus
iul]ias,iul]ias
nata,nata
prid[ie,prid[ie
nonas],nonas]
non[is,non[is
h]erculaneo,h]erculaneo
nolae,nola
pomp[---]ans,pomp[]ans
ionaei,ionaei
[---]ης,[]ης
τῆς,ὁ
καλῆς,καλός
κυρίας,κύριος
καλῶν,καλός
χρωτῶ&#60;sup&#62;ν&#60;/sup&#62;,χρωτῶ&#60;sup&#6;ν&#60;/sup&#6;
++++++++++,++++++++++
εων,εων
κε++,κε++
[---]+++++ς,[]+++++ς
κ+tωνκα++,κ+tωνκα++
[---]++++++,[]++++++
+++++++++++++++++,+++++++++++++++++
κοτωντο+,κοτωντο+
〚&#60;:textus,〚&#60;:textus
non,non
legitur&#62;〛,legitur&#6;〛
[---]οτο,[]οτο
++++++++++++++,++++++++++++++
εν,εν
μεσω++,μεσω++
[---]++[------],[]++[]
++++oδε,++++oδε
μία,εἷς
ὥρα,ὥρα
ἐστί,εἰμί
[---]ο++[--],[]ο++[]
+αναν++++,+αναν++++
χις,χις
οπολλ+[---],οπολλ+[]
((:duo,((:duo
stellae)),stellae))
sequatur,sequor
eueno,eueno
διόφαντοϲ,διόφαντοϲ
μημ+++++++,μημ+++++++
ἄδωνιϲ,ἄδωνιϲ
ἡλιόδωροϲ,ἡλιόδωροϲ
ἀρτεμῆϲ,ἀρτεμῆϲ
διογένηϲ,διογένηϲ
βαύδανοϲ,βαύδανοϲ
ἀπολλόδωροϲ,ἀπολλόδωροϲ
διο,διο
ἀπολλώνιοϲ,ἀπολλώνιοϲ
oceanus,oceanus
virum,vir
bonum,bonus
oro,oro
faciatis,facio
((:aedificium)),((:aedificium))
((:anser,((:anser
spectans,specto
ad,ad
sinistram)),sinistram))
mulviu,mulviu
mulvi,mulvi
protectus,protego
((:caput,((:caput
gladiatoris,gladiator
galeatum)),galeatum))
vesuvius,vesuvius
curae,cura
presserit,premo
artus,artus
has,hic
mancinas,mancinas
stagna,stagnum
refusa,refundo
dabo,do
((:gladiator,((:gladiator
cum,cum
palma)),palma))
li++,li++
procu,procu
panem,panis
〚ii,〚ii
〛,〛
cauliculum,cauliculis
sinapi,sinapis
sale,sal
cunei,cuneus
rusatia,rusatia
((:figura,((:figura
bucinae)),bucinae))
((:securis)),((:securis))
αδ++ις,αδ++ις
ολοπληθος,ολοπληθος
alienas,alienus
nolite,nolo
tangere,tango
pueri,puer
δῆλος,δῆλος
&#60;:in,&#60;:in
tabella,tabella
ansata&#62;,ansata&#6;
scito,scio
ordinis,ordo
viλianio,viλianio
atr---,atr
((:quattuor,((:quattuor
gladiatores)),gladiatores))
[+1+]rimus,[++]rimus
ed[-,ed[
-,punc
-],]
quant,quant
castalo,castalo
magonius,magonius
vectiga,vectiga
pittacius,pittacius
sequere,sequor
volumnius,volumnius
ve++ios,ve++ios
co&#60;:vacat&#62;,co&#60;:vacat&#6;
tiburtius,tiburtius
actius,ago
((:circulus,((:circulus
circulos,circulus
et,et
flores,floreo
continens)),continens))
((:series,((:series
quindecim,quindecim
linearum)),linearum))
αβγδεζηθικλμ,αβγδεζηθικλμ
debes,debeo
felicio,felicio
+2+,++
((:anser,((:anser
stans)),stans))
((:piscis,((:piscis
ad,ad
d)),d))
