term,lemmatized
a,ab
cane,canis
assultatus)),assultatus))
aufidius,aufidius
fuit,sum
((:cervus)),((:cervus))
((:circulus,((:circulus
circulum,circulis
continens,contineo
circino,circino
tracti,traho
cum,cum
littera,littera
x,decem
et,et
+)),+))
vitalis,vital
((:basis,((:basis
columnae,columna
cum,cum
parte,pars
columnae,columna
ornamentae,ornamentae
et,et
fortasse,fortasse
scalae)),scalae))
amor,amor
sapiet,sapio
quid,quis
antus,antus
ψωλή,ψωλή
&#60;:columna,&#60;:columna
i&#62;,i&#6;
branc,branc
broc,broc
trans,trans
nus,nus
&#60;:columna,&#60;:columna
ii&#62;,ii&#6;
noster,noster
tros,tros
men,ego
&#60;:columna,&#60;:columna
iii&#62;,iii&#6;
quod,qui
quae,qui
quas,qui
&#60;:columna,&#60;:columna
iv&#62;,iv&#6;
rum,rus
quis,quis
que,que
dem,do
&#60;:columna,&#60;:columna
v&#62;,v&#6;
con,continuo
les,les
lis,lis
mul,mul
&#60;:columna,&#60;:columna
vi&#62;,vi&#6;
mol,mol
ma,ma
me,ego
mae,mae
quidam,quidam
pauper,pauper
ligas,ligo
ἐπάγαθοϲ,ἐπάγαθοϲ
((:navis,((:navis
oneraria)),oneraria))
centurio,centurio
centonem,cento
non,non
habet,habeo
cen---,cen
maximus,magnus
david,david
φιλιππε,φιλιππε
[-,[
-,punc
-]cio,]cio
salutem,salus
morieris,morior
tomi,tomi
feliciter,feliciter
nicanor,nicanor
ovas,ovas
stirisc[us,stirisc[us
-,punc
-,punc
-],]
[-,[
-,punc
-,punc
m]oschus,m]oschus
noeto,noeto
((:herma,((:herma
viri,vir
cum,cum
palma)),palma))
bucolus,bucolus
artorius,artorius
echio,echio
luci,lucius
acti,ago
mystice,mysticus
mus,mus
comici,comicus
icui,icui
pro,pro
fuimus,sum
[+1+]anthi,[++]anthi
trama,trama
pondo,pondo
stamen,stamen
chie,chie
cinaede,cinaedus
mebi,mebi
venio,venio
((:gladius)),((:gladius))
((:duo,((:duo
capita,caput
hominum)),hominum))
((:caput,((:caput
viri,vir
ad,ad
sin)),sin))
((:navis,((:navis
instructa,instruo
velis)),velis))
((:navis,((:navis
instructa,instruo
velis,velis
et,et
cum,cum
duobus,duo
hominibus)),hominibus))
((:quadrupes,((:quadrupes
ad,ad
sin)),sin))
((:equus,((:equus
