"EDR127158","127158-2","84683",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito numerico","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127158","127158-3","84684",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito numerico","NorthEast","black","Ancient Graffiti Project a. 2019","693"
"EDR127424","127424","54387",,"463","523","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08630b","696"
"EDR127430","127430","84705",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127430","127430-1","84706",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127430","127430-2","84707",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127430","127430-3","84708",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128050","128050","84709",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128050","128050-1","84710",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128050","128050-2","84711",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR128050","128050-3","84712",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-27","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127368","127368","84626",,"3368","2380","72x72",,"foto moderna","Gracie SINGLETON","2021-12-25","Graffito","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127368","127368-1","84627",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127368","127368-2","84628",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127368","127368-3","84629",,"3368","2380","72x72",,"disegno ricostruttivo","Gracie SINGLETON","2021-12-25","Graffito di disegno","NorthWest","black","Ancient Graffiti Project a. 2019","693"
"EDR127808","127808","54388",,"201","178","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08632c","696"
"EDR128116","128116","54384",,"340","364","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08626b","696"
"EDR128059","128059","54373",,"246","238","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08592b","696"
"EDR128062","128062-1","54374",,"408","345","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08596b","696"
"EDR127152","127152","54398",,"630","367","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08660","696"
"EDR127155","127155","54386",,"371","392","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08628","696"
"EDR127411","127411-1","54376",,"401","748","150x150",,"disegno ricostruttivo","Mary Beth SMITH","2015-08-12","Graffito nel campus di Pompei","NorthWest","black","CIL 04, 08605","696"
