"EDR073160","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073161","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073218","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073219","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073222","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), reg. I, 10, 11, domus, a dx della porta del terzo cubicolo (a. 1933)",,,,"litt. scariph.",,,,"0","0","0","0","0.00","0.00","0.00",,,,,,"0"
"EDR073223","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073288","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073314","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VIII.1.1, Basilica","Napoli, Museo Archeologico Nazionale, inv. n. 4707","aedificium","tectorium","litt. scariph.","latina","cetera","ord. mun.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR073325","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073335","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073337","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073338","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073343","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073414","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0","0","0","0.00","0.00","0.00",,,,,,"0"
"EDR073610","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio I.8.17, Casa dei Quattro Stili, cortile, presso un bidental","Locus incertus","tegula","creta","scalpro","latina","cetera",,"0","0","1","79","0.00","16.50","0.00",,"tit. integer","archaeologia",,,"0"
"EDR073638","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXI, stria 11","Pompei (Napoli), in repositis, inv. n. 20565","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR159691","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio II.7.1, Campus ad amphitheatrum, col. LXII, stria 15","Periit","aedificium","tectorium","litt. scariph.","latina","cetera",,"0","0","1","79","8.00","6.50","0.00","0,3-2,8","tit. mutilus","archaeologia",,"hexametricus","1"
"EDR073766","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VII.4.31, Casa dei Capitelli Colorati/Casa di Arianna","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR073805","LaC","I","Pompeii","Pompei (Napoli)",,,,,"litt. scariph.",,,,"0","0","0","0","0.00","0.00","0.00",,,,,,"0"
"EDR073807","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073808","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073814","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR073816","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
"EDR074234","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio VII.12.13-14, facade","Periit?","aedificium","tectorium","litt. scariph.","latina","cetera","ignoratur","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,"distichum elegiacum","1"
"EDR074292","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio I.7.1, Casa di Paquius Proculus","Pompei (Napoli), Regio I.7.1, Casa di Paquius Proculus","aedificium","tectorium","litt. scariph.","latina","inscr. parietariae","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR074682","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio I.11.11, Caupona di Euxinus","Pompei (Napoli), Regio I.11.11, Caupona di Euxinus?","aedificium","tectorium","pictura","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR074685","LaC","I","Pompeii","Pompei (Napoli)","Pompei (Napoli), Regio I.11.11, Caupona di Euxinus","Periit?","amphora","creta","pictura","latina","cetera","cet.","0","0","1","79","0.00","0.00","0.00",,"tit. integer","archaeologia",,,"0"
"EDR074686","LaC","I","Pompeii","Pompei (Napoli)",,,,,,,,,"0","0",NULL,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL
