EDR140141,centonem,centonem,cento,N3B,c1150,m,NcC
EDR140141,Centurio,centurio,centurio,N3B,c1171,m,NcC
EDR140141,Centurio,centurio,centurio,V1,c1169,,VmF
EDR140141,habet,habet,habeo,V2,h0004,,VmG
EDR140141,non,non,non,I,n9508,,X--
EDR151877,redibis,redibis,redeo,VA,r1080,,VmN
EDR151877,Colono,colono,colonus,N2,c2497,m,NcB
EDR151877,est,est,sum,VA,s3436,,VaN
EDR151877,est,est,e'do,VA,e0094,,VmN
EDR151877,salutem,salutem,salus,N3B,s0233,f,NcC
EDR151877,salutem,salutem,saluto,V1,s0245,,VmF
EDR151890,salutem,salutem,salus,N3B,s0233,f,NcC
EDR151890,salutem,salutem,saluto,V1,s0245,,VmF
EDR151890,Tomi,tomi,tomus,N2,t0793,m,NcB
EDR151890,morieris,morieris,morior/-io,V5,m1411,,VmM
EDR140053,Paris,paris,par/-is,N3A,p0286,*,Af-
EDR140053,Paris,paris,pario,V5,p0411,,VmM
EDR140053,Paris,paris,parrus,N2,p0288,m,NcB
EDR152964,Augustas,augustas,augusto,V1,a3491,,VmF
EDR152964,Augustas,augustas,augustus,N2/1,a3492,*,Af-
EDR152964,Kalendas,kalendas,kalendae,N1,k0002,f,NcA
EDR152964,Nonas,nonas,nonus,N2/1,n0145,*,Ao-
EDR152964,Nonas,nonas,nona,N1,n0177,f,NcA
EDR154569,et,et,et,I,e0997,,X--
EDR154569,tres,tres,tres/-is,N3A,t1158,*,An-
EDR153355,Qui,qui,queo,VA,q0178,,VmN
EDR153355,Qui,qui,quis,PR,q0198,,P4-
EDR153355,Qui,qui,qui,PR,q9410,,P7-
EDR153355,tutari,tutari,tutor/-o,V1,t1843,,VmF
EDR153355,nescit,nescit,nescio,V4,n0249,,VmL
EDR153355,nescit,nescit,nescio,V4,n0249,,VmL
EDR153355,vivere,uiuere,uiuo,V3,u0913,,VmH
EDR153355,Minimum,minimum,minimus,N2/1,m1031,*,Af-
EDR153355,malum,malum,malis,N3B,m0192,f,NcC
EDR153355,malum,malum,malus,N2/1,m0216,*,Af-
EDR153355,malum,malum,ma'lum,N2,m0216,n,NcB
EDR153355,malum,malum,malus,N2,m0218,m,NcB
EDR153355,malum,malum,ma"lum,N2,m0218,n,NcB
EDR153355,malum,malum,malus,N2,m0219,f,NcB
EDR153355,fit,fit,fio,VA,f0557,,VmN
EDR153355,contemnendo,contemnendo,contemno,V3,c3690,,VmH
EDR153355,contemnendo,contemnendo,contemno,V3,c3690,,VmH
EDR154533,Paris,paris,par/-is,N3A,p0286,*,Af-
EDR154533,Paris,paris,pario,V5,p0411,,VmM
EDR154533,Paris,paris,parrus,N2,p0288,m,NcB
EDR154533,Anicete,anicete,anicetus,N2/1,a2020,*,Af-
EDR154500,vale,uale,ualeo,V2,u0050,,VmG
EDR154500,Maior,maior,maior,N3A,m0139,*,Af-
EDR154500,vale,uale,ualeo,V2,u0050,,VmG
EDR154500,Maior,maior,maior,N3A,m0139,*,Af-
EDR154185,cubicularius,cubicularius,cubicularius,N2/1,c4483,*,Af-
EDR154185,cubicularius,cubicularius,cubicularis,N3A,c7325,*,Af-
EDR154185,cubicularius,cubicularius,cubicularius,N2/1,c4483,*,Af-
EDR154185,cubicularius,cubicularius,cubicularius,N2,c7326,m,NcB
EDR154185,Apelles,apelles,apello,V3,a2317,,VmH
EDR154185,Dextro,dextro,dexter,N2/1,d0000,*,Af-
EDR154185,cum,cum,cum,I,c4579,,X--
EDR154185,cum,cum,cum,I,c4584,,X--
EDR154185,pranderunt,pranderunt,prandeo,V2,p3461,,VmG
EDR154185,iucundissime,iucundissime,iucundus,N2/1,i2989,*,Af-
EDR154185,hic,hic,hic,PR,h0360,,Py-
EDR154185,future,future,sum,VA,s3436,,VaN
EDR154185,et,et,et,I,e0997,,X--
EDR154190,Mortuus,mortuus,morior/-io,V5,m1411,,VmM
EDR151886,Sacomata,sacomata,sacoma,N3B,s0049,n,NcC
EDR153850,Semis,semis,semis,N3B,s1133,m,NcC
EDR153850,Semis,semis,semus,N2/1,s8195,*,Af-
EDR153850,mille,mille,mille,N,m0992,,AnP
EDR153850,mille,mille,mille,N,m0992,,NnP
EDR153850,mille,mille,millus,N2,m0663,m,NcB
EDR153850,Semis,semis,semis,N3B,s1133,m,NcC
EDR153850,Semis,semis,semus,N2/1,s8195,*,Af-
EDR154433,pedica,pedica,paedico,V1,p0041,,VmF
EDR154433,pedica,pedica,pedica,N1,p0711,f,NcA
EDR154433,pedica,pedica,pedicus,N2/1,p9708,*,Af-
EDR154433,comatus,comatus,como,V1,c2758,,VmF
EDR140980,mita,mita,mitto,V3,m1143,,VmH
EDR140980,Quam,quam,qui,PR,q9410,,P7-
EDR140980,vis,uis,uis,N3B,u0804,,NcC
EDR140980,vis,uis,uolo,VA,u1167,,VmN
EDR140980,atque,atque,atque,I,a3301,,X--
EDR140980,atque,atque,ad,I,a0479,,X--
EDR140980,atque,atque,at,I,a0547,,X--
EDR140980,Pastores,pastores,pastor,N3B,p0534,m,NcC
EDR140980,Caste,caste,castus,N2/1,c0798,*,Af-
EDR140980,erga,erga,erga,I,e0866,,X--
EDR154539,Florus,florus,florus,N2/1,f0702,*,Af-
EDR154539,Paris,paris,par/-is,N3A,p0286,*,Af-
EDR154539,Paris,paris,pario,V5,p0411,,VmM
EDR154539,Paris,paris,parrus,N2,p0288,m,NcB
EDR156998,Mortuus,mortuus,morior/-io,V5,m1411,,VmM
EDR151831,hic,hic,hic,PR,h0360,,Py-
EDR151831,Quaesivi,quaesiui,quaero,V3,q0096,,VmH
EDR151831,Quaesivi,quaesiui,quaeso,V3,q0099,,VmH
EDR151831,facias,facias,facia,N1,f0043,f,NcA
EDR151831,facias,facias,facio,V5,f0048,,VmM
EDR151831,omnes,omnes,omnis,N3A,o0723,*,Au-
EDR151831,serva,serua,seruo,V1,s1428,,VmF
EDR151831,serva,serua,serua,N1,s1432,f,NcA
EDR151831,serva,serua,seruus,N2/1,s1432,*,Af-
EDR151831,tuas,tuas,tuus/-os,PR,t1849,*,Ps-
EDR151831,quem,quem,quis,PR,q0198,,P4-
EDR151831,quem,quem,qui,PR,q9410,,P7-
EDR151831,noli,noli,nolo,VA,n0489,,VmN
EDR151831,iunge,iunge,iungo,V3,i3044,,VmH
EDR151831,iunge,iunge,iynx,N3B,i3115,f,NcC
EDR151831,nobis,nobis,nos,PR,n0773,,Pq-
EDR151831,servabo,seruabo,seruo,V1,s1428,,VmF
EDR151831,neque,neque,neque,I,n9758,,X--
EDR151831,neque,neque,ne,I,n0130,,X--
EDR151831,neque,neque,ne,I,n0131,,X--
EDR151831,neque,neque,neo,V2,n0211,,VmG
EDR151831,quis,quis,quis,PR,q0198,,P4-
EDR151831,quis,quis,qui,PR,q9410,,P7-
EDR151831,quis,quis,queo,VA,q0178,,VmN
EDR151831,luminum,luminum,lumen,N3B,l1176,n,NcC
EDR140217,ovas,ouas,ouo,V1,o1167,,VmF
EDR140978,Ater,ater,ater,N2/1,a6288,*,Af-
EDR140248,Caves,caues,caueo,V2,c0949,,VmG
EDR140248,Caves,caues,cauo,V1,c0980,,VmF
EDR140213,sint,sint,sum,VA,s3436,,VaN
EDR140213,Cumis,cumis,cyma,N1,c4795,f,NcA
EDR140139,Salvia,saluia,saluia,N1,s0226,f,NcA
EDR159778,Misit,misit,mitto,V3,m1143,,VmH
EDR159778,agnas,agnas,agna,N1,a1182,f,NcA
EDR159778,agnas,agnas,agna,N1,a1207,f,NcA
EDR159778,simplex,simplex,simplex,N3A,s1698,*,Af-
EDR140188,Kalendas,kalendas,kalendae,N1,k0002,f,NcA
EDR140188,gladiatorum,gladiatorum,gladiator,N3B,g0324,m,NcC
EDR140188,gladiatorum,gladiatorum,gladiatus,N2/1,g0329,*,Af-
EDR140188,Genialis,genialis,genialis,N3A,g0183,*,Af-
EDR140188,paria,paria,parias,N1,p0374,m,NcA
EDR140188,paria,paria,pario,V1,p0410,,VmF
EDR140188,paria,paria,par/-is,N3A,p0286,*,Af-
EDR140983,Fortunatus,fortunatus,fortuno,V1,f0898,,VmF
EDR140983,amat,amat,amo,V1,a1705,,VmF
EDR140983,Ampliandam,ampliandam,amplio,V1,a1774,,VmF
EDR140983,amat,amat,amo,V1,a1705,,VmF
EDR140983,Rogamus,rogamus,rogo,V1,r1472,,VmF
EDR140983,domina,domina,domina,N1,d0165,f,NcA
EDR140983,domina,domina,domino,V1,d1471,,VmF
EDR140983,Venus,uenus,uenus,N3B,u0331,f,NcC
EDR140983,Venus,uenus,uenus,N4,u0470,f,NcD
EDR140983,Venus,uenus,uenus,N2,u0396,f,NcB
EDR140983,nos,nos,nos,PR,n0773,,Pq-
EDR140983,mente,mente,mens,N3B,m0733,f,NcC
EDR140983,mente,mente,miniscor,V3,m1033,,VmH
EDR140983,habeas,habeas,habeo,V2,h0004,,VmG
EDR140983,quod,quod,qui,PR,q9410,,P7-
EDR140983,modo,modo,modo,I,m9610,,X--
EDR140983,modo,modo,modus,N2,m1190,m,NcB
EDR140983,interrogamus,interrogamus,interrogo,V1,i2476,,VmF
EDR151822,habitat,habitat,habito,V1,h0015,,VmF
EDR151822,castris,castris,castrum/-us,N2,c0787,1,NcB
EDR151822,castris,castris,castra,N1,c0787,f,NcA
EDR151822,Augusti,augusti,augustus,N2/1,a3492,*,Af-
EDR151822,sub,sub,sub,I,s2719,,X--
EDR140046,Colono,colono,colonus,N2,c2497,m,NcB
EDR152815,Rare,rare,rarus,N2/1,r0082,*,Af-
EDR152815,omnes,omnes,omnis,N3A,o0723,*,Au-
EDR154576,trama,trama,trama,N1,t0962,f,NcA
EDR154576,pondo,pondo,pondo,I,p2558,,X--
