EDR151868,Aquaria
EDR151868,manus
EDR151868,cotidianu
EDR151868,basis
EDR151868,cum
EDR151868,urceolos
EDR151868,Candelabra
EDR151868,duos
EDR151868,quattuor
EDR151868,lucubratorium
EDR151868,et
EDR151868,Lucernam
EDR151868,unum
EDR151868,Hamulam
EDR151868,aeneam
EDR151868,Pelvis
EDR151868,unam
EDR151868,basim
EDR151868,cum
EDR151868,luterem
EDR151868,et
EDR151868,tres
EDR151868,Gutos
EDR151868,dua
EDR151868,Scapheola
EDR151868,strigiles
EDR151868,Ferreas
EDR151868,Haenas
EDR151868,quattuor
EDR151868,cum
EDR151868,Marmorem
EDR151868,aenea
EDR151868,basim
EDR151868,Fuminaria
EDR140037,kalendas
EDR140037,Februarias
EDR159772,Στρατόνικος
EDR159772,Stratonicus
EDR153110,Quintus
EDR153110,Antus
EDR140230,Anicete
EDR142441,Ad
EDR140179,aedituus
EDR154370,kalendas
EDR151829,Myrine
EDR151894,Artorius
EDR156779,Fausta
EDR156779,Ave
EDR073355,medicus
EDR073355,Apollinaris
EDR073355,Imperatoris
EDR073355,Titi
EDR073355,cacavit
EDR073355,hic
EDR102191,Primigeniae
EDR102191,Hermeros
EDR102191,dominae
EDR102191,Puteolos
EDR102191,veni
EDR102191,vico
EDR102191,in
EDR102191,et
EDR102191,Tyaniano
EDR102191,a
EDR102191,quaere
EDR102191,nummulario
EDR102191,Messio
EDR102191,Hermerotem
EDR140239,Iunius
EDR140239,Caius
EDR081345,Messenius
EDR081345,Caius
EDR081345,in
EDR081345,Eunomus
EDR154045,Tiberius
EDR154092,cunei
EDR154092,Asseres
EDR151910,Quintus
EDR154566,exempta
EDR154566,stercora
EDR154566,assibus
EDR140140,Vettius
EDR140140,Quintus
EDR145942,Proculus
EDR154430,Salinensi
EDR154430,omnibus
EDR140204,Publius
EDR140234,Publius
EDR157024,Mortuus
EDR157024,Deius
EDR153613,ad
EDR152962,signum incertum
EDR152962,Ἄρτος
EDR140165,Surus
EDR140165,Ianua
EDR140187,Quintus
EDR140034,Stiriscus
EDR140034,Moschus
EDR154567,quattuor
EDR151948,Remmius
EDR154186,Mus
EDR154186,Apelles
EDR154186,fratre
EDR154186,cum
EDR154186,amabiliter
EDR154186,Dextro
EDR154186,bis
EDR154186,futuimus
EDR154186,binas
EDR140152,hic
EDR140152,Hyacinthus
EDR140152,Verginiam
EDR140152,fuit
EDR140669,pondo
EDR140669,Rufula
EDR140233,Procame
EDR140233,Vale
EDR154572,Iustus
EDR140221,cum
EDR140221,vol
EDR140221,Marcello
EDR142438,Quintus
EDR157025,Aulus
EDR151872,Quintus
EDR154179,sodales
EDR154179,Duo
EDR154179,fuerunt
EDR154179,hic
EDR154179,cum
EDR154179,et
EDR154179,malum
EDR154179,diu
EDR154179,in
EDR154179,ministrum
EDR154179,haberent
EDR154179,omnia
EDR154179,Epaphroditum
EDR154179,nomine
EDR154179,tarde
EDR154179,vix
EDR154179,foras
EDR154179,eum
EDR154179,exegerunt
EDR154179,persuavissime
EDR154179,Consumpserunt
EDR154179,futuere
EDR154179,cum
EDR151417,Nicanor
EDR140151,Tatius
EDR140151,Aulus
EDR140147,conclave
EDR140147,Puteolis
EDR140147,consistunt
EDR140147,Herculanenses
EDR140147,naviculae
EDR140054,feliciter
EDR154429,Urbane
EDR140232,suis
EDR140232,vivant
EDR140232,ave
EDR153111,Phoebus
EDR153111,aegrotes
EDR140986,Urso
EDR154568,pisu
EDR154568,ne
EDR140138,Burrus
EDR140138,petat
EDR140144,Mansueta
EDR140144,tene
EDR140137,MOEƆCIA
EDR153487,venimus
EDR153487,Venimus
EDR153487,cupidi
EDR153487,hoc
EDR153487,magis
EDR153487,multo
EDR153487,ire
EDR140258,Mus
EDR154177,biberes
EDR154177,assibus
EDR154177,singula
EDR154177,Panem
EDR154177,assibus
EDR154177,ofellas
EDR154177,assibus
EDR154177,thymatula
EDR154368,Cilix
EDR154368,Fusci
EDR151835,res
EDR151835,Est
EDR153853,me
EDR153853,Ursi
EDR156999,situs
EDR156999,Hic
EDR154043,Septembres
EDR154043,pro
EDR154043,idus
EDR154043,denarius
EDR154043,tunica
EDR154043,asses
EDR140177,Assis
EDR154538,Feliciter
EDR140124,Quis
EDR154042,Iulis
EDR154042,Nonis
EDR154042,Idus
EDR154042,nata
EDR154042,Iulias
EDR154042,Pridie
EDR153849,me
EDR153849,Ursi
EDR140166,quidam
EDR140166,Cum
EDR140166,ligas
EDR140166,pauper
EDR129306,Euhodus
EDR129306,Lollianus
EDR129306,Musicus
EDR129306,Priscus
EDR129306,Atimetus
EDR129306,Glaucus
EDR153740,Amethyste
EDR151873,socio
EDR151867,acceptum
EDR151867,Vinum
EDR151867,domino
EDR151867,ab
EDR151867,Idus
EDR159777,asses
EDR159777,Vinum
EDR159777,semis
EDR159777,Nigro
EDR159777,Capitoni
EDR140195,Kalendas
EDR140195,factum
EDR140195,pane
EDR140195,Nonas
EDR140195,factum
EDR140195,pane
EDR154434,Longinus
EDR154434,Iulias
EDR154434,Idus
EDR154434,Iulias
EDR154434,vim
EDR154434,accepit
EDR154434,Sturnus
EDR154044,numero
EDR154044,Asas
EDR154044,Anaticulas
EDR154044,numero
EDR140190,et
EDR140190,Euhodus
EDR140190,Satura
EDR153741,Chie
EDR154371,glaber
EDR154371,Salarius
EDR154371,Laviniam
EDR140211,Charca
