EDR151868,Aquaria,aquaria,aquarius,N2/1,a1289,*,Af-,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,Aquaria,aquaria,aquarium,N2,a1316,n,NcB,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,Aquaria,aquaria,aquarius,N2/1,a1289,*,Af-,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR151868,Aquaria,aquaria,aquarium,N2,a1316,n,NcB,&#12296;:columna I&#12297; Aquaria dua cum basis Aqua(ria?) in manus dua cum basis Hamas duas cum basis Aqua(ria) in manu (:manus) cotidian[u I] cum basis Urciolos (:urceolos) duos Candelabra quatuor (:quattuor) et lucubratoriu(m) unum Lucerna(m) aenea(m) Hamula(m) una(m) Pelvi(s) cum basim et lytrum (:luterem) Gutos tres Scapheola dua Ferreas strig(i)les VII Haenas quattor (:quattuor)  &#12296;:columna II&#12297; Marmor(em) cum basim aenea Fuminaria dua,,,,,
EDR154044,Asas,asas,ara,N1,a2625,f,NcA,Asas n(umero) LXI · Anaticulas · n(umero) · CXXVI,,,,,
EDR154092,Asseres,asseres,asser,N3B,a3138,m,NcC,Qunei (:cunei) XXIII Asseres XV,,,,,
EDR154092,Asseres,asseres,assero,V3,a3140,,VmH,Qunei (:cunei) XXIII Asseres XV,,,,,
EDR154092,Asseres,asseres,assero,V3,a3141,,VmH,Qunei (:cunei) XXIII Asseres XV,,,,,
EDR154421,asses,asses,as/assis,N3B,a3009,m,NcC,VII a(sses) III,,,,,
EDR154421,asses,asses,asso,V1,a3183,,VmF,VII a(sses) III,,,,,
